Date,equity,position
2007-11-02,10965451.0,12411882
2007-11-05,10748516.0,12411882
2007-11-06,11107058.0,12411882
2007-11-07,10291176.0,12411882
2007-11-08,9348667.0,12411882
2007-11-09,8406183.0,12411882
2007-11-12,7761547.0,12411882
2007-11-13,8052665.0,0
2007-11-14,8052665.0,0
2007-11-15,8052665.0,0
2007-11-16,8052665.0,0
2007-11-19,8052665.0,0
2007-11-20,8052665.0,0
2007-11-21,8052665.0,0
2007-11-23,8052665.0,0
2007-11-26,8052665.0,0
2007-11-27,8052665.0,0
2007-11-28,8052665.0,0
2007-11-29,8052665.0,0
2007-11-30,8052665.0,0
2007-12-03,8052665.0,0
2007-12-04,8052665.0,0
2007-12-05,8052665.0,0
2007-12-06,8052665.0,0
2007-12-07,8043336.0,10616050
2007-12-10,8136481.0,10616050
2007-12-11,7565932.0,10616050
2007-12-12,7765917.0,10616050
2007-12-13,7636359.0,10616050
2007-12-14,7397094.0,10616050
2007-12-17,6853818.0,10616050
2007-12-18,7043501.0,0
2007-12-19,7043501.0,0
2007-12-20,7043501.0,0
2007-12-21,7043501.0,0
2007-12-24,7043501.0,0
2007-12-26,7169349.0,9458243
2007-12-27,6907961.0,9458243
2007-12-28,6884807.0,9458243
2007-12-31,6642496.0,9458243
2008-01-02,6324538.0,9458243
2008-01-03,6400885.0,9458243
2008-01-04,5555990.0,9458243
2008-01-07,5539322.0,0
2008-01-08,5539322.0,0
2008-01-09,5539322.0,0
2008-01-10,5539322.0,0
2008-01-11,5539322.0,0
2008-01-14,5539322.0,0
2008-01-15,5539322.0,0
2008-01-16,5539322.0,0
2008-01-17,5539322.0,0
2008-01-18,5539322.0,0
2008-01-22,5539322.0,0
2008-01-23,5539322.0,0
2008-01-24,5539322.0,0
2008-01-25,5539322.0,0
2008-01-28,5539322.0,0
2008-01-29,5539322.0,0
2008-01-30,5539322.0,0
2008-01-31,5539322.0,0
2008-02-01,5539322.0,0
2008-02-04,5539322.0,0
2008-02-05,5539322.0,0
2008-02-06,5539322.0,0
2008-02-07,5539322.0,0
2008-02-08,5539322.0,0
2008-02-11,5539322.0,0
2008-02-12,5539322.0,0
2008-02-13,5539322.0,0
2008-02-14,5539322.0,0
2008-02-15,5539322.0,0
2008-02-19,5539322.0,0
2008-02-20,5539322.0,0
2008-02-21,5539322.0,0
2008-02-22,5539322.0,0
2008-02-25,5539322.0,0
2008-02-26,5539322.0,0
2008-02-27,5539322.0,0
2008-02-28,5539322.0,0
2008-02-29,5539322.0,0
2008-03-03,5539322.0,0
2008-03-04,5539322.0,0
2008-03-05,5539322.0,0
2008-03-06,5539322.0,0
2008-03-07,5539322.0,0
2008-03-10,5539322.0,0
2008-03-11,5539322.0,0
2008-03-12,5539322.0,0
2008-03-13,5539322.0,0
2008-03-14,5539322.0,0
2008-03-17,5539322.0,0
2008-03-18,5539322.0,0
2008-03-19,5539322.0,0
2008-03-20,5539322.0,0
2008-03-24,5539322.0,0
2008-03-25,5539322.0,0
2008-03-26,5539322.0,0
2008-03-27,5539322.0,0
2008-03-28,5539322.0,0
2008-03-31,5539322.0,0
2008-04-01,5539322.0,0
2008-04-02,5539322.0,0
2008-04-03,5539322.0,0
2008-04-04,5539322.0,0
2008-04-07,5539322.0,0
2008-04-08,5539322.0,0
2008-04-09,5539322.0,0
2008-04-10,5539322.0,0
2008-04-11,5539322.0,0
2008-04-14,5539322.0,0
2008-04-15,5539322.0,0
2008-04-16,5539322.0,0
2008-04-17,5539322.0,0
2008-04-18,5539322.0,0
2008-04-21,5539322.0,0
2008-04-22,5539322.0,0
2008-04-23,5539322.0,0
2008-04-24,5539322.0,0
2008-04-25,5461924.0,10968138
2008-04-28,5491791.0,10968138
2008-04-29,5615906.0,10968138
2008-04-30,5476413.0,10968138
2008-05-01,5993671.0,10968138
2008-05-02,6018130.0,10968138
2008-05-05,5964901.0,10968138
2008-05-06,6073914.0,10968138
2008-05-07,5741063.0,10968138
2008-05-08,5868798.0,10968138
2008-05-09,5798328.0,10968138
2008-05-12,6114507.0,10968138
2008-05-13,6161659.0,10968138
2008-05-14,6118927.0,10968138
2008-05-15,6438955.0,10968138
2008-05-16,6452918.0,10968138
2008-05-19,6312076.0,10968138
2008-05-20,6165684.0,10968138
2008-05-21,5755048.0,10968138
2008-05-22,5814627.0,10968138
2008-05-23,5759172.0,10968138
2008-05-27,6062518.0,10968138
2008-05-28,6135269.0,10968138
2008-05-29,6298289.0,10968138
2008-05-30,6418500.0,10968138
2008-06-02,6182125.0,10968138
2008-06-03,6079321.0,10968138
2008-06-04,6311780.0,10968138
2008-06-05,6610925.0,10968138
2008-06-06,6013018.0,10968138
2008-06-09,5915961.0,10968138
2008-06-10,5830871.0,10968138
2008-06-11,5407873.0,10968138
2008-06-12,5423733.0,10968138
2008-06-13,5748445.0,10968138
2008-06-16,5900398.0,10968138
2008-06-17,5804712.0,10968138
2008-06-18,5616805.0,10968138
2008-06-19,5878670.0,10968138
2008-06-20,5401084.0,10968138
2008-06-23,5273382.0,10968138
2008-06-24,5191461.0,10968138
2008-06-25,5242231.0,0
2008-06-26,5242231.0,0
2008-06-27,5242231.0,0
2008-06-30,5242231.0,0
2008-07-01,5242231.0,0
2008-07-02,5242231.0,0
2008-07-03,5242231.0,0
2008-07-07,5242231.0,0
2008-07-08,5242231.0,0
2008-07-09,5242231.0,0
2008-07-10,5242231.0,0
2008-07-11,5242231.0,0
2008-07-14,5242231.0,0
2008-07-15,5242231.0,0
2008-07-16,5242231.0,0
2008-07-17,5242231.0,0
2008-07-18,5242231.0,0
2008-07-21,5242231.0,0
2008-07-22,5242231.0,0
2008-07-23,5242231.0,0
2008-07-24,5242231.0,0
2008-07-25,5242231.0,0
2008-07-28,5242231.0,0
2008-07-29,5242231.0,0
2008-07-30,5242231.0,0
2008-07-31,5242231.0,0
2008-08-01,5242231.0,0
2008-08-04,5242231.0,0
2008-08-05,5242231.0,0
2008-08-06,5242231.0,0
2008-08-07,5242231.0,0
