Date,equity,cash,rebalanced,qqq_value,qqq_weight,qqq_signal,tqqq_value,tqqq_weight,tqqq_signal,drawdown_pct
2005-11-15,11000682,13,False,5323334,0.4839,buy,5677335,0.5161,buy,-1.0
2005-11-16,11136163,13,False,5356181,0.481,buy,5779969,0.519,buy,0.0
2005-11-17,11434264,13,False,5427122,0.4746,buy,6007129,0.5254,buy,0.0
2005-11-18,11511136,13,False,5445514,0.4731,buy,6065609,0.5269,buy,0.0
2005-11-21,11565545,13,False,5458652,0.472,buy,6106879,0.528,buy,0.0
2005-11-22,11648738,13,False,5478356,0.4703,buy,6170368,0.5297,buy,0.0
2005-11-23,11703601,13,False,5491496,0.4692,buy,6212091,0.5308,buy,0.0
2005-11-25,11752864,13,False,5503320,0.4683,buy,6249530,0.5317,buy,0.0
2005-11-28,11547525,13,False,5457336,0.4726,buy,6090175,0.5274,buy,-1.75
2005-11-29,11430647,13,False,5431062,0.4751,buy,5999572,0.5249,buy,-2.74
2005-11-30,11371365,13,False,5417923,0.4765,buy,5953428,0.5235,buy,-3.25
2005-12-01,11803331,13,False,5519085,0.4676,buy,6284233,0.5324,buy,0.0
2005-12-02,11858506,13,False,5532221,0.4665,buy,6326271,0.5335,buy,0.0
2005-12-05,11675224,13,False,5491496,0.4704,buy,6183715,0.5296,buy,-1.55
2005-12-06,11752958,13,False,5509887,0.4688,buy,6243057,0.5312,buy,-0.89
2005-12-07,11703915,13,False,5499378,0.4699,buy,6204524,0.5301,buy,-1.3
2005-12-08,11528303,13,False,5459965,0.4736,buy,6068324,0.5264,buy,-2.78
2005-12-09,11616687,13,False,5480986,0.4718,buy,6135687,0.5282,buy,-2.04
2005-12-12,11699796,13,False,5500690,0.4702,buy,6199092,0.5298,buy,-1.34
2005-12-13,11794853,13,False,5523026,0.4683,buy,6271813,0.5317,buy,-0.54
2005-12-14,11710981,13,False,5504634,0.47,buy,6206334,0.53,buy,-1.24
2005-12-15,11748492,13,False,5513831,0.4693,buy,6234647,0.5307,buy,-0.93
