entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2011-10-17,2015-08-25,0.417957,1.774839,14413979,19558075,3.2465,0.0,3,tqqq,signal,1408
2015-10-28,2016-01-14,2.384817,1.713563,11803306,-7923019,-0.2815,0.0,3,tqqq,signal,78
2015-08-25,2016-01-14,93.313949,93.677596,36050,13109,0.0039,0.0,3,tlt,rebalance,142
2015-08-25,2016-04-05,93.313949,99.93618,3977,26337,0.071,0.0,3,tlt,rebalance,224
2015-08-25,2016-11-10,93.313949,95.101276,161176,288074,0.0192,0.0,3,tlt,signal,443
2016-04-05,2017-01-04,2.037089,2.596025,1162520,649775,0.2744,0.0,3,tqqq,rebalance,274
2016-04-05,2017-03-02,2.037089,3.41721,1041193,1436972,0.6775,0.0,3,tqqq,rebalance,331
2016-04-05,2017-06-26,2.037089,4.2846,713106,1602713,1.1033,0.0,3,tqqq,rebalance,447
2016-04-05,2017-11-02,2.037089,5.131764,708012,2191067,1.5192,0.0,3,tqqq,rebalance,576
2016-04-05,2018-02-02,2.037089,6.773738,888775,4209815,2.3252,0.0,3,tqqq,rebalance,668
2017-06-26,2018-02-22,99.466017,92.835213,347988,-2307440,-0.0667,0.0,3,tlt,signal,241
2016-04-05,2018-06-04,2.362355,7.008136,803343,3732156,1.9666,0.0,3,tqqq,rebalance,790
2016-04-05,2018-11-21,2.362355,5.23885,7249023,20851779,1.2176,0.0,3,tqqq,signal,960
2019-02-28,2019-05-02,6.102145,7.788848,538863,908902,0.2764,0.0,3,tqqq,rebalance,63
2018-12-26,2019-06-04,99.177951,107.796555,66188,570448,0.0869,0.0,3,tlt,rebalance,160
2019-02-28,2019-07-02,6.054591,7.647017,825153,1313995,0.263,0.0,3,tqqq,rebalance,124
2018-12-26,2019-09-04,101.036601,120.906978,35487,705140,0.1967,0.0,3,tlt,rebalance,252
2019-02-28,2019-11-04,6.148342,8.654142,613151,1536434,0.4076,0.0,3,tqqq,rebalance,249
2019-02-28,2020-01-03,6.148342,10.407566,673133,2867025,0.6927,0.0,3,tqqq,rebalance,309
2018-12-26,2020-03-09,104.977304,149.258434,68370,3027501,0.4218,0.0,3,tlt,rebalance,439
2019-02-28,2020-03-13,6.372816,6.228562,7588879,-1094726,-0.0226,0.0,3,tqqq,signal,379
2018-12-26,2020-03-13,104.977304,129.173972,73794,1785569,0.2305,0.0,3,tlt,rebalance,443
2020-04-20,2020-06-02,7.819365,10.043914,688380,1531335,0.2845,0.0,3,tqqq,rebalance,43
2020-04-20,2020-07-02,7.819365,12.434471,410035,1892355,0.5902,0.0,3,tqqq,rebalance,73
2020-04-20,2020-08-26,7.819365,17.797425,730984,7293802,1.2761,0.0,3,tqqq,rebalance,128
2018-12-26,2020-11-03,119.115511,132.810868,46620,638478,0.115,0.0,3,tlt,rebalance,678
2020-04-20,2020-12-02,8.317006,19.340261,664856,7328877,1.3254,0.0,3,tqqq,rebalance,226
2020-04-20,2021-02-02,8.317006,23.819722,353084,5473761,1.864,0.0,3,tqqq,rebalance,288
2018-12-26,2021-02-08,122.540627,125.178227,560505,1478388,0.0215,0.0,3,tlt,signal,775
2020-04-20,2021-07-02,8.317006,29.72159,423525,9065376,2.5736,0.0,3,tqqq,rebalance,438
2020-04-20,2021-08-06,8.317006,32.618877,197006,4787614,2.9219,0.0,3,tqqq,rebalance,473
2020-04-20,2022-01-04,8.317006,40.9745,341122,11140189,3.9266,0.0,3,tqqq,rebalance,624
2021-08-06,2022-01-24,126.505878,123.537437,163484,-485293,-0.0235,0.0,3,tlt,rebalance,171
2020-04-20,2022-01-26,11.371274,27.179618,4483906,70883127,1.3902,0.0,3,tqqq,signal,646
2021-08-06,2022-02-11,126.505878,117.339638,651927,-5975720,-0.0725,0.0,3,tlt,signal,189
2023-03-22,2023-06-02,12.471686,17.628833,1070602,5521252,0.4135,0.0,3,tqqq,rebalance,72
2023-03-22,2023-12-20,12.471686,24.611467,1026103,12456666,0.9734,0.0,3,tqqq,rebalance,273
2023-03-22,2024-03-04,12.471686,30.759461,686011,12545615,1.4663,0.0,3,tqqq,rebalance,348
2023-12-20,2024-04-16,89.736804,80.610593,1611109,-14703322,-0.1017,0.0,3,tlt,signal,118
2023-03-22,2024-10-02,12.853013,34.005457,520302,11005659,1.6457,0.0,3,tqqq,rebalance,560
2023-03-22,2024-12-03,12.853013,40.307876,494681,13581399,2.1361,0.0,3,tqqq,rebalance,622
2024-08-07,2024-12-30,89.680265,82.907883,1815364,-12294339,-0.0755,0.0,3,tlt,signal,145
2023-03-22,2025-04-04,14.587133,22.80448,6673389,54837554,0.5633,0.0,3,tqqq,signal,744
2025-05-16,2025-09-16,35.472617,49.560442,538333,7583941,0.3971,0.0,3,tqqq,rebalance,123
2025-05-16,2025-11-04,35.472617,56.421614,286516,6002223,0.5906,0.0,3,tqqq,rebalance,172
2025-09-16,2026-03-03,88.104829,88.360013,183806,46904,0.0029,0.0,3,tlt,rebalance,168
