Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2025-07-11,100594997,338,False,,35831301,0.3562,buy,725964,44.735928,26125059,3354628,36340519,0.3613,buy,613849,52.906611,47303616,3863849,14446731,0.1436,buy,46732,180.878339,5093712,5993925,13976107,0.1389,buy,168421,96.619229,1156808,-2296600,-19.23,49.356857,10.329345568051252,29479687,59.201073,11.89730691754316,51167466,309.140015,70.91046799924814,11087637,82.983162,-14.113201663848706,-1139792,90594997.24503228,905.9499724503228
2025-07-14,100887576,338,False,,35957608,0.3564,buy,725964,44.735928,26125059,3480935,36588924,0.3627,buy,613849,52.906611,47303616,4112254,14393924,0.1427,buy,46732,180.878339,5093712,5941117,13946782,0.1382,buy,168421,96.619229,1156808,-2325925,-19.0,49.53084200000001,10.718261158617693,29605993,59.60573999999999,12.662177302551214,51415870,308.01001,70.28573592309976,11034830,82.809044,-14.29341216911595,-1169117,90887576.00351728,908.8757600351729
2025-07-15,100470713,338,False,,35640040,0.3547,buy,725964,44.735928,26125059,3163367,36647194,0.3648,buy,613849,52.906611,47303616,4170523,14334107,0.1427,buy,46732,180.878339,5093712,5881300,13849034,0.1378,buy,168421,96.619229,1156808,-2423673,-19.33,49.093399,9.740427421892406,29288426,59.700665,12.841597223861578,51474140,306.730011,69.57807849438231,10975013,82.228668,-14.89409591350186,-1266865,90470713.33022629,904.707133302263
2025-07-16,100883281,338,False,,35881823,0.3557,buy,725964,44.735928,26125059,3405149,36726929,0.3641,buy,613849,52.906611,47303616,4250258,14405607,0.1428,buy,46732,180.878339,5093712,5952800,13868585,0.1375,buy,168421,96.619229,1156808,-2404122,-19.0,49.426449,10.484907333598258,29530208,59.830559,13.0871128547142,51553875,308.26001,70.4239503726262,11046513,82.344749,-14.77395316167881,-1247314,90883281.33380128,908.8328133380129
2025-07-17,101881398,338,False,,36325702,0.3565,buy,725964,44.735928,26125059,3849029,37315736,0.3663,buy,613849,52.906611,47303616,4839066,14374296,0.1411,buy,46732,180.878339,5093712,5921489,13865326,0.1361,buy,168421,96.619229,1156808,-2407381,-18.2,50.037884,11.85167230826838,29974088,60.789764000000005,14.900128241814414,52142682,307.589996,70.05352790788619,11015202,82.325401,-14.793978161138421,-1250573,91881398.45843029,918.813984584303
2025-07-18,101772718,338,False,,36253525,0.3562,buy,725964,44.735928,26125059,3776851,37220668,0.3657,buy,613849,52.906611,47303616,4743998,14411682,0.1416,buy,46732,180.878339,5093712,5958876,13886505,0.1364,buy,168421,96.619229,1156808,-2386202,-18.29,49.938461000000004,11.6294281219254,29901910,60.634891999999994,14.607401119842557,52047614,308.390015,70.49582465066891,11052588,82.451149,-14.66383015452023,-1229394,91772718.00914629,917.7271800914629
2025-07-21,102631293,338,False,,36383440,0.3545,buy,725964,44.735928,26125059,3906766,37604007,0.3664,buy,613849,52.906611,47303616,5127337,14633191,0.1426,buy,46732,180.878339,5093712,6180385,14010316,0.1365,buy,168421,96.619229,1156808,-2262391,-17.6,50.11741599999999,12.029453351168208,30031825,61.259377,15.787754552125843,52430953,313.130005,73.1163650851117,11274097,83.186279,-13.902977464177402,-1105583,92631292.93194129,926.3129293194128
2025-07-22,102466410,338,False,,36390657,0.3551,buy,725964,44.735928,26125059,3913983,37208399,0.3631,buy,613849,52.906611,47303616,4731729,14771985,0.1442,buy,46732,180.878339,5093712,6319179,14095031,0.1376,buy,168421,96.619229,1156808,-2177677,-17.73,50.127357,12.051674863860828,30039042,60.614906,14.569625122504593,52035346,316.100006,74.75835329834328,11412891,83.68927,-13.382386472695318,-1020869,92466410.19512929,924.6641019512929
2025-07-23,103149175,338,False,,37000536,0.3587,buy,725964,44.735928,26125059,4523863,37542672,0.364,buy,613849,52.906611,47303616,5066002,14588795,0.1414,buy,46732,180.878339,5093712,6135989,14016834,0.1359,buy,168421,96.619229,1156808,-2255873,-17.18,50.967453,13.92957486657651,30648921,61.159458,15.598895356788379,52369618,312.179993,72.59114354261777,11229701,83.224976,-13.862926430267486,-1099065,93149175.44103129,931.491754410313
2025-07-24,103233562,338,False,,37033015,0.3587,buy,725964,44.735928,26125059,4556341,37708276,0.3653,buy,613849,52.906611,47303616,5231605,14499537,0.1405,buy,46732,180.878339,5093712,6046731,13992396,0.1355,buy,168421,96.619229,1156808,-2280311,-17.12,51.012192,14.029581732722152,30681400,61.429237,16.10881083691673,52535222,310.269989,71.53518293680479,11140443,83.07988,-14.0130994363453,-1123503,93233562.39345428,932.3356239345429
