Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price
2023-07-07,174769542,20,False,False,,27.787498,2939894,0.4674,hold,,,0.0,,,0,0.0,31.293783,2974304,0.5326,hold,,,0.0,,,0,0.0
2023-07-10,175275312,20,False,False,,27.919449,2939894,0.4683,hold,,,0.0,,,0,0.0,31.333405,2974304,0.5317,hold,,,0.0,,,0,0.0
2023-07-11,177178572,20,False,False,,28.276196,2939894,0.4692,hold,,,0.0,,,0,0.0,31.620686,2974304,0.5308,hold,,,0.0,,,0,0.0
2023-07-12,180886962,20,False,False,,28.725801,2939894,0.4669,hold,,,0.0,,,0,0.0,32.423092,2974304,0.5331,hold,,,0.0,,,0,0.0
2023-07-13,185289951,20,False,False,,29.146084,2939894,0.4624,hold,,,0.0,,,0,0.0,33.488014,2974304,0.5376,hold,,,0.0,,,0,0.0
2023-07-14,185145179,20,False,False,,29.111876,2939894,0.4623,hold,,,0.0,,,0,0.0,33.473152,2974304,0.5377,hold,,,0.0,,,0,0.0
2023-07-17,187531893,20,False,False,,29.307356,2939894,0.4594,hold,,,0.0,,,0,0.0,34.082378,2974304,0.5406,hold,,,0.0,,,0,0.0
2023-07-18,190476053,20,False,False,,29.732525,2939894,0.4589,hold,,,0.0,,,0,0.0,34.651993,2974304,0.5411,hold,,,0.0,,,0,0.0
2023-07-19,190570031,20,False,False,,29.8547,2939894,0.4606,hold,,,0.0,,,0,0.0,34.562828,2974304,0.5394,hold,,,0.0,,,0,0.0
2023-07-20,184736630,20,False,False,,29.453968,2939894,0.4687,hold,,,0.0,,,0,0.0,32.997658,2974304,0.5313,hold,,,0.0,,,0,0.0
2023-07-21,184146966,20,False,False,,29.458855,2939894,0.4703,hold,,,0.0,,,0,0.0,32.794575,2974304,0.5297,hold,,,0.0,,,0,0.0
2023-07-24,185189051,20,False,False,,29.70809,2939894,0.4716,hold,,,0.0,,,0,0.0,32.898586,2974304,0.5284,hold,,,0.0,,,0,0.0
2023-07-25,187032887,20,False,False,,29.874249,2939894,0.4696,hold,,,0.0,,,0,0.0,33.354271,2974304,0.5304,hold,,,0.0,,,0,0.0
2023-07-26,186340516,20,False,False,,29.874249,2939894,0.4713,hold,,,0.0,,,0,0.0,33.121487,2974304,0.5287,hold,,,0.0,,,0,0.0
2023-07-27,184588560,20,False,False,,29.463743,2939894,0.4693,hold,,,0.0,,,0,0.0,32.938213,2974304,0.5307,hold,,,0.0,,,0,0.0
2023-07-28,189776834,20,False,False,,30.020855,2939894,0.4651,hold,,,0.0,,,0,0.0,34.131912,2974304,0.5349,hold,,,0.0,,,0,0.0
2023-07-31,190327196,20,False,False,,30.147923,2939894,0.4657,hold,,,0.0,,,0,0.0,34.191353,2974304,0.5343,hold,,,0.0,,,0,0.0
2023-08-01,189177959,20,True,False,,29.952442,2939894,0.4655,hold,,,0.0,,,0,0.0,33.998184,2974304,0.5345,hold,,,0.0,,,0,0.0
