Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,total_pnl,total_return_pct
2018-11-01,72293193,7,False,,35855910,0.496,buy,2673330,8.327733,9353286,13593133,36437275,0.504,buy,3471948,4.538041,18665343,20681431,-14.32,13.412452,61.05766804548405,22946419,10.494764,131.26197109505267,39346774,62293192.56973979,622.9319256973979
2018-11-02,70802992,7,False,,35464810,0.5009,buy,2673330,8.327733,9353286,13202033,35338174,0.4991,buy,3471948,4.538041,18665343,19582330,-16.08,13.266155,59.30092336807158,22555319,10.178198,124.2861422777799,38247673,60802991.72016178,608.0299172016179
2018-11-05,70934278,7,False,,35839876,0.5053,buy,2673330,8.327733,9353286,13577098,35094395,0.4947,buy,3471948,4.538041,18665343,19338551,-15.93,13.406454,60.98564363913861,22930384,10.107984,122.73891091188469,38003894,60934277.88895978,609.3427788895978
2018-11-06,71914466,7,False,,36285474,0.5046,buy,2673330,8.327733,9353286,14022697,35628985,0.4954,buy,3471948,4.538041,18665343,19873141,-14.76,13.573137,62.98718484001859,23375983,10.261958,126.13187246274849,38538483,61914466.27470179,619.144662747018
2018-11-07,75649287,7,False,,37817806,0.4999,buy,2673330,8.327733,9353286,15555028,37831474,0.5001,buy,3471948,4.538041,18665343,22075630,-10.34,14.146329,69.87011473697757,24908314,10.896325,140.11074448099063,40740973,65649286.88097778,656.4928688097777
2018-11-08,75049551,7,False,,37679961,0.5021,buy,2673330,8.327733,9353286,15417183,37369583,0.4979,buy,3471948,4.538041,18665343,21613739,-11.05,14.094766,69.25094260220092,24770469,10.76329,137.17919344043077,40279082,65049551.364007786,650.4955136400779
2018-11-09,73090149,7,False,,36990726,0.5061,buy,2673330,8.327733,9353286,14727948,36099416,0.4939,buy,3471948,4.538041,18665343,20343572,-13.37,13.836947,66.15503389603606,24081234,10.397453,129.11763191131965,39008915,63090149.05626179,630.9014905626179
2018-11-12,69507109,7,False,,35541746,0.5113,buy,2673330,8.327733,9353286,13278968,33965356,0.4887,buy,3471948,4.538041,18665343,18209512,-17.62,13.294934,59.64650362652699,22632255,9.782795000000002,115.57306619937582,36874854,59507108.829187796,595.071088291878
2018-11-13,69407736,7,False,,35429552,0.5105,buy,2673330,8.327733,9353286,13166774,33978177,0.4895,buy,3471948,4.538041,18665343,18222334,-17.74,13.252966,59.14254892737634,22520060,9.786488,115.65444491920731,36887676,59407736.41971178,594.0773641971178
2018-11-14,68322826,7,False,,34913433,0.511,buy,2673330,8.327733,9353286,12650656,33409386,0.489,buy,3471948,4.538041,18665343,17653542,-19.02,13.059904,56.824246837035396,22003942,9.622663,112.0444073409781,36318884,58322826.10215178,583.2282610215178
2018-11-15,70245852,7,False,,35647543,0.5075,buy,2673330,8.327733,9353286,13384765,34598302,0.4925,buy,3471948,4.538041,18665343,18842458,-16.74,13.334509000000002,60.12172301317611,22738052,9.965097999999998,119.59028384395936,37507801,60245852.400181785,602.4585240018179
2018-11-16,70200840,7,False,,35833470,0.5104,buy,2673330,8.327733,9353286,13570693,34367362,0.4896,buy,3471948,4.538041,18665343,18611518,-16.8,13.404058,60.956872302425744,22923979,9.898582,118.1245413775868,37276861,60200839.73518379,602.008397351838
2018-11-19,66726709,7,False,,34621706,0.5189,buy,2673330,8.327733,9353286,12358929,32104996,0.4811,buy,3471948,4.538041,18665343,16349152,-20.91,12.950779,55.51386615306626,21712215,9.246969,103.76563756887225,35014494,56726708.9339898,567.267089339898
2018-11-20,64322872,7,False,,33342627,0.5184,buy,2673330,8.327733,9353286,11079850,30980237,0.4816,sell,3471948,4.538041,18665343,15224393,-23.76,12.47232,49.7684967906727,20433136,8.923013,96.62696316818355,33889736,54322871.74923179,543.228717492318
2018-11-21,65214318,31663320,False,,33550997,0.5145,buy,2673330,8.327733,9353286,11288220,0,0.0,sell,0,0.0,34572812,0,-22.71,12.550264,50.70445383105109,20641506,0.0,0.0,34572812,55214317.73466237,552.1431773466237
2018-11-23,64797578,31663320,False,,33134257,0.5114,buy,2673330,8.327733,9353286,10871480,0,0.0,sell,0,0.0,34572812,0,-23.2,12.394376,48.83253975029429,20224766,0.0,0.0,34572812,54797577.667622365,547.9757766762236
2018-11-26,65816999,31663320,False,,34153678,0.5189,buy,2673330,8.327733,9353286,11890901,0,0.0,sell,0,0.0,34572812,0,-21.99,12.775706000000001,53.41157724140964,21244187,0.0,0.0,34572812,55816998.59652237,558.1699859652236
2018-11-27,66041401,31663320,False,,34378080,0.5206,buy,2673330,8.327733,9353286,12115303,0,0.0,sell,0,0.0,34572812,0,-21.72,12.859647,54.419546680063036,21468589,0.0,0.0,34572812,56041400.590052366,560.4140059005236
2018-11-28,67589756,31663320,False,,35926435,0.5315,buy,2673330,8.327733,9353286,13663658,0,0.0,sell,0,0.0,34572812,0,-19.89,13.438833,61.374452951085786,23016944,0.0,0.0,34572812,57589755.89943236,575.8975589943236
2018-11-29,67471143,31663320,False,,35807822,0.5307,buy,2673330,8.327733,9353286,13545045,0,0.0,sell,0,0.0,34572812,0,-20.03,13.394464,60.841666874870185,22898331,0.0,0.0,34572812,57471142.92066237,574.7114292066237
2018-11-30,67919944,31663320,False,,36256624,0.5338,buy,2673330,8.327733,9353286,13993846,0,0.0,sell,0,0.0,34572812,0,-19.5,13.562345,62.85759374410662,23347132,0.0,0.0,34572812,57919944.234392375,579.1994423439237
2018-12-03,68843192,31663320,False,,37179872,0.5401,buy,2673330,8.327733,9353286,14917094,0,0.0,sell,0,0.0,34572812,0,-18.4,13.9077,67.00464090206464,24270380,0.0,0.0,34572812,58843192.11654237,588.4319211654237
2018-12-04,66480575,31663320,False,,34817255,0.5237,buy,2673330,8.327733,9353286,12554477,0,0.0,sell,0,0.0,34572812,0,-21.2,13.023927,56.39223248773728,21907763,0.0,0.0,34572812,56480575.24245237,564.8057524245237
2018-12-06,66374792,31663320,False,,34711471,0.523,buy,2673330,8.327733,9353286,12448694,0,0.0,sell,0,0.0,34572812,0,-21.33,12.984356999999997,55.917073141440255,21801980,0.0,0.0,34572812,56374791.57435236,563.7479157435237
