date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2010-07-01,spy,63717,0,33.25,0.0,4964754,0,-63717,-4964754,
2010-07-01,qqq,138387,138387,34.52,34.7,5155421,5140938,0,-14483,
2010-07-01,gld,19288,19288,15.72,15.24,2346963,2257467,0,-89496,
2010-07-01,tlt,38259,38259,16.52,16.67,2466493,2470385,0,3892,
2010-07-01,cash,0,0,0.0,33.39,88,4946591,0,4946503,
2010-07-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2010-07-02,qqq,138387,139577,34.7,34.92,5140938,5170534,1190,29596,monthly
2010-07-02,gld,19288,18990,15.24,15.19,2257467,2250125,-298,-7342,monthly
2010-07-02,tlt,38259,34387,16.67,14.87,2470385,2202668,-3872,-267717,monthly
2010-07-02,cash,0,0,33.39,35.02,4946591,5185362,0,238771,monthly
2010-08-06,spy,0,63209,0.0,35.0,0,5362719,63209,5362719,daily
2010-08-06,qqq,139577,130798,37.31,34.82,5701345,5334761,-8779,-366584,daily
2010-08-06,gld,18990,19585,14.54,15.06,2221450,2307896,595,86446,daily
2010-08-06,tlt,34387,36281,14.21,15.11,2170986,2315545,1894,144559,daily
2010-08-06,cash,0,0,33.94,0.0,5185362,10,0,-5185352,daily
2010-12-02,spy,63209,63972,34.58,35.19,5804935,5950260,763,145325,monthly
2010-12-02,qqq,130798,126337,36.23,35.1,6082559,5934751,-4461,-147808,monthly
2010-12-02,gld,19585,18599,15.79,14.87,2651417,2514584,-986,-136833,monthly
2010-12-02,tlt,36281,40623,13.39,14.85,2247936,2510399,4342,262463,monthly
2010-12-02,cash,0,0,0.0,0.0,10,48,0,38,monthly
2011-08-05,spy,63972,0,33.33,0.0,5924024,0,-63972,-5924024,
2011-08-05,qqq,126337,126337,33.85,33.72,6017137,5979371,0,-37766,
2011-08-05,gld,18599,18599,16.81,16.97,2987743,3008388,0,20645,
2011-08-05,tlt,40623,40623,16.02,15.59,2846905,2764761,0,-82144,
2011-08-05,cash,0,0,0.0,33.72,48,5979967,0,5979919,
2011-08-09,spy,0,0,0.0,0.0,0,0,0,0,
2011-08-09,qqq,126337,0,32.0,0.0,5619475,0,-126337,-5619475,
2011-08-09,gld,18599,18599,17.7,17.75,3108264,3135977,0,27713,
2011-08-09,tlt,40623,40623,16.24,16.2,2852036,2860688,0,8652,
2011-08-09,cash,0,0,34.05,66.05,5979967,11666751,0,5686784,
2011-08-11,spy,0,0,0.0,0.0,0,0,0,0,daily
2011-08-11,qqq,0,0,0.0,0.0,0,0,0,0,daily
2011-08-11,gld,18599,15292,18.18,14.79,3247013,2611109,-3307,-635904,daily
2011-08-11,tlt,40623,36875,16.49,14.38,2945803,2539110,-3748,-406693,daily
2011-08-11,cash,0,0,65.32,70.82,11666751,12501570,0,834819,daily
2011-10-04,spy,0,0,0.0,0.0,0,0,0,0,monthly
2011-10-04,qqq,0,0,0.0,0.0,0,0,0,0,monthly
2011-10-04,gld,15292,16785,13.66,14.76,2461400,2645987,1493,184587,monthly
2011-10-04,tlt,36875,32641,16.95,14.89,3053677,2668777,-4234,-384900,monthly
2011-10-04,cash,0,0,69.39,70.35,12501570,12611704,0,110134,monthly
2011-10-17,spy,0,0,0.0,0.0,0,0,0,0,daily
2011-10-17,qqq,0,122055,0.0,34.62,0,6158344,122055,6158344,daily
2011-10-17,gld,16785,16380,15.37,14.97,2742668,2663715,-405,-78953,daily
2011-10-17,tlt,32641,35099,13.94,15.3,2487787,2721374,2458,233587,daily
2011-10-17,cash,0,0,70.68,35.11,12611704,6244689,0,-6367015,daily
2012-01-09,spy,0,62541,0.0,35.01,0,6236417,62541,6236417,daily
2012-01-09,qqq,122055,122349,34.92,34.99,6239110,6233584,294,-5526,daily
2012-01-09,gld,16380,17048,14.41,14.98,2574935,2668012,668,93077,daily
2012-01-09,tlt,35099,33466,15.73,15.02,2810480,2674978,-1633,-135502,daily
2012-01-09,cash,0,0,34.95,0.0,6244689,77,0,-6244612,daily
2012-04-03,spy,62541,62047,35.28,35.11,6939931,6856958,-494,-82973,monthly
