Date,equity,cash,rebalanced,qqq_value,qqq_weight,qqq_signal,spy_value,spy_weight,spy_signal,gld_value,gld_weight,gld_signal,drawdown_pct
2005-11-15,10358339,-108403,False,3206732,0.3096,buy,3163495,0.3054,buy,4096515,0.3955,buy,-0.39
2005-11-16,10482872,-108403,False,3226519,0.3078,buy,3169912,0.3024,buy,4194845,0.4002,buy,0.0
2005-11-17,10616585,-108403,False,3269253,0.3079,buy,3199433,0.3014,buy,4256302,0.4009,buy,0.0
2005-11-18,10638486,-108403,False,3280333,0.3083,buy,3212011,0.3019,buy,4254546,0.3999,buy,0.0
2005-11-21,10709103,-108403,False,3288247,0.3071,buy,3228182,0.3014,buy,4301077,0.4016,buy,0.0
2005-11-22,10763808,-108403,False,3300116,0.3066,buy,3242045,0.3012,buy,4330049,0.4023,buy,0.0
2005-11-23,10775534,-108403,False,3308031,0.307,buy,3260782,0.3026,buy,4315124,0.4005,buy,0.0
2005-11-25,10808929,-108403,False,3315154,0.3067,buy,3263349,0.3019,buy,4338829,0.4014,buy,0.0
2005-11-28,10786220,-108403,False,3287454,0.3048,buy,3240246,0.3004,buy,4366923,0.4049,buy,-0.21
2005-11-29,10772067,-108403,False,3271627,0.3037,buy,3236653,0.3005,buy,4372191,0.4059,buy,-0.34
2005-11-30,10685241,-108403,False,3263712,0.3054,buy,3219198,0.3013,buy,4310734,0.4034,buy,-1.14
2005-12-01,10872978,-108403,False,3324651,0.3058,buy,3252055,0.2991,buy,4404675,0.4051,buy,0.0
2005-12-02,10898168,-108403,False,3332564,0.3058,buy,3256162,0.2988,buy,4417844,0.4054,buy,0.0
2005-12-05,10907089,-108403,False,3308031,0.3033,buy,3249231,0.2979,buy,4458230,0.4087,buy,0.0
2005-12-06,10933987,-108403,False,3319110,0.3036,buy,3255392,0.2977,buy,4467887,0.4086,buy,0.0
2005-12-07,10946413,-108403,False,3312780,0.3026,buy,3236397,0.2957,buy,4505639,0.4116,buy,0.0
2005-12-08,10971538,-108403,False,3289038,0.2998,buy,3234342,0.2948,buy,4556561,0.4153,buy,0.0
2005-12-09,11036569,-108403,False,3301701,0.2992,buy,3242813,0.2938,buy,4600458,0.4168,buy,0.0
2005-12-12,11065567,-108403,False,3313570,0.2994,buy,3245894,0.2933,buy,4614505,0.417,buy,0.0
2005-12-13,11021203,-108403,False,3327025,0.3019,buy,3267969,0.2965,buy,4534612,0.4114,buy,-0.4
2005-12-14,10908825,-108403,False,3315946,0.304,buy,3280804,0.3007,buy,4420478,0.4052,buy,-1.42
2005-12-15,10895211,-108403,False,3321486,0.3049,buy,3271307,0.3003,buy,4410821,0.4048,buy,-1.54
2005-12-16,10848586,-108403,False,3298559,0.3041,buy,3260779,0.3006,buy,4397652,0.4054,buy,-1.96
2005-12-19,10790866,-108403,False,3246200,0.3008,buy,3244004,0.3006,buy,4409065,0.4086,buy,-2.48
2005-12-20,10692747,-108403,False,3248581,0.3038,buy,3247102,0.3037,buy,4305467,0.4027,buy,-3.37
2005-12-21,10741160,-108403,False,3262861,0.3038,buy,3252263,0.3028,buy,4334439,0.4035,buy,-2.93
2005-12-22,10847210,-108403,False,3284278,0.3028,buy,3269293,0.3014,buy,4402041,0.4058,buy,-1.97
2005-12-23,10847260,-108403,False,3284278,0.3028,buy,3271100,0.3016,buy,4400285,0.4057,buy,-1.97
2005-12-27,10831066,-108403,False,3255720,0.3006,buy,3237810,0.2989,buy,4445939,0.4105,buy,-2.12
2005-12-28,10907197,-108403,False,3251754,0.2981,buy,3245037,0.2975,buy,4518809,0.4143,buy,-1.43
2005-12-29,10871326,-108403,False,3230334,0.2971,buy,3230586,0.2972,buy,4518809,0.4157,buy,-1.76
2005-12-30,10838842,-108403,False,3205741,0.2958,buy,3213038,0.2964,buy,4528466,0.4178,buy,-2.05
2006-01-03,11101957,-108403,False,3277139,0.2952,buy,3269551,0.2945,buy,4663670,0.4201,buy,0.0
2006-01-04,11167357,-108403,False,3311252,0.2965,buy,3285035,0.2942,buy,4679473,0.419,buy,0.0
2006-01-05,11099418,-108403,False,3325531,0.2996,buy,3287100,0.2962,buy,4595190,0.414,buy,-0.61
2006-01-06,11308220,-108403,False,3385822,0.2994,buy,3314454,0.2931,buy,4716347,0.4171,buy,0.0
2006-01-09,11407481,-108403,False,3399307,0.298,buy,3322970,0.2913,buy,4793607,0.4202,buy,0.0
2006-01-10,11365807,-108403,False,3401689,0.2993,buy,3326323,0.2927,buy,4746198,0.4176,buy,-0.37
2006-01-11,11443829,-108403,False,3427866,0.2995,buy,3336905,0.2916,buy,4787461,0.4183,buy,0.0
2006-01-12,11405229,-108403,False,3411207,0.2991,buy,3323743,0.2914,buy,4778682,0.419,buy,-0.34
2006-01-13,11489219,-108403,False,3409621,0.2968,buy,3320646,0.289,buy,4867355,0.4236,buy,0.0
2006-01-17,11442172,-108403,False,3387409,0.296,buy,3311614,0.2894,buy,4851552,0.424,buy,-0.41
2006-01-18,11285663,-108403,False,3348537,0.2967,buy,3298454,0.2923,buy,4747076,0.4206,buy,-1.77
2006-01-19,11456349,-108403,False,3373129,0.2944,buy,3311099,0.289,buy,4880524,0.426,buy,-0.29
2006-01-20,11260974,-108403,False,3272379,0.2906,buy,3250714,0.2887,buy,4846284,0.4304,buy,-1.99
2006-01-23,11323423,-108403,False,3273172,0.2891,buy,3262327,0.2881,buy,4896327,0.4324,buy,-1.44
2006-01-24,11337545,-108403,False,3287451,0.29,buy,3265682,0.288,buy,4892815,0.4316,buy,-1.32
2006-01-25,11362100,-108403,False,3273172,0.2881,buy,3268520,0.2877,buy,4928811,0.4338,buy,-1.11
2006-01-26,11380344,-108403,False,3296178,0.2896,buy,3286584,0.2888,buy,4905985,0.4311,buy,-0.95
2006-01-27,11433270,-108403,False,3340603,0.2922,buy,3317034,0.2901,buy,4884036,0.4272,buy,-0.49
2006-01-30,11529220,-108403,False,3346949,0.2903,buy,3314454,0.2875,buy,4976221,0.4316,buy,0.0
2006-01-31,11491647,-108403,False,3331878,0.2899,buy,3290196,0.2863,buy,4977977,0.4332,buy,-0.33
2006-02-01,11526513,-108403,False,3343777,0.2901,buy,3313163,0.2874,buy,4977977,0.4319,buy,-0.02
2006-02-02,11455528,-108403,False,3286657,0.2869,buy,3274715,0.2859,buy,5002559,0.4367,buy,-0.64
2006-02-03,11356670,-108403,False,3246200,0.2858,buy,3258456,0.2869,buy,4960418,0.4368,buy,-1.5
