ma_type,short_window,long_window,stop_loss_pct,lookback_for_low,total_return_pct,cagr,mdd,total_trades,win_rate,final_capital
ema,10,50,0.05,60,89.93516137587689,2.431809625274428,-58.75150199916016,83,33.734939759036145,18993516.13758769
sma,5,50,0.05,30,87.99505555331457,2.4099316474559984,-54.199445863013594,103,30.097087378640776,18799505.555331457
sma,5,50,0.05,60,87.99505555331457,2.4099316474559984,-54.199445863013594,103,30.097087378640776,18799505.555331457
sma,5,50,0.05,20,87.99505555331457,2.4099316474559984,-54.199445863013594,103,30.097087378640776,18799505.555331457
sma,20,50,0.05,20,86.67609246646751,2.382734476695303,-58.10680760666849,63,41.269841269841265,18667609.24664675
sma,20,50,0.05,30,86.67609246646751,2.382734476695303,-58.10680760666849,63,41.269841269841265,18667609.24664675
sma,20,50,0.05,60,86.67609246646751,2.382734476695303,-58.10680760666849,63,41.269841269841265,18667609.24664675
sma,5,100,0.05,30,76.00456001511,2.1724105641294456,-49.13518289891557,70,31.428571428571427,17600456.001511
sma,5,100,0.05,60,76.00456001511,2.1724105641294456,-49.13518289891557,70,31.428571428571427,17600456.001511
sma,5,100,0.05,20,76.00456001511,2.1724105641294456,-49.13518289891557,70,31.428571428571427,17600456.001511
ema,20,50,0.05,60,74.46018881676711,2.106281354703965,-49.6534283708537,62,32.25806451612903,17446018.88167671
ema,20,50,0.05,20,74.46018881676711,2.106281354703965,-49.6534283708537,62,32.25806451612903,17446018.88167671
ema,20,50,0.05,30,74.46018881676711,2.106281354703965,-49.6534283708537,62,32.25806451612903,17446018.88167671
sma,20,100,0.05,20,65.17647960236988,1.9260851146910118,-27.320599789544953,34,32.35294117647059,16517647.960236987
sma,20,100,0.05,60,65.17647960236988,1.9260851146910118,-27.320599789544953,34,32.35294117647059,16517647.960236987
sma,20,100,0.05,30,65.17647960236988,1.9260851146910118,-27.320599789544953,34,32.35294117647059,16517647.960236987
sma,20,200,0.05,30,54.644702205107535,1.6964002775688547,-33.40200277406824,24,29.166666666666668,15464470.220510753
sma,20,200,0.05,60,54.644702205107535,1.6964002775688547,-33.40200277406824,24,29.166666666666668,15464470.220510753
sma,20,200,0.05,20,54.644702205107535,1.6964002775688547,-33.40200277406824,24,29.166666666666668,15464470.220510753
ema,5,50,0.1,60,53.31272561170144,1.613314860689452,-56.12907935387462,122,27.049180327868854,15331272.561170144
