Date,Open,High,Low,Close,change_pct
2007-06-12,28.210505,28.446024,27.936857,28.031063,-1.74
2007-06-13,28.235164,28.697228,28.228436,28.591806,2.0
2007-06-14,28.703969,29.206406,28.703969,29.040422,1.57
2007-06-15,29.383602,29.70211,29.383602,29.70211,2.28
2007-06-18,29.755949,29.865855,29.596694,29.729033,0.09
2007-06-19,29.547339,29.888279,29.527152,29.762669,0.11
2007-06-20,29.98698,30.040813,29.383608,29.509216,-0.85
2007-06-21,29.551831,29.937631,29.44865,29.877069,1.25
2007-06-22,29.652766,29.845666,29.338743,29.482296,-1.32
2007-06-25,29.462103,29.580983,29.083033,29.257988,-0.76
2007-06-26,29.370144,29.437434,29.002287,29.002287,-0.87
2007-06-27,28.912572,29.43071,28.75556,29.415009,1.42
2007-06-28,29.226598,29.607912,29.226598,29.42174,0.02
2007-06-29,29.545108,29.720065,29.210898,29.524921,0.35
2007-07-02,29.607901,30.123796,29.607901,30.123796,2.03
2007-07-03,30.168664,30.363808,30.168664,30.363808,0.8
2007-07-05,30.193334,30.536518,30.193334,30.498386,0.44
2007-07-06,30.668849,31.146612,30.666606,31.021002,1.71
2007-07-09,31.240835,31.424763,31.222892,31.321583,0.97
2007-07-10,30.985126,31.092794,30.644188,30.70475,-1.97
2007-07-11,30.86848,31.056893,30.617262,30.958202,0.83
2007-07-12,31.157843,31.770188,31.157843,31.63785,2.2
2007-07-13,31.846454,32.05281,31.736546,32.03038,1.24
2007-07-16,31.781388,31.895783,31.566058,31.716339,-0.98
2007-07-17,31.781402,31.806076,31.541399,31.691683,-0.08
2007-07-18,31.292418,31.52345,31.047927,31.303633,-1.22
2007-07-19,31.516714,31.832981,31.514471,31.615408,1.0
2007-07-20,31.772418,31.884568,31.222878,31.397833,-0.69
2007-07-23,32.043833,32.321969,31.938412,32.306267,2.89
2007-07-24,32.075229,32.140276,31.135402,31.200451,-3.42
2007-07-25,31.673728,31.850926,30.998577,31.37989,0.58
2007-07-26,30.736153,30.765314,29.107719,29.780626,-5.1
2007-07-27,29.946599,30.155198,29.226589,29.394815,-1.3
2007-07-30,29.720054,30.610535,29.720054,30.357073,3.27
2007-07-31,30.76756,30.872984,29.735769,29.735769,-2.05
2007-08-01,29.365658,29.883796,29.035935,29.61912,-0.39
2007-08-02,29.652761,30.123796,29.572013,29.946598,1.11
2007-08-03,29.921926,29.944356,28.432559,28.654617,-4.31
2007-08-06,28.982102,29.363415,28.385459,29.166031,1.78
2007-08-07,29.049392,29.699869,28.92154,29.383604,0.75
2007-08-08,29.975773,30.610551,29.942128,30.370544,3.36
2007-08-09,29.441925,29.78735,28.9036,29.114443,-4.14
2007-08-10,28.502095,29.397063,28.237418,28.60976,-1.73
2007-08-13,29.282664,29.46435,28.874434,28.89238,0.99
2007-08-14,29.04491,29.103228,28.037793,28.145458,-2.59
2007-08-15,27.838165,28.134246,26.927498,27.03965,-3.93
2007-08-16,26.50131,26.846737,24.989513,26.579817,-1.7
2007-08-17,27.589186,28.459478,26.611227,27.420959,3.16
2007-08-20,27.726011,27.829189,26.99927,27.477034,0.2
2007-08-21,27.337959,27.701329,27.149546,27.376091,-0.37
2007-08-22,27.835919,28.620976,27.835919,28.553686,4.3
2007-08-23,28.820613,28.930519,28.300231,28.69949,0.51
2007-08-24,28.708454,29.446407,28.620975,29.383604,2.38
2007-08-27,29.35444,30.011645,29.264721,29.518183,0.46
2007-08-28,29.168271,29.273692,28.179097,28.318163,-4.07
2007-08-29,28.843027,29.583224,28.721904,29.439671,3.96
2007-08-30,29.114441,29.702113,28.979859,29.289398,-0.51
2007-08-31,30.056513,30.549978,29.829968,30.045298,2.58
2007-09-04,29.753703,30.769791,29.753703,30.552217,1.69
2007-09-05,30.294266,30.294266,29.780614,30.090151,-1.51
2007-09-06,30.260615,30.475944,30.036311,30.325661,0.78
2007-09-07,29.771645,29.895012,29.394819,29.64155,-2.26
2007-09-10,30.056519,30.069977,29.217626,29.663988,0.08
2007-09-11,30.013894,30.381751,29.975762,30.262869,2.02
2007-09-12,30.108111,30.502885,29.955586,30.370544,0.36
2007-09-13,30.574657,30.929054,30.480448,30.706993,1.11
2007-09-14,30.561186,30.868479,30.408659,30.767542,0.2
2007-09-17,30.532033,30.635214,30.21801,30.572409,-0.63
2007-09-18,30.662129,32.10888,30.52755,32.052803,4.84
2007-09-19,32.142515,32.721215,32.093168,32.198589,0.45
2007-09-20,32.279345,32.485704,31.907003,32.09766,-0.31
2007-09-21,32.472247,32.622528,32.416169,32.523834,1.33
2007-09-24,33.196739,33.196739,32.748136,32.927578,1.24
2007-09-25,32.65841,32.938789,32.449808,32.804207,-0.37
2007-09-26,33.241596,33.342531,33.00159,33.241596,1.33
2007-09-27,33.755262,34.093959,33.40535,33.735073,1.48
2007-09-28,33.81357,33.912264,33.279732,33.521976,-0.63
2007-10-01,33.840485,34.715264,33.683474,34.576195,3.14
2007-10-02,34.903693,35.213232,34.468545,34.811729,0.68
2007-10-03,34.708538,34.825174,33.757496,33.757496,-3.03
2007-10-04,33.892073,34.199366,33.517488,34.093945,1.0
2007-10-05,34.46405,35.388175,34.430405,35.231163,3.34
2007-10-08,34.76462,34.95752,34.612095,34.856583,-1.06
2007-10-09,35.112284,35.426308,34.968731,35.399391,1.56
2007-10-10,35.289487,35.567622,35.094343,35.446499,0.13
2007-10-11,35.892862,36.067817,34.51116,35.13472,-0.88
2007-10-12,35.298463,35.776226,35.184067,35.776226,1.83
2007-10-15,35.836777,35.92201,34.881248,35.338825,-1.22
2007-10-16,35.101073,35.119015,34.441624,34.683868,-1.85
2007-10-17,35.484631,35.643886,34.789294,35.484631,2.31
2007-10-18,34.879019,35.742585,34.829672,35.664078,0.51
2007-10-19,35.352292,35.435284,33.84498,34.138817,-4.28
2007-10-22,33.802355,34.387784,33.418799,34.38554,0.72
2007-10-23,34.825174,35.471164,34.656947,35.338825,2.77
2007-10-24,35.015829,35.222187,33.972824,35.107792,-0.65
2007-10-25,35.57211,35.652858,34.935092,35.554165,1.27
2007-10-26,36.348178,36.720519,36.000509,36.561264,2.83
2007-10-29,37.166888,37.402405,36.969501,37.402405,2.3
2007-10-30,36.852854,36.942577,36.572476,36.695843,-1.89
2007-10-31,37.012113,37.56614,36.561264,37.501091,2.19
2007-11-01,36.462583,36.711558,35.859209,35.987061,-4.04
2007-11-02,36.224822,36.545576,35.542944,36.191177,0.57
2007-11-05,35.237891,35.415089,34.683861,34.932838,-3.48
2007-11-06,35.951179,36.397541,35.442012,36.258472,3.79
2007-11-07,35.726874,36.03641,34.928356,35.103313,-3.19
2007-11-08,35.264808,35.641636,34.069278,35.282753,0.51
2007-11-09,34.645728,35.125734,34.185907,34.452827,-2.35
2007-11-12,33.970583,34.181426,32.528319,32.546265,-5.53
2007-11-13,33.847222,34.973219,33.705912,34.845367,7.06
2007-11-14,35.509304,35.731362,34.627795,34.879013,0.1
2007-11-15,34.479754,34.838637,33.732826,34.076008,-2.3
2007-11-16,34.192644,34.560501,33.678992,34.497696,1.24
2007-11-19,33.849469,33.916759,32.613564,32.907398,-4.61
2007-11-20,33.306634,34.136552,32.967937,33.811314,2.75
2007-11-21,32.683085,32.81318,31.900269,32.108871,-5.04
2007-11-23,32.692061,33.465905,32.692061,33.057674,2.95
2007-11-26,33.201229,33.524224,31.745506,31.745506,-3.97
2007-11-27,32.243453,33.104773,32.059525,32.96122,3.83
2007-11-28,33.324601,34.766865,33.308899,34.766865,5.48
2007-11-29,34.351898,34.822933,34.089465,34.340683,-1.23
2007-11-30,35.278261,35.372467,34.356379,34.632271,0.85
2007-12-03,34.567231,34.753403,34.250967,34.331715,-0.87
2007-12-04,34.185914,34.652463,34.141055,34.241989,-0.26
2007-12-05,35.058449,35.765004,35.058449,35.76276,4.44
2007-12-06,35.574341,36.370612,35.439759,36.325752,1.57
2007-12-07,36.157533,36.202393,35.724629,35.8951,-1.19
2007-12-10,35.888373,36.052116,35.72912,35.906319,0.03
2007-12-11,36.063323,36.162016,34.250961,34.38554,-4.24
2007-12-12,35.955652,36.256217,34.645726,35.417324,3.0
2007-12-13,34.430404,34.717511,33.970584,34.443863,-2.75
2007-12-14,33.735059,34.176936,33.602723,33.62291,-2.38
2007-12-17,33.053188,33.109266,32.173923,32.189625,-4.26
2007-12-18,33.207955,33.232628,32.23897,33.073376,2.75
2007-12-19,33.192258,33.492823,32.974684,33.288708,0.65
2007-12-20,33.447968,33.551146,33.030764,33.470398,0.55
2007-12-21,33.959369,34.479752,33.89208,34.479752,3.02
2007-12-24,34.547221,35.067464,34.504058,35.06292,1.69
2007-12-26,34.792579,35.321909,34.724426,35.244667,0.52
2007-12-27,34.926609,34.992493,34.347302,34.431358,-2.31
2007-12-28,34.783485,34.881172,34.301865,34.560848,0.38
2007-12-31,34.656269,34.733511,34.079234,34.145115,-1.2
2008-01-02,34.376846,34.590396,33.374985,33.581718,-1.65
2008-01-03,33.98609,34.115581,33.727104,33.883858,0.9
2008-01-04,33.572622,33.63396,32.548043,32.866093,-3.0
2008-01-07,33.138707,33.349985,32.58439,33.106903,0.73
2008-01-08,33.490847,33.842975,32.7616,32.850201,-0.78
2008-01-09,33.329546,33.927029,32.850198,33.927029,3.28
2008-01-10,33.377256,34.519972,33.218232,34.32687,1.18
2008-01-11,33.599881,33.997445,33.165969,33.361343,-2.81
