Date,equity,cash,rebalanced,tqqq_value,tqqq_weight,tqqq_signal,gld_value,gld_weight,gld_signal,drawdown_pct
2007-03-14,10879773,41,False,6496773,0.5971,buy,4382959,0.4029,buy,-16.64
2007-03-15,10833426,41,False,6447684,0.5952,buy,4385701,0.4048,buy,-16.99
2007-03-16,10858675,41,False,6429062,0.5921,buy,4429572,0.4079,buy,-16.8
2007-03-19,11061316,41,False,6623477,0.5988,buy,4437797,0.4012,buy,-15.25
2007-03-20,11236170,41,False,6762001,0.6018,buy,4474128,0.3982,buy,-13.91
2007-03-21,11660970,41,False,7149099,0.6131,buy,4511829,0.3869,buy,-10.65
2007-03-22,11575463,41,False,7067705,0.6106,buy,4507717,0.3894,buy,-11.31
2007-03-23,11462497,41,False,6996554,0.6104,buy,4465902,0.3896,buy,-12.17
2007-03-26,11591359,41,False,7078117,0.6106,buy,4513200,0.3894,buy,-11.19
2007-03-27,11429099,41,False,6925454,0.6059,buy,4503603,0.394,buy,-12.43
2007-03-28,11227087,41,False,6699450,0.5967,buy,4527596,0.4033,buy,-13.98
2007-03-29,11218889,41,False,6718672,0.5989,buy,4500176,0.4011,buy,-14.04
2007-03-30,11202657,41,False,6696271,0.5977,buy,4506345,0.4023,buy,-14.16
2007-04-02,11234019,41,False,6720092,0.5982,buy,4513886,0.4018,buy,-13.92
2007-04-03,11492391,41,False,6979834,0.6073,buy,4512515,0.3927,buy,-11.94
2007-04-04,11640883,41,False,7061150,0.6066,buy,4579692,0.3934,buy,-10.81
2007-04-05,11745344,41,False,7162183,0.6098,buy,4583119,0.3902,buy,-10.01
2007-04-09,11665541,41,False,7105001,0.6091,buy,4560498,0.3909,buy,-10.62
2007-04-10,11814906,41,False,7211181,0.6103,buy,4603684,0.3897,buy,-9.47
2007-04-11,11577698,41,False,6979456,0.6028,buy,4598200,0.3972,buy,-11.29
2007-04-12,11733261,41,False,7141189,0.6086,buy,4592030,0.3914,buy,-10.1
2007-04-13,11830673,41,False,7180336,0.6069,buy,4650296,0.3931,buy,-9.35
2007-04-16,12062707,41,False,7373983,0.6113,buy,4688683,0.3887,buy,-7.57
2007-04-17,12080129,41,False,7418824,0.6141,buy,4661264,0.3859,buy,-7.44
2007-04-18,12027962,41,False,7340609,0.6103,buy,4687312,0.3897,buy,-7.84
2007-04-19,12033968,41,False,7404880,0.6153,buy,4629046,0.3847,buy,-7.79
2007-04-20,12232885,41,False,7523596,0.615,buy,4709247,0.385,buy,-6.27
2007-04-23,12233178,41,False,7554051,0.6175,buy,4679087,0.3825,buy,-6.27
2007-04-24,12307120,41,False,7664322,0.6228,buy,4642756,0.3772,buy,-5.7
2007-04-25,12620560,41,False,7966795,0.6313,buy,4653724,0.3687,buy,-3.3
2007-04-26,12669917,41,False,8086071,0.6382,buy,4583805,0.3618,buy,-2.92
2007-04-27,12722962,41,False,8091818,0.636,buy,4631103,0.364,buy,-2.51
2007-04-30,12368086,41,False,7769160,0.6282,buy,4598885,0.3718,buy,-5.23
2007-05-01,12315895,41,False,7744387,0.6288,buy,4571466,0.3712,buy,-5.63
2007-05-02,12562361,41,False,7992910,0.6363,buy,4569410,0.3637,buy,-3.75
2007-05-03,12702448,41,False,8076102,0.6358,buy,4626304,0.3642,buy,-2.67
2007-05-04,12766565,41,False,8092235,0.6339,buy,4674288,0.3661,buy,-2.18
2007-05-07,12766012,41,False,8087570,0.6335,buy,4678401,0.3665,buy,-2.18
2007-05-08,12788005,41,False,8134926,0.6361,buy,4653038,0.3639,buy,-2.02
2007-05-09,12806055,41,False,8182452,0.639,buy,4623562,0.361,buy,-1.88
2007-05-10,12366463,41,False,7842253,0.6342,buy,4524168,0.3658,buy,-5.25
2007-05-11,12693279,41,False,8138223,0.6411,buy,4555014,0.3589,buy,-2.74
2007-05-14,12509924,41,False,7966521,0.6368,buy,4543361,0.3632,buy,-4.15
2007-05-15,12337957,41,False,7776731,0.6303,buy,4561184,0.3697,buy,-5.46
2007-05-16,12496762,41,False,7999973,0.6402,buy,4496749,0.3598,buy,-4.25
2007-05-17,12341708,41,False,7881934,0.6386,buy,4459733,0.3614,buy,-5.44
2007-05-18,12562626,41,False,8071320,0.6425,buy,4491265,0.3575,buy,-3.74
2007-05-21,12723773,41,False,8222184,0.6462,buy,4501547,0.3538,buy,-2.51
2007-05-22,12707792,41,False,8238421,0.6483,buy,4469329,0.3517,buy,-2.63
2007-05-23,12610767,41,False,8118089,0.6437,buy,4492636,0.3563,buy,-3.37
2007-05-24,12203488,41,False,7764964,0.6363,buy,4438483,0.3637,buy,-6.5
2007-05-25,12358373,41,False,7906824,0.6398,buy,4451507,0.3602,buy,-5.31
2007-05-29,12546570,41,False,8086110,0.6445,buy,4460418,0.3555,buy,-3.87
2007-05-30,12714831,41,False,8278363,0.6511,buy,4436427,0.3489,buy,-2.58
2007-05-31,12882042,41,False,8389364,0.6512,buy,4492636,0.3488,buy,-1.3
2007-06-01,12954812,41,False,8400441,0.6484,buy,4554329,0.3516,buy,-0.74
2007-06-04,13014660,51,True,7828415,0.6015,buy,5186194,0.3985,buy,-0.28
2007-06-05,12996881,51,False,7823886,0.602,buy,5172944,0.398,buy,-0.42
2007-06-06,12743912,51,False,7567799,0.5938,buy,5176062,0.4062,buy,-2.35
2007-06-07,12297790,51,False,7211310,0.5864,buy,5086430,0.4136,buy,-5.77
2007-06-08,12478685,51,False,7473263,0.5989,buy,5005371,0.4011,buy,-4.39
2007-06-11,12468750,51,False,7425916,0.5956,buy,5042782,0.4044,buy,-4.46
2007-06-12,12284474,51,False,7288406,0.5933,buy,4996018,0.4067,buy,-5.87
2007-06-13,12553384,51,False,7523801,0.5993,buy,5029533,0.4007,buy,-3.81
2007-06-14,12703216,51,False,7668177,0.6036,buy,5034988,0.3964,buy,-2.67
2007-06-15,12930695,51,False,7876171,0.6091,buy,5054474,0.3909,buy,-0.92
