entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2015-08-25,2016-11-10,93.654428,95.481248,22659,41394,0.0195,3,tlt,signal,443
2016-02-11,2016-11-25,118.924852,113.079738,57917,-338531,-0.0491,3,gld,signal,288
2016-04-04,2017-04-19,176.729085,203.304536,4949,131522,0.1504,3,spy,rebalance,380
2016-04-04,2017-06-26,176.729085,212.467137,1760,62899,0.2022,3,spy,rebalance,448
2016-04-04,2018-02-02,176.729085,246.448572,3059,213272,0.3945,3,spy,rebalance,669
2017-06-26,2018-02-22,100.184213,93.206163,28795,-200933,-0.0697,3,tlt,signal,241
2017-04-19,2018-07-18,122.638769,115.681909,64923,-451660,-0.0567,3,gld,signal,455
2016-04-04,2018-12-18,176.729085,229.275836,66872,3513906,0.2973,3,spy,signal,988
2018-12-26,2019-02-22,99.186252,99.213338,16,0,0.0003,3,tlt,rebalance,58
2019-01-17,2019-02-22,122.396089,125.153409,878,2421,0.0225,3,gld,rebalance,36
2018-12-26,2019-06-04,99.186252,108.227291,2406,21753,0.0912,3,tlt,rebalance,160
2019-02-22,2020-01-03,250.867142,293.41638,1593,67781,0.1696,3,spy,rebalance,315
2018-12-26,2020-03-03,100.943422,128.694415,3083,85556,0.2749,3,tlt,rebalance,433
2019-01-17,2020-03-03,122.791549,150.387476,2534,69928,0.2247,3,gld,rebalance,411
2019-02-22,2020-03-10,252.313949,260.051163,63513,491414,0.0307,3,spy,signal,382
2018-12-26,2020-04-02,100.943422,141.465904,2673,108317,0.4014,3,tlt,rebalance,463
2019-01-17,2020-04-02,122.791549,150.746397,2508,70111,0.2277,3,gld,rebalance,441
2019-01-17,2020-06-02,122.791549,163.398329,3665,148824,0.3307,3,gld,rebalance,502
2020-06-02,2020-09-02,283.410646,327.371233,1094,48093,0.1551,3,spy,rebalance,92
2018-12-26,2021-02-08,106.47534,125.678359,24124,463254,0.1804,3,tlt,signal,775
2019-01-17,2021-03-01,122.844895,162.540909,54193,2151246,0.3231,3,gld,signal,774
2020-06-02,2021-04-05,283.410646,376.72029,5619,524307,0.3292,3,spy,rebalance,307
2020-06-02,2021-05-21,283.410646,389.241581,797,84347,0.3734,3,spy,rebalance,353
2020-06-02,2021-08-06,283.410646,414.149927,2112,276121,0.4613,3,spy,rebalance,430
2021-08-06,2022-02-11,127.466748,117.808454,28720,-277386,-0.0758,3,tlt,signal,189
2020-06-02,2022-05-02,283.410646,389.822975,52918,5631128,0.3755,3,spy,signal,699
2021-05-21,2022-07-07,176.333491,161.942703,65112,-937013,-0.0816,3,gld,signal,412
2023-01-06,2023-02-07,172.275275,173.198841,374,345,0.0054,3,gld,rebalance,32
2023-02-07,2023-12-20,394.211622,461.138272,1972,131979,0.1698,3,spy,rebalance,316
2023-02-07,2024-04-02,394.211622,505.787025,814,90822,0.283,3,spy,rebalance,420
2023-01-06,2024-04-02,172.929149,208.442797,756,26848,0.2054,3,gld,rebalance,452
2023-12-20,2024-04-16,89.94583,80.932673,49924,-449973,-0.1002,3,tlt,signal,118
2023-01-06,2024-08-07,172.929149,221.274182,2691,130096,0.2796,3,gld,rebalance,579
2023-02-07,2024-11-04,395.721024,560.968711,7,1157,0.4176,3,spy,rebalance,636
2023-01-06,2024-11-04,172.929149,252.560047,2437,194060,0.4605,3,gld,rebalance,668
2024-08-07,2024-12-30,89.590528,83.239137,55150,-350279,-0.0709,3,tlt,signal,145
2023-01-06,2025-04-02,172.929149,287.415159,5306,607463,0.662,3,gld,rebalance,817
2023-02-07,2025-04-07,402.294823,483.511633,52769,4285730,0.2019,3,spy,signal,790
2023-01-06,2025-05-02,172.929149,299.269503,5010,632965,0.7306,3,gld,rebalance,847
2023-01-06,2025-05-16,172.929149,291.742135,64,7604,0.6871,3,gld,rebalance,861
2025-05-16,2025-09-16,587.903839,655.72464,239,16209,0.1154,3,spy,rebalance,123
2023-01-06,2025-09-16,172.929149,339.069726,1042,173118,0.9607,3,gld,rebalance,984
2023-01-06,2026-01-28,172.929149,481.939845,7885,2436549,1.7869,3,gld,rebalance,1118
