Date,equity,cash,rebalanced,tqqq_value,tqqq_weight,tqqq_signal,gld_value,gld_weight,gld_signal,tlt_value,tlt_weight,tlt_signal,drawdown_pct
2015-11-17,54212469,11277985,False,32047949,0.5912,buy,0,0.0,sell,10886534,0.2008,buy,-22.2
2015-11-18,56072213,11277985,False,33884975,0.6043,buy,0,0.0,sell,10909253,0.1946,buy,-19.53
2015-11-19,56195739,11277985,False,33935779,0.6039,buy,0,0.0,sell,10981974,0.1954,buy,-19.35
2015-11-20,56836521,11277985,False,34610195,0.6089,buy,0,0.0,sell,10948341,0.1926,buy,-18.43
2015-11-23,56590795,11277985,False,34330835,0.6067,buy,0,0.0,sell,10981974,0.1941,buy,-18.79
2015-11-24,56482657,11277985,False,34223608,0.6059,buy,0,0.0,sell,10981064,0.1944,buy,-18.94
2015-11-25,56584295,11277985,False,34299794,0.6062,buy,0,0.0,sell,11006516,0.1945,buy,-18.79
2015-11-27,56697534,11277985,False,34423945,0.6072,buy,0,0.0,sell,10995603,0.1939,buy,-18.63
2015-11-30,56523908,11277985,False,34206683,0.6052,buy,0,0.0,sell,11039239,0.1953,buy,-18.88
2015-12-01,57688879,11277985,False,35222541,0.6106,buy,0,0.0,sell,11188352,0.1939,buy,-17.21
2015-12-02,57051957,11277985,False,34581976,0.6061,buy,0,0.0,sell,11191996,0.1962,buy,-18.12
2015-12-03,54984058,11277985,False,32818313,0.5969,buy,0,0.0,sell,10887760,0.198,buy,-21.09
2015-12-04,57334364,11277985,False,35072980,0.6117,buy,0,0.0,sell,10983398,0.1916,buy,-17.72
2015-12-07,57012020,11277985,False,34644059,0.6077,buy,0,0.0,sell,11089975,0.1945,buy,-18.18
2015-12-08,57020321,11277985,False,34646897,0.6076,buy,0,0.0,sell,11095439,0.1946,buy,-18.17
2015-12-09,55394365,11277985,False,33032780,0.5963,buy,0,0.0,sell,11083599,0.2001,buy,-20.5
2015-12-10,55877357,11277985,False,33501198,0.5995,buy,0,0.0,sell,11098174,0.1986,buy,-19.81
2015-12-11,53755242,11277985,False,31204196,0.5805,buy,0,0.0,sell,11273061,0.2097,buy,-22.85
2015-12-14,54309340,11277985,False,31904035,0.5875,buy,0,0.0,sell,11127320,0.2049,buy,-22.06
2015-12-15,54785567,11277985,False,32445843,0.5922,buy,0,0.0,sell,11061739,0.2019,buy,-21.38
2015-12-16,56195367,11277985,False,33879328,0.6029,buy,0,0.0,sell,11038054,0.1964,buy,-19.35
2015-12-17,54909231,11277985,False,32468400,0.5913,buy,0,0.0,sell,11162845,0.2033,buy,-21.2
2015-12-18,53187758,11277985,False,30684988,0.5769,buy,0,0.0,sell,11224785,0.211,buy,-23.67
2015-12-21,54096464,11277985,False,31596429,0.5841,buy,0,0.0,sell,11222050,0.2074,buy,-22.36
2015-12-22,54613657,11277985,False,32194687,0.5895,buy,0,0.0,sell,11140985,0.204,buy,-21.62
2015-12-23,55266353,11277985,False,32931186,0.5959,buy,0,0.0,sell,11057182,0.2001,buy,-20.69
2015-12-24,55261971,11277985,False,32863456,0.5947,buy,0,0.0,sell,11120530,0.2012,buy,-20.69
2015-12-28,55286375,11277985,False,32855001,0.5943,buy,0,0.0,sell,11153389,0.2017,buy,-20.66
2015-12-29,56599501,11277985,False,34353421,0.607,buy,0,0.0,sell,10968095,0.1938,buy,-18.77
2015-12-30,55710924,11277985,False,33475803,0.6009,buy,0,0.0,sell,10957136,0.1967,buy,-20.05
2015-12-31,54518616,11277985,False,32234199,0.5913,buy,0,0.0,sell,11006432,0.2019,buy,-21.76
2016-01-04,52628352,11277985,False,30264523,0.5751,buy,0,0.0,sell,11085844,0.2106,buy,-24.47
2016-01-05,52312723,11277985,False,29993619,0.5734,buy,0,0.0,sell,11041119,0.2111,buy,-24.92
2016-01-06,51657283,11277985,False,29189391,0.5651,buy,0,0.0,sell,11189907,0.2166,buy,-25.87
2016-01-07,48900648,11277985,False,26412678,0.5401,buy,0,0.0,sell,11209984,0.2292,buy,-29.82
2016-01-08,48327211,11277985,False,25789039,0.5336,buy,0,0.0,sell,11260187,0.233,buy,-30.64
2016-01-11,48429741,11277985,False,26014799,0.5372,buy,0,0.0,sell,11136957,0.23,buy,-30.5
2016-01-12,49468000,11277985,False,26892403,0.5436,buy,0,0.0,sell,11297611,0.2284,buy,-29.01
2016-01-13,46765943,11277985,False,24078988,0.5149,sell,0,0.0,sell,11408970,0.244,buy,-32.88
2016-01-14,46895349,37644283,True,0,0.0,sell,0,0.0,sell,9251066,0.1973,buy,-32.7
2016-01-15,47039548,37644283,False,0,0.0,sell,0,0.0,sell,9395264,0.1997,buy,-32.49
2016-01-19,47010411,37644283,False,0,0.0,sell,0,0.0,sell,9366128,0.1992,buy,-32.53
2016-01-20,47109029,37644283,False,0,0.0,sell,0,0.0,sell,9464745,0.2009,buy,-32.39
2016-01-21,47044778,37644283,False,0,0.0,sell,0,0.0,sell,9400495,0.1998,buy,-32.48
2016-01-22,47008914,37644283,False,0,0.0,sell,0,0.0,sell,9364631,0.1992,buy,-32.54
2016-01-25,47059720,37644283,False,0,0.0,sell,0,0.0,sell,9415437,0.2001,buy,-32.46
2016-01-26,47064205,37644283,False,0,0.0,sell,0,0.0,sell,9419922,0.2002,buy,-32.46
2016-01-27,47061959,37644283,False,0,0.0,sell,0,0.0,sell,9417676,0.2001,buy,-32.46
2016-01-28,47075411,37644283,False,0,0.0,sell,0,0.0,sell,9431128,0.2003,buy,-32.44
2016-01-29,47155354,37644283,False,0,0.0,sell,0,0.0,sell,9511070,0.2017,buy,-32.33
2016-02-01,47126235,37644283,False,0,0.0,sell,0,0.0,sell,9481952,0.2012,buy,-32.37
2016-02-02,47302141,37644283,False,0,0.0,sell,0,0.0,sell,9657857,0.2042,buy,-32.12
2016-02-03,47222053,37644283,False,0,0.0,sell,0,0.0,sell,9577769,0.2028,buy,-32.23
2016-02-04,47268463,37644283,False,0,0.0,sell,0,0.0,sell,9624179,0.2036,buy,-32.16
2016-02-05,47279689,37644283,False,0,0.0,sell,0,0.0,sell,9635405,0.2038,buy,-32.15
2016-02-08,47487040,37644283,False,0,0.0,sell,0,0.0,sell,9842757,0.2073,buy,-31.85
2016-02-09,47497515,37644283,False,0,0.0,sell,0,0.0,sell,9853232,0.2074,buy,-31.84
2016-02-10,47584348,37644283,False,0,0.0,sell,0,0.0,buy,9940065,0.2089,buy,-31.71
2016-02-11,47664106,28550626,True,0,0.0,sell,9525990,0.1999,buy,9587490,0.2011,buy,-31.6
2016-02-12,47448928,28550626,False,0,0.0,sell,9469984,0.1996,buy,9428319,0.1987,buy,-31.9
2016-02-16,47062035,28550626,False,0,0.0,sell,9182747,0.1951,buy,9328661,0.1982,buy,-32.46
2016-02-17,47061478,28550626,False,0,0.0,sell,9239555,0.1963,buy,9271297,0.197,buy,-32.46
2016-02-18,47400308,28550626,False,0,0.0,sell,9464383,0.1997,buy,9385299,0.198,buy,-31.97
2016-02-19,47351391,28550626,False,0,0.0,sell,9407576,0.1987,buy,9393189,0.1984,buy,-32.04
2016-02-22,47179151,28550626,False,0,0.0,sell,9240355,0.1959,buy,9388171,0.199,buy,-32.29
2016-02-23,47355564,28550626,False,0,0.0,sell,9378772,0.1981,buy,9426165,0.1991,buy,-32.04
2016-02-24,47368129,28550626,False,0,0.0,sell,9409976,0.1987,buy,9407527,0.1986,buy,-32.02
2016-02-25,47426631,28550626,False,0,0.0,sell,9434779,0.1989,buy,9441226,0.1991,buy,-31.94
2016-02-26,47270765,28550626,False,0,0.0,sell,9369971,0.1982,buy,9350168,0.1978,buy,-32.16
2016-02-29,47434046,28550626,False,0,0.0,sell,9492386,0.2001,buy,9391033,0.198,buy,-31.93
2016-03-01,47199078,28550626,False,0,0.0,sell,9422777,0.1996,buy,9225674,0.1955,buy,-32.26
2016-03-02,47309958,28550626,False,0,0.0,sell,9495587,0.2007,buy,9263746,0.1958,buy,-32.1
2016-03-03,47507741,28550626,False,0,0.0,sell,9659608,0.2033,buy,9297507,0.1957,buy,-31.82
2016-03-04,47432918,28550626,False,0,0.0,sell,9644405,0.2033,buy,9237886,0.1948,buy,-31.93
2016-03-07,47478048,28550626,False,0,0.0,sell,9692411,0.2041,buy,9235011,0.1945,buy,-31.86
2016-03-08,47535244,28550626,False,0,0.0,sell,9647606,0.203,buy,9337012,0.1964,buy,-31.78
2016-03-09,47398490,28550626,False,0,0.0,sell,9567596,0.2019,buy,9280268,0.1958,buy,-31.98
2016-03-10,47514035,28550626,False,0,0.0,sell,9721215,0.2046,buy,9242194,0.1945,buy,-31.81
2016-03-11,47253433,28550626,False,0,0.0,sell,9553994,0.2022,buy,9148812,0.1936,buy,-32.19
2016-03-14,47158949,28550626,False,0,0.0,sell,9430779,0.2,buy,9177544,0.1946,buy,-32.32
2016-03-15,47174768,28550626,False,0,0.0,sell,9437980,0.2001,buy,9186162,0.1947,buy,-32.3
2016-03-16,47412490,28550626,False,0,0.0,sell,9648406,0.2035,buy,9213458,0.1943,buy,-31.96
2016-03-17,47413757,28550626,False,0,0.0,sell,9611601,0.2027,buy,9251530,0.1951,buy,-31.96
2016-03-18,47406755,28550626,False,0,0.0,sell,9585198,0.2022,buy,9270931,0.1956,buy,-31.97
2016-03-21,47268427,28550626,False,0,0.0,sell,9517990,0.2014,buy,9199812,0.1946,buy,-32.16
2016-03-22,47294278,28550626,False,0,0.0,sell,9545993,0.2018,buy,9197659,0.1945,buy,-32.13
