Date,Open,High,Low,Close,Volume,ma_200,change_pct
2019-10-10,52.84188,53.263493,52.808815,53.238693,25532400,52.785367,0.7
2019-10-11,54.040584,54.412591,54.040584,54.189388,37665600,52.799338,1.79
2019-10-14,53.933114,54.073656,53.900046,53.966183,12662000,52.810948,-0.41
2019-10-15,54.19765,54.768067,54.15632,54.594463,24932600,52.828695,1.16
2019-10-16,54.577915,54.801125,54.536585,54.67712,28518700,52.847087,0.15
2019-10-17,54.958195,54.999526,54.668849,54.809391,26853900,52.866612,0.24
2019-10-18,54.734992,54.875528,54.569657,54.784592,21446100,52.885697,-0.05
2019-10-21,55.148336,55.181404,55.049131,55.082199,29016200,52.907552,0.54
2019-10-22,55.123536,55.313677,54.941663,54.949932,21293000,52.927875,-0.24
2019-10-23,55.057402,55.247543,54.991266,55.247543,14206200,52.950956,0.54
2019-10-24,55.445949,55.454218,55.239277,55.346745,23429100,52.974795,0.18
2019-10-25,55.189675,55.445947,55.181407,55.40461,17184200,52.998972,0.1
2019-10-28,55.48728,55.669146,55.479011,55.652615,16490600,53.025376,0.45
2019-10-29,55.437684,55.660893,55.412884,55.636093,15251900,53.051353,-0.03
2019-10-30,55.58648,55.867558,55.321941,55.867558,22592900,53.079375,0.42
2019-10-31,55.693956,55.735287,55.479016,55.735287,22047900,53.105802,-0.24
2019-11-01,56.090761,56.231297,56.057693,56.231297,32338600,53.136902,0.89
2019-11-04,56.611574,56.652904,56.404902,56.520638,20429900,53.170571,0.51
2019-11-05,56.454507,56.504106,56.305703,56.41317,15727300,53.202836,-0.19
2019-11-06,56.471038,56.528906,56.305703,56.388371,16600200,53.234532,-0.04
2019-11-07,56.702505,56.743842,56.53717,56.56197,21271500,53.267641,0.31
2019-11-08,56.363569,56.528904,56.239565,56.528904,10298800,53.300092,-0.06
2019-11-11,56.231308,56.471048,56.231308,56.454517,8544000,53.331479,-0.13
2019-11-12,56.446237,56.595041,56.363569,56.479305,18570100,53.362801,0.04
2019-11-13,56.082497,56.313975,56.065966,56.280907,21006500,53.391836,-0.35
2019-11-14,55.99157,56.156905,55.933702,56.123837,17870900,53.419021,-0.28
2019-11-15,56.256102,56.479305,56.256102,56.479305,23494600,53.449471,0.63
2019-11-18,56.413168,56.59504,56.322231,56.545441,20587500,53.480277,0.12
2019-11-19,56.710771,56.735571,56.396632,56.471031,18664800,53.510036,-0.13
2019-11-20,56.165168,56.297435,55.950227,56.115562,20655200,53.535961,-0.63
2019-11-21,56.107293,56.132093,55.900621,56.041157,14293400,53.560889,-0.13
2019-11-22,56.264365,56.305702,56.065961,56.198235,14969300,53.587131,0.28
2019-11-25,56.446235,56.644638,56.446235,56.644638,19329100,53.617554,0.79
2019-11-26,56.553704,56.661172,56.512367,56.611572,24276000,53.647345,-0.06
2019-11-27,56.685986,56.785191,56.661186,56.760391,16942100,53.678321,0.26
2019-11-29,56.396639,56.495838,56.330503,56.363571,11587200,53.705039,-0.7
2019-12-02,56.297437,56.330505,55.826225,56.074234,38855400,53.728614,-0.51
2019-12-03,55.578218,55.900626,55.404608,55.867558,28161500,53.749897,-0.37
2019-12-04,56.214773,56.388377,56.165174,56.380108,21762200,53.776068,0.92
2019-12-05,56.413176,56.413176,56.181704,56.27264,21039700,53.800909,-0.19
2019-12-06,56.727323,56.801722,56.669455,56.785191,23179600,53.830604,0.91
2019-12-09,56.685979,56.776915,56.487576,56.487576,21946200,53.857041,-0.52
2019-12-10,56.429704,56.628107,56.330499,56.512371,23419000,53.883462,0.04
2019-12-11,56.537181,56.867858,56.52065,56.80999,16546800,53.912582,0.53
2019-12-12,56.74385,57.24813,56.710781,57.190262,30690900,53.945196,0.67
2019-12-13,57.504397,57.85161,57.37213,57.58707,46988400,53.981433,0.69
2019-12-16,58.185646,58.277607,58.110409,58.20237,34004700,54.023433,1.07
2019-12-17,57.93484,58.018438,57.867958,57.867958,28111100,54.061687,-0.57
2019-12-18,57.801086,57.859606,57.692409,57.792725,18590900,54.098811,-0.13
2019-12-19,57.675685,57.809448,57.625527,57.792725,25939200,54.135567,0.0
2019-12-20,57.926487,57.951566,57.817809,57.834526,38587700,54.172372,0.07
2019-12-23,57.884681,57.959924,57.834523,57.926483,21313800,54.209727,0.16
2019-12-24,57.918116,57.918116,57.8178,57.867958,5947000,54.246127,-0.1
2019-12-26,57.976633,58.135475,57.909751,58.118752,8372000,54.284661,0.43
2019-12-27,58.386287,58.394649,58.177287,58.21909,16281600,54.323809,0.17
2019-12-30,58.319414,58.32777,57.767651,57.784374,24069000,54.358243,-0.75
2019-12-31,57.842891,58.085332,57.65897,58.051891,20142100,54.394995,0.46
2020-01-02,58.486605,58.653809,58.386282,58.637085,24749300,54.437205,1.01
2020-01-03,57.842884,58.26924,57.842884,57.90976,29921500,54.471758,-1.24
2020-01-06,57.817812,58.160569,57.809451,58.13549,22636400,54.508213,0.39
2020-01-07,58.118761,58.135485,57.934846,57.976643,15107500,54.542725,-0.27
2020-01-08,57.909748,58.302669,57.901392,58.143833,14249500,54.578557,0.29
2020-01-09,58.252528,58.311048,58.135488,58.277607,13749100,54.615363,0.23
2020-01-10,58.235811,58.336127,57.99337,58.060246,33832300,54.649641,-0.37
2020-01-13,58.110402,58.394639,57.993363,58.361198,16443000,54.686572,0.52
2020-01-14,58.252534,58.520054,58.244172,58.419731,28826600,54.723717,0.1
2020-01-15,58.369573,58.511692,58.344494,58.419731,12217900,54.760494,0.0
2020-01-16,58.511682,58.687242,58.444807,58.662163,12883400,54.799316,0.41
2020-01-17,58.820998,58.871156,58.695597,58.837715,18473700,54.839499,0.3
2020-01-21,58.570206,58.637088,58.361206,58.369568,20026600,54.874624,-0.8
2020-01-22,58.637091,58.653814,58.444814,58.48661,14047000,54.910565,0.2
2020-01-23,58.269235,58.402998,57.984998,58.344479,18720200,54.944733,-0.24
2020-01-24,58.586925,58.586925,57.993365,58.093681,24107500,54.976066,-0.43
2020-01-27,56.973449,57.199167,56.889851,56.889851,32766700,54.995108,-2.07
2020-01-28,57.149007,57.466685,57.065408,57.424889,18001700,55.019285,0.94
2020-01-29,57.533569,57.62553,57.349648,57.433247,14916600,55.043305,0.01
2020-01-30,56.973441,57.408159,56.831322,57.38308,26285300,55.066586,-0.09
2020-01-31,56.84804,56.873119,56.229401,56.413322,40101600,55.079986,-1.69
2020-02-03,56.57216,56.83968,56.51364,56.547081,35288000,55.094584,0.24
2020-02-04,57.399806,57.575365,57.34128,57.49176,32540000,55.118437,1.67
2020-02-05,58.043522,58.085324,57.851239,58.043522,28162100,55.147542,0.96
2020-02-06,58.219087,58.252528,58.102047,58.20237,23422500,55.177938,0.27
