Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band,drawdown_pct
2003-12-11,14414478,1299848,0.03,0.05,9.65934,8.9091,-0.49
2003-12-12,14480605,1299848,0.03,0.05,9.677401,8.925758,-0.03
2003-12-15,14491780,1299848,0.03,0.05,9.69537,8.942331,0.0
2003-12-16,14431246,1299848,0.03,0.05,9.712683,8.9583,-0.42
2003-12-17,14263598,1299848,0.03,0.05,9.728501,8.97289,-1.57
2003-12-18,14493641,1299848,0.03,0.05,9.745977,8.989008,0.0
2003-12-19,14529038,1299848,0.03,0.05,9.763557,9.005223,0.0
2003-12-22,14734193,1299848,0.03,0.05,9.78258,9.022768,0.0
2003-12-23,14774416,1299848,0.03,0.05,9.801731,9.040432,0.0
2003-12-24,14822127,1299848,0.03,0.05,9.821068,9.058266,0.0
2003-12-26,14859546,1299848,0.03,0.05,9.840507,9.076196,0.0
2003-12-29,15084067,1299848,0.03,0.05,9.861523,9.095579,0.0
2003-12-30,15156102,1299848,0.03,0.05,9.882898,9.115294,0.0
2003-12-31,15347185,1299848,0.03,0.05,9.905566,9.136202,0.0
2004-01-02,15688902,1299848,0.03,0.05,9.930704,9.159387,0.0
2004-01-05,16239383,1299848,0.03,0.05,9.959932,9.186345,0.0
2004-01-06,16055886,1299848,0.03,0.05,9.987422,9.2117,-1.13
2004-01-07,16093340,1299848,0.03,0.05,10.014933,9.237075,-0.9
2004-01-08,16154189,1299848,0.03,0.05,10.042651,9.26264,-0.52
2004-01-09,16125170,1299848,0.03,0.05,10.069865,9.287739,-0.7
2004-01-12,16111123,1299848,0.03,0.05,10.096696,9.312487,-0.79
2004-01-13,16019378,1299848,0.03,0.05,10.122538,9.336321,-1.35
2004-01-14,16044651,1299848,0.03,0.05,10.148321,9.360102,-1.2
2004-01-15,15716988,1299848,0.03,0.05,10.171265,9.381264,-3.22
2004-01-16,15784394,1299848,0.03,0.05,10.194511,9.402705,-2.8
2004-01-20,16243133,1299848,0.03,0.05,10.221144,9.427268,0.0
2004-01-21,16264673,1299848,0.03,0.05,10.247681,9.451744,0.0
2004-01-22,16223465,1299848,0.03,0.05,10.273629,9.475677,-0.25
2004-01-23,16196316,1299848,0.03,0.05,10.299105,9.499174,-0.42
2004-01-26,16303981,1299848,0.03,0.05,10.325176,9.523221,0.0
2004-01-27,16221597,1299848,0.03,0.05,10.350339,9.546429,-0.51
2004-01-28,15992228,1299848,0.03,0.05,10.373442,9.567738,-1.91
2004-01-29,15740387,1299848,0.03,0.05,10.39433,9.587004,-3.46
2004-01-30,15718850,1299848,0.03,0.05,10.41484,9.605921,-3.59
2004-02-02,15722596,1299848,0.03,0.05,10.435176,9.624677,-3.57
2004-02-03,15634597,1299848,0.03,0.05,10.454616,9.642607,-4.11
2004-02-04,15494164,1299848,0.03,0.05,10.472755,9.659337,-4.97
2004-02-05,15489484,1299848,0.03,0.05,10.490676,9.675866,-5.0
2004-02-06,15842433,1299848,0.03,0.05,10.511202,9.694798,-2.83
2004-02-09,16070869,1299848,0.03,0.05,10.533325,9.715203,-1.43
2004-02-10,16056822,1299848,0.03,0.05,10.555117,9.735302,-1.52
2004-02-11,16305853,1299848,0.03,0.05,10.578656,9.757013,0.0
2004-02-12,16297430,1299848,0.03,0.05,10.601894,9.778446,-0.05
2004-02-13,16308663,1299848,0.03,0.05,10.624989,9.799748,0.0
2004-02-17,16636334,1299848,0.03,0.05,10.650439,9.82322,0.0
2004-02-18,16409772,1299848,0.03,0.05,10.673848,9.844811,-1.36
2004-02-19,16266537,1299848,0.03,0.05,10.695895,9.865146,-2.22
2004-02-20,16083969,1299848,0.03,0.05,10.716284,9.883951,-3.32
2004-02-23,15943548,1299848,0.03,0.05,10.735362,9.901548,-4.16
2004-02-24,15859282,1299848,0.03,0.05,10.753587,9.918357,-4.67
2004-02-25,16032482,1299848,0.03,0.05,10.772995,9.936258,-3.63
2004-02-26,16112057,1299848,0.03,0.05,10.792838,9.954559,-3.15
2004-02-27,16340494,1299848,0.03,0.05,10.814284,9.97434,-1.78
2004-03-01,16713102,1299848,0.03,0.05,10.838455,9.996633,0.0
2004-03-02,16580161,1299848,0.03,0.05,10.861337,10.017738,-0.8
2004-03-03,16477173,1299848,0.03,0.05,10.88318,10.037884,-1.41
2004-03-04,16589524,1299848,0.03,0.05,10.905691,10.058647,-0.74
2004-03-05,16650378,1299848,0.03,0.05,10.928458,10.079646,-0.38
2004-03-08,16491223,1299848,0.03,0.05,10.949743,10.099278,-1.33
2004-03-09,16383562,1299848,0.03,0.05,10.969968,10.117932,-1.97
2004-03-10,16009076,1299848,0.03,0.05,10.987039,10.133677,-4.21
2004-03-11,15662683,1299848,0.03,0.05,11.001209,10.146746,-6.29
2004-03-12,15793752,1299848,0.03,0.05,11.016271,10.160638,-5.5
2004-03-15,15498844,1299848,0.03,0.05,11.028858,10.172248,-7.27
2004-03-16,15690773,1299848,0.03,0.05,11.042834,10.185138,-6.12
2004-03-17,15906093,1299848,0.03,0.05,11.058367,10.199465,-4.83
2004-03-18,15999717,1299848,0.03,0.05,11.074485,10.214331,-4.27
2004-03-19,15789071,1299848,0.03,0.05,11.088781,10.227517,-5.53
2004-03-22,15536299,1299848,0.03,0.05,11.100942,10.238733,-7.04
2004-03-23,15692643,1299848,0.03,0.05,11.114215,10.250975,-6.11
2004-03-24,15704812,1299848,0.03,0.05,11.127451,10.263183,-6.03
2004-03-25,15858349,1299848,0.03,0.05,11.141767,10.276387,-5.11
2004-03-26,15829330,1299848,0.03,0.05,11.155711,10.289248,-5.29
2004-03-29,16032482,1299848,0.03,0.05,11.171118,10.303459,-4.07
2004-03-30,16229087,1299848,0.03,0.05,11.187922,10.318958,-2.9
2004-03-31,16430371,1299848,0.03,0.05,11.206146,10.335766,-1.69
2004-04-01,16564251,1299848,0.03,0.05,11.225245,10.353381,-0.89
2004-04-02,16729960,1299848,0.03,0.05,11.245459,10.372026,0.0
2004-04-05,16846976,1299848,0.03,0.05,11.266395,10.391336,0.0
2004-04-06,16940609,1299848,0.03,0.05,11.287862,10.411134,0.0
2004-04-07,16879745,1299848,0.03,0.05,11.308634,10.430294,-0.36
2004-04-08,16893787,1299848,0.03,0.05,11.329311,10.449364,-0.28
2004-04-12,17023927,1299848,0.03,0.05,11.350808,10.469192,0.0
2004-04-13,16825449,1299848,0.03,0.05,11.370526,10.487378,-1.17
2004-04-14,16577354,1299848,0.03,0.05,11.388092,10.50358,-2.62
2004-04-15,16439734,1299848,0.03,0.05,11.404398,10.518619,-3.43
2004-04-16,16561438,1299848,0.03,0.05,11.421501,10.534394,-2.72
2004-04-19,16589524,1299848,0.03,0.05,11.438656,10.550216,-2.55
