ma_window,buffer_zone_pct,hold_days,recent_months,total_return_pct,cagr,mdd,total_trades,win_rate,final_capital
250,0.03,1,10,1307.2750468182692,10.390570552307633,-44.90518239944918,17,64.70588235294117,140727504.68182692
250,0.03,1,8,1307.2750468182692,10.390570552307633,-44.90518239944918,17,64.70588235294117,140727504.68182692
200,0.05,0,12,1307.114232723286,10.39009892748981,-49.26161846410454,15,73.33333333333333,140711423.27232862
200,0.05,0,10,1307.114232723286,10.39009892748981,-49.26161846410454,15,73.33333333333333,140711423.27232862
150,0.03,4,6,1306.721037416047,10.388945572045394,-48.66856105755753,20,65.0,140672103.7416047
200,0.05,1,2,1301.4520031514844,10.373459957510844,-38.94931006937674,15,66.66666666666666,140145200.31514844
200,0.04,0,2,1300.478783946814,10.370593549831497,-55.183797397833914,19,63.1578947368421,140047878.3946814
200,0.04,2,10,1299.9632474152017,10.369074370970143,-48.40947146957429,17,64.70588235294117,139996324.74152017
200,0.04,3,4,1298.6557621645265,10.365219067920627,-48.321732015184175,17,70.58823529411765,139865576.21645266
150,0.05,0,12,1298.4037112146384,10.364475461618138,-55.539618062116126,17,70.58823529411765,139840371.12146384
200,0.05,3,10,1294.011690672905,10.351497271864352,-39.077978928451195,14,78.57142857142857,139401169.06729048
200,0.05,3,12,1294.011690672905,10.351497271864352,-39.077978928451195,14,78.57142857142857,139401169.06729048
200,0.04,3,6,1289.574157310868,10.338344557672198,-48.321732015184175,17,70.58823529411765,138957415.7310868
150,0.03,3,6,1289.5033494716029,10.338134357828132,-49.46129882591247,21,61.904761904761905,138950334.9471603
200,0.04,2,12,1287.970277608614,10.333580757135419,-48.40947146957429,17,64.70588235294117,138797027.7608614
150,0.03,4,8,1283.6857679171253,10.32082898885096,-48.66856105755753,20,65.0,138368576.79171252
250,0.02,4,10,1283.1607224069564,10.31926370904599,-45.64930265358456,20,65.0,138316072.24069566
150,0.04,2,10,1282.6859422625478,10.317847789174174,-45.15782933885736,18,66.66666666666666,138268594.22625476
150,0.04,4,12,1282.556941654469,10.317462994409986,-42.396855897642084,16,68.75,138255694.1654469
250,0.02,5,10,1282.515333386742,10.31733887410744,-44.27739037864821,20,65.0,138251533.3386742
150,0.03,3,10,1281.7301109274213,10.314995827413043,-49.46129882591247,20,60.0,138173011.09274212
150,0.04,0,4,1281.3707609031223,10.31392312553978,-56.95600378376301,20,65.0,138137076.09031224
250,0.04,4,8,1277.5316032447301,10.302445995842934,-45.72229947516923,14,78.57142857142857,137753160.32447302
200,0.05,1,4,1276.9937410563498,10.300835602832969,-38.94931006937674,15,66.66666666666666,137699374.105635
150,0.03,3,4,1276.1637708304586,10.298349431629084,-49.46129882591247,21,61.904761904761905,137616377.08304587
250,0.03,4,2,1275.4916543258596,10.29633505244767,-46.47493076904769,16,68.75,137549165.43258595
200,0.05,2,4,1274.5938460668563,10.293642780951417,-39.23827982746556,15,66.66666666666666,137459384.60668564
200,0.04,2,2,1274.2353963669746,10.29256741945721,-48.40947146957429,18,66.66666666666666,137423539.63669747
150,0.05,3,6,1273.9366595871936,10.291670992484203,-43.86410825853571,15,80.0,137393665.95871937
150,0.05,3,8,1273.9366595871936,10.291670992484203,-43.86410825853571,15,80.0,137393665.95871937
200,0.04,5,4,1273.2814787827606,10.289704317792857,-44.32563169456239,17,64.70588235294117,137328147.87827605
200,0.04,5,8,1273.2814787827606,10.289704317792857,-44.32563169456239,17,64.70588235294117,137328147.87827605
200,0.04,5,2,1273.2814787827606,10.289704317792857,-44.32563169456239,17,64.70588235294117,137328147.87827605
200,0.04,5,6,1273.2814787827606,10.289704317792857,-44.32563169456239,17,64.70588235294117,137328147.87827605
200,0.04,3,8,1271.830811032495,10.285346591673083,-48.321732015184175,17,64.70588235294117,137183081.1032495
150,0.05,1,2,1262.7482147712283,10.257961722427966,-49.14628155976957,17,64.70588235294117,136274821.47712284
250,0.04,4,12,1260.6248799407788,10.251534336364653,-45.72229947516923,14,78.57142857142857,136062487.9940779
250,0.04,4,10,1260.6248799407788,10.251534336364653,-45.72229947516923,14,78.57142857142857,136062487.9940779
150,0.05,3,10,1258.9852937926146,10.246564659554537,-43.86410825853571,15,80.0,135898529.37926146
200,0.05,0,0,1252.8911900614905,10.228042359928091,-48.6854895658775,16,62.5,135289119.00614905
150,0.05,3,12,1241.123095447584,10.192046226823326,-43.86410825853571,15,80.0,134112309.54475841
150,0.03,3,2,1237.0534201308894,10.179527154980338,-48.95943926826667,22,59.09090909090909,133705342.01308894
150,0.04,2,12,1233.520424562707,10.168629229434778,-45.15782933885736,18,66.66666666666666,133352042.45627068
150,0.03,4,2,1232.9970606523007,10.16701249102181,-46.875433804296144,22,59.09090909090909,133299706.06523007
200,0.04,4,2,1231.909134121983,10.16364978992046,-46.74052224277237,17,64.70588235294117,133190913.41219829
200,0.04,4,6,1231.909134121983,10.16364978992046,-46.74052224277237,17,64.70588235294117,133190913.41219829
200,0.04,4,4,1231.909134121983,10.16364978992046,-46.74052224277237,17,64.70588235294117,133190913.41219829
250,0.04,5,8,1230.210972858162,10.158395609775383,-46.46671011824909,14,78.57142857142857,133021097.2858162
250,0.04,5,6,1230.210972858162,10.158395609775383,-46.46671011824909,14,78.57142857142857,133021097.2858162
150,0.04,5,12,1228.8570832335977,10.154201992074618,-41.02874709855682,16,68.75,132885708.32335977
150,0.05,5,8,1228.4717993372883,10.153007839213712,-44.02965711322796,15,80.0,132847179.93372883
150,0.05,5,6,1228.4717993372883,10.153007839213712,-44.02965711322796,15,80.0,132847179.93372883
200,0.05,0,2,1223.7142724123867,10.138234773706545,-48.6854895658775,16,62.5,132371427.24123867
200,0.04,5,10,1222.2620019186788,10.13371500231881,-44.32563169456239,17,64.70588235294117,132226200.19186789
250,0.02,3,6,1221.912383356361,10.132626202123518,-43.36209298895285,21,61.904761904761905,132191238.33563611
200,0.04,4,8,1221.1025958636887,10.130103255100288,-46.74052224277237,17,64.70588235294117,132110259.58636889
200,0.05,5,0,1219.6660596256147,10.125623965486753,-40.31204006209978,14,71.42857142857143,131966605.96256149
200,0.05,5,2,1219.6660596256147,10.125623965486753,-40.31204006209978,14,71.42857142857143,131966605.96256149
150,0.03,4,4,1218.7465509468743,10.122754364477116,-48.66856105755753,21,61.904761904761905,131874655.09468742
200,0.05,5,4,1218.5070048066275,10.122006473077061,-40.31204006209978,14,71.42857142857143,131850700.48066276
150,0.03,4,10,1217.8913688167472,10.12008378446283,-48.66856105755753,20,60.0,131789136.88167474
200,0.04,3,10,1217.0278411759905,10.117385449727024,-48.321732015184175,17,64.70588235294117,131702784.11759906
150,0.05,4,8,1216.0749471156842,10.114405887238709,-46.29622157034537,15,80.0,131607494.7115684
150,0.05,4,6,1216.0749471156842,10.114405887238709,-46.29622157034537,15,80.0,131607494.7115684
150,0.05,3,0,1215.5083287710254,10.11263316856068,-41.02872373343413,16,68.75,131550832.87710252
250,0.04,5,10,1213.6962769694924,10.106959056507048,-46.46671011824909,14,78.57142857142857,131369627.69694923
250,0.04,5,12,1213.6962769694924,10.106959056507048,-46.46671011824909,14,78.57142857142857,131369627.69694923
150,0.05,5,12,1211.3337830861149,10.099550009642577,-44.02965711322796,15,80.0,131133378.30861148
150,0.05,5,10,1211.3337830861149,10.099550009642577,-44.02965711322796,15,80.0,131133378.30861148
250,0.03,5,2,1209.9957937432541,10.095348223179856,-46.151957308591975,16,68.75,130999579.37432542
150,0.05,4,10,1209.7963018695968,10.09472139029497,-46.29622157034537,15,80.0,130979630.18695968
250,0.02,3,4,1206.6986258396978,10.084976224494046,-43.36209298895285,21,61.904761904761905,130669862.58396979
250,0.04,4,0,1206.3650041311955,10.083925337648525,-45.105980271058904,15,73.33333333333333,130636500.41311955
250,0.02,5,4,1205.1950793086528,10.080238107442252,-44.27739037864821,21,61.904761904761905,130519507.93086527
250,0.02,2,10,1203.7191076250258,10.075581773611141,-44.703256915595084,22,59.09090909090909,130371910.76250258
200,0.05,0,4,1200.6152251248704,10.065773195893124,-48.6854895658775,16,62.5,130061522.51248705
250,0.02,4,6,1199.7931082719044,10.063171450293007,-45.64930265358456,21,61.904761904761905,129979310.82719044
250,0.02,4,4,1198.600311160426,10.059393798468609,-45.64930265358456,21,61.904761904761905,129860031.1160426
250,0.02,2,12,1196.1287404289808,10.051555560071668,-44.703256915595084,22,59.09090909090909,129612874.04289807
250,0.02,3,8,1194.489163959608,10.046347932248212,-43.36209298895285,21,61.904761904761905,129448916.3959608
250,0.03,3,4,1194.4599990051436,10.046255240966385,-44.72312744847902,16,68.75,129445999.90051435
250,0.02,5,6,1192.8570381650957,10.041157659369837,-44.27739037864821,21,61.904761904761905,129285703.81650957
250,0.03,3,6,1192.2329655549684,10.03917139821131,-44.72312744847902,16,68.75,129223296.55549684
150,0.03,2,8,1191.5690557574205,10.037057331684696,-49.74749065138535,22,59.09090909090909,129156905.57574205
150,0.05,0,4,1189.1573777045178,10.029369091555985,-55.539618062116126,18,61.111111111111114,128915737.77045177
250,0.05,0,0,1188.4540768468628,10.027124416119705,-38.6123242213854,15,73.33333333333333,128845407.68468629
200,0.03,3,2,1187.4984594162395,10.02407254898614,-40.59902979558325,21,61.904761904761905,128749845.94162396
250,0.03,3,12,1186.372809308069,10.020474865974883,-44.72312744847902,16,68.75,128637280.9308069
150,0.04,0,6,1186.2170024715895,10.019976654009998,-59.186097879051594,20,65.0,128621700.24715894
150,0.03,5,6,1185.047127488018,10.016233974747891,-46.27047807190892,20,65.0,128504712.74880181
200,0.04,3,2,1184.401088023653,10.014165750922487,-48.321732015184175,18,66.66666666666666,128440108.8023653
200,0.05,3,0,1180.628806431907,10.00206917723563,-39.83108883857477,15,66.66666666666666,128062880.6431907
250,0.03,3,10,1180.3906434627343,10.001304309464532,-44.72312744847902,16,68.75,128039064.34627344
250,0.03,3,8,1180.3906434627343,10.001304309464532,-44.72312744847902,16,68.75,128039064.34627344
200,0.04,4,10,1179.3352455485337,9.99791321730874,-46.74052224277237,17,64.70588235294117,127933524.55485336
