Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,ugl_current_price,ugl_return_pct,ugl_contribution,ubt_current_price,ubt_return_pct,ubt_contribution,total_pnl,total_return_pct
2021-07-22,87788818,30,False,,30143321,0.3434,buy,1004251,15.298459,11960269,14779828,31036552,0.3535,buy,830834,14.628912,22225309,18882354,13030148,0.1484,buy,874947,13.015112,1469006,1642615,13578766,0.1547,buy,275258,46.04151,5923964,905473,0.0,30.015724,96.20096871087004,26740097,37.3559,155.35664761858325,41107663,14.8925,14.424679471249323,3111621,49.331051,7.144729793565641,6829436,77788817.70859405,777.8881770859406
2021-07-23,88826137,30,False,,30737442,0.346,buy,1004251,15.298459,11960269,15373949,31742769,0.3574,buy,830834,14.628912,22225309,19588571,12942653,0.1457,buy,874947,13.015112,1469006,1555120,13403242,0.1509,buy,275258,46.04151,5923964,729948,0.0,30.60733,100.0680641804034,27334218,38.20591,161.167127463595,41813880,14.7925,13.6563418551926,3024127,48.693378,5.759733936054889,6653912,78826136.53940606,788.2613653940606
2021-07-26,88899016,30,False,,30893908,0.3475,buy,1004251,15.298459,11960269,15530416,31812565,0.3579,buy,830834,14.628912,22225309,19658367,12877032,0.1449,buy,874947,13.015112,1469006,1489499,13315480,0.1498,buy,275258,46.04151,5923964,642186,0.0,30.763134,101.08649357857576,27490685,38.289917,161.74138068454516,41883676,14.7175,13.080088643150024,2958506,48.374542,5.067237093276056,6566150,78899015.54936005,788.9901554936005
2021-07-27,88248819,30,False,,30610302,0.3469,buy,1004251,15.298459,11960269,15246809,31114563,0.3526,buy,830834,14.628912,22225309,18960365,12920780,0.1464,buy,874947,13.015112,1469006,1533247,13603144,0.1541,buy,275258,46.04151,5923964,929850,-0.73,30.480728,99.24051675756816,27207078,37.449795,155.9984930145755,41185674,14.7675,13.464257451178408,3002253,49.419613,7.337082305170917,6853814,78248818.62302405,782.4881862302404
2021-07-28,88565386,30,False,,30583403,0.3453,buy,1004251,15.298459,11960269,15219910,31336286,0.3538,buy,830834,14.628912,22225309,19182088,13049835,0.1473,buy,874947,13.015112,1469006,1662301,13595832,0.1535,buy,275258,46.04151,5923964,922539,-0.38,30.453943,99.06543375950618,27180179,37.716663,157.8227434766625,41407397,14.915,14.597555434862075,3131308,49.393051,7.279390886579873,6846502,78565386.04740505,785.6538604740505
2021-07-29,89087731,30,False,,30835238,0.3461,buy,1004251,15.298459,11960269,15471745,31459461,0.3531,buy,830834,14.628912,22225309,19305264,13338567,0.1497,buy,874947,13.015112,1469006,1951034,13454435,0.151,buy,275258,46.04151,5923964,781141,0.0,30.704712,100.70461196898921,27432014,37.864918,158.83618177670868,41530572,15.245,17.1330695678493,3420040,48.87936,6.16367811994154,6705105,79087731.31381606,790.8773131381605
2021-07-30,88354995,30,False,,30539401,0.3456,buy,1004251,15.298459,11960269,15175909,31122777,0.3522,buy,830834,14.628912,22225309,18968580,13106706,0.1483,buy,874947,13.015112,1469006,1719173,13586080,0.1538,buy,275258,46.04151,5923964,912786,-0.82,30.410128,98.7790323572256,27136178,37.459682,156.06607835383932,41193888,14.98,15.096974885298975,3188179,49.35762,7.202436415828473,6836750,78354995.12648804,783.5499512648805
2021-08-02,88447346,30,False,,30412262,0.3438,buy,1004251,15.298459,11960269,15048770,31118671,0.3518,buy,830834,14.628912,22225309,18964473,13091394,0.148,buy,874947,13.015112,1469006,1703861,13824988,0.1563,buy,275258,46.04151,5923964,1151694,-0.72,30.283527,97.9514914709966,27009039,37.454739,156.0322891020965,41189781,14.9625,14.96251580248904,3172868,50.225563,9.087567916700333,7075658,78447345.81496905,784.4734581496905
2021-08-03,89270077,30,False,,30903686,0.3462,buy,1004251,15.298459,11960269,15540194,31496413,0.3528,buy,830834,14.628912,22225309,19342215,13049835,0.1462,buy,874947,13.015112,1469006,1662301,13820113,0.1548,buy,275258,46.04151,5923964,1146819,0.0,30.772871,101.15014051350686,27500463,37.909393,159.14020301305519,41567523,14.915,14.597555434862075,3131308,50.207851,9.04909828316054,7070783,79270076.66555305,792.7007666555305
2021-08-04,89160190,30,False,,30598076,0.3432,buy,1004251,15.298459,11960269,15234583,31599066,0.3544,buy,830834,14.628912,22225309,19444869,13067333,0.1466,buy,874947,13.015112,1469006,1679800,13895684,0.1559,buy,275258,46.04151,5923964,1222390,-0.12,30.468554,99.16094011323713,27194852,38.032948,159.9847975910606,41670177,14.935,14.751222958073429,3148806,50.482399,9.645403666464937,7146354,79160190.18224005,791.6019018224006
