Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,ugl_close,ugl_shares,ugl_weight,ugl_signal_today,ugl_pending_intent,ugl_pending_reason,ugl_pending_delta,ugl_executed_intent,ugl_exec_side,ugl_exec_shares,ugl_exec_price,ubt_close,ubt_shares,ubt_weight,ubt_signal_today,ubt_pending_intent,ubt_pending_reason,ubt_pending_delta,ubt_executed_intent,ubt_exec_side,ubt_exec_shares,ubt_exec_price
2019-04-02,40343127,18,False,True,monthly,14.549288,967707,0.349,hold,,,0.0,INCREASE_TO_TARGET,buy,4218,14.555324,11.468032,1234270,0.3509,hold,,,0.0,REDUCE_TO_TARGET,sell,54693,11.372097,9.2925,652535,0.1503,hold,,,0.0,INCREASE_TO_TARGET,buy,69037,9.2575,35.154839,171963,0.1498,hold,,,0.0,REDUCE_TO_TARGET,sell,2303,35.014563
2019-04-03,40440786,18,False,False,,14.602401,967707,0.3494,hold,,,0.0,,,0,0.0,11.600105,1234270,0.354,hold,,,0.0,,,0,0.0,9.27,652535,0.1496,hold,,,0.0,,,0,0.0,34.561279,171963,0.147,hold,,,0.0,,,0,0.0
2019-04-04,40553399,18,False,False,,14.670001,967707,0.3501,hold,,,0.0,,,0,0.0,11.590231,1234270,0.3528,hold,,,0.0,,,0,0.0,9.315,652535,0.1499,hold,,,0.0,,,0,0.0,34.735847,171963,0.1473,hold,,,0.0,,,0,0.0
2019-04-05,40816743,18,False,False,,14.79554,967707,0.3508,hold,,,0.0,,,0,0.0,11.703787,1234270,0.3539,hold,,,0.0,,,0,0.0,9.29,652535,0.1485,hold,,,0.0,,,0,0.0,34.840595,171963,0.1468,hold,,,0.0,,,0,0.0
2019-04-08,40938548,18,False,False,,14.829337,967707,0.3505,hold,,,0.0,,,0,0.0,11.764269,1234270,0.3547,hold,,,0.0,,,0,0.0,9.38,652535,0.1495,hold,,,0.0,,,0,0.0,34.583103,171963,0.1453,hold,,,0.0,,,0,0.0
2019-04-09,40784337,18,False,False,,14.671206,967707,0.3481,hold,,,0.0,,,0,0.0,11.681569,1234270,0.3535,hold,,,0.0,,,0,0.0,9.4725,652535,0.1516,hold,,,0.0,,,0,0.0,34.818783,171963,0.1468,hold,,,0.0,,,0,0.0
2019-04-10,41087775,18,False,False,,14.766568,967707,0.3478,hold,,,0.0,,,0,0.0,11.80747,1234270,0.3547,hold,,,0.0,,,0,0.0,9.52,652535,0.1512,hold,,,0.0,,,0,0.0,34.962791,171963,0.1463,hold,,,0.0,,,0,0.0
2019-04-11,40781746,18,False,False,,14.759323,967707,0.3502,hold,,,0.0,,,0,0.0,11.749457,1234270,0.3556,hold,,,0.0,,,0,0.0,9.275,652535,0.1484,hold,,,0.0,,,0,0.0,34.570011,171963,0.1458,hold,,,0.0,,,0,0.0
2019-04-12,40992927,18,False,False,,14.957294,967707,0.3531,hold,,,0.0,,,0,0.0,11.845734,1234270,0.3567,hold,,,0.0,,,0,0.0,9.2575,652535,0.1474,hold,,,0.0,,,0,0.0,34.059383,171963,0.1429,hold,,,0.0,,,0,0.0
2019-04-15,41010706,18,False,False,,14.937977,967707,0.3525,hold,,,0.0,,,0,0.0,11.846967,1234270,0.3565,hold,,,0.0,,,0,0.0,9.2225,652535,0.1467,hold,,,0.0,,,0,0.0,34.395439,171963,0.1442,hold,,,0.0,,,0,0.0
