Date,Open,High,Low,Close,ma_200
2006-08-15,31.808,32.278279,31.713944,32.235527,34.379138
2006-08-16,32.474938,33.013622,32.355231,32.996521,34.380911
2006-08-17,32.885358,33.329986,32.868256,33.116222,34.38094
2006-08-18,33.030737,33.201748,32.731466,33.167545,34.381353
2006-08-21,32.919568,32.970872,32.714353,32.851162,34.378012
2006-08-22,32.799861,33.184636,32.663053,32.859715,34.372202
2006-08-23,32.885376,33.064937,32.423646,32.611759,34.364555
2006-08-24,32.705803,32.791307,32.423634,32.705803,34.357165
2006-08-25,32.637408,33.039284,32.543354,32.765667,34.350032
2006-08-28,32.740013,33.16754,32.697261,33.01363,34.344054
2006-08-29,32.987966,33.141873,32.645944,33.116222,34.336715
2006-08-30,33.107675,33.372739,33.005066,33.270134,34.329676
2006-08-31,33.312902,33.372755,33.14189,33.235947,34.322467
2006-09-01,33.415501,33.526655,33.261591,33.415501,34.316965
2006-09-05,33.432598,33.757519,33.218834,33.740417,34.312023
2006-09-06,33.4326,33.509554,33.013625,33.064926,34.301403
2006-09-07,32.962316,33.261586,32.799857,32.911015,34.289417
2006-09-08,32.953779,33.193193,32.885373,33.107689,34.277989
2006-09-11,32.842614,33.475355,32.765659,33.312893,34.266948
2006-09-12,33.304358,34.031152,33.304358,33.928547,34.258559
2006-09-13,33.954187,34.185052,33.885784,34.159401,34.250942
2006-09-14,34.073908,34.390281,33.996953,34.193619,34.244986
2006-09-15,34.478493,34.615381,34.22183,34.315941,34.240493
2006-09-18,34.324493,34.564048,34.170495,34.324493,34.23647
2006-09-19,34.410037,34.435702,33.811155,34.093483,34.228011
2006-09-20,34.392943,34.683828,34.384385,34.589718,34.221608
2006-09-21,34.67526,34.795036,34.290267,34.37582,34.215456
2006-09-22,34.350166,34.35872,33.96517,34.110611,34.207381
2006-09-25,34.256054,34.786491,33.948057,34.709492,34.202642
2006-09-26,34.666729,34.906281,34.564064,34.880615,34.200036
2006-09-27,34.795042,35.034597,34.649601,34.837822,34.196534
2006-09-28,34.880608,34.983273,34.589722,34.931942,34.192865
2006-09-29,34.99181,35.017475,34.752255,34.777924,34.187701
2006-10-02,34.735164,34.820721,34.290283,34.341614,34.180951
2006-10-03,34.238936,34.632486,34.11916,34.487045,34.174631
2006-10-04,34.427169,35.342603,34.341612,35.334045,34.17378
2006-10-05,35.334048,35.556491,35.231383,35.505157,34.176602
2006-10-06,35.38537,35.55648,35.282705,35.428146,34.178911
2006-10-09,35.385368,35.710476,35.351145,35.54792,34.18105
2006-10-10,35.5907,35.719033,35.342594,35.607811,34.182336
2006-10-11,35.44528,35.7875,35.222836,35.539391,34.18328
2006-10-12,35.727603,36.146823,35.676273,36.104046,34.188584
2006-10-13,36.129698,36.377807,36.052699,36.300808,34.195085
2006-10-16,36.300807,36.46336,36.275142,36.33503,34.202911
2006-10-17,36.078367,36.104036,35.727594,35.932926,34.210049
2006-10-18,36.121149,36.198148,35.633488,35.761818,34.212489
2006-10-19,35.667718,36.027049,35.582165,35.847385,34.213521
2006-10-20,35.967149,36.001371,35.624929,35.932926,34.214213
2006-10-23,35.864478,36.429141,35.778925,36.300808,34.213499
2006-10-24,36.172461,36.317905,35.864464,36.052685,34.210819
2006-10-25,36.06981,36.377807,35.9757,36.300808,34.209251
2006-10-26,36.429143,36.720025,36.121146,36.634472,34.207943
2006-10-27,36.548921,36.634474,36.001372,36.112591,34.204922
2006-10-30,36.0698,36.489019,35.984247,36.343575,34.203141
2006-10-31,36.412023,36.58313,36.198137,36.429134,34.202983
2006-11-01,36.557474,36.591697,35.778928,35.932926,34.202437
2006-11-02,35.770358,36.052686,35.71047,35.967133,34.200737
2006-11-03,36.018473,36.095472,35.599257,35.873032,34.20399
2006-11-06,35.992828,36.540377,35.984274,36.394936,34.209809
2006-11-07,36.394934,36.865484,36.335046,36.643044,34.216101
2006-11-08,36.43769,36.959573,36.335025,36.814129,34.224016
2006-11-09,37.010925,37.087925,36.506153,36.643044,34.229838
2006-11-10,36.651576,36.822686,36.506132,36.814129,34.234124
2006-11-13,36.83124,37.250459,36.788463,37.190571,34.239951
2006-11-14,37.216225,37.618333,36.993785,37.58411,34.248557
2006-11-15,37.635453,37.986226,37.575561,37.738117,34.257292
2006-11-16,37.866462,38.003349,37.661133,37.900684,34.269914
2006-11-17,37.695355,37.900684,37.601245,37.900684,34.284714
2006-11-20,37.780897,38.054672,37.652564,37.977673,34.300368
2006-11-21,38.003327,38.080326,37.857886,38.028996,34.317048
2006-11-22,38.140232,38.285674,37.866455,38.268562,34.332918
2006-11-24,37.986225,38.379775,37.969114,38.200111,34.350112
2006-11-27,38.080349,38.165906,37.336025,37.336025,34.361917
2006-11-28,37.224795,37.507127,37.079354,37.447239,34.376286
2006-11-29,37.644008,37.798006,37.353122,37.703896,34.390187
2006-11-30,37.686796,37.883571,37.464355,37.678242,34.40285
2006-12-01,37.644028,37.943467,37.010922,37.353142,34.412265
2006-12-04,37.464339,38.054665,37.464339,37.866444,34.425655
2006-12-05,37.977676,38.114564,37.806567,38.003342,34.441694
2006-12-06,37.883555,37.986223,37.703891,37.866444,34.45487
2006-12-07,37.934897,38.054673,37.387348,37.387348,34.466121
2006-12-08,37.267586,37.866466,37.190587,37.558472,34.477758
2006-12-11,37.498579,37.960572,37.430134,37.695354,34.488116
2006-12-12,37.686787,37.755232,37.267571,37.4729,34.500008
2006-12-13,37.729562,37.738119,37.3189,37.541344,34.509852
2006-12-14,37.61834,38.131666,37.592671,37.960556,34.521663
2006-12-15,38.272379,38.340904,37.989703,38.058231,34.534988
2006-12-18,38.186707,38.332326,37.518566,37.68132,34.547965
2006-12-19,37.390086,37.741287,37.158807,37.561401,34.561367
2006-12-20,37.60421,37.784093,37.407192,37.424324,34.573999
2006-12-21,37.467178,37.510007,37.013184,37.158806,34.586797
2006-12-22,37.175944,37.184508,36.773346,36.773346,34.597497
2006-12-26,36.773331,36.936081,36.730502,36.927517,34.608455
2006-12-27,37.013178,37.175932,36.918952,37.115971,34.61741
2006-12-28,37.004613,37.1588,36.876124,36.936085,34.623971
2006-12-29,36.996037,37.355806,36.936076,36.970341,34.632198
2007-01-03,37.22733,37.741285,36.422139,37.038883,34.640302
2007-01-04,37.090274,37.86977,36.961788,37.741283,34.65149
2007-01-05,37.647062,37.647062,37.244465,37.561401,34.663659
2007-01-08,37.595665,37.79268,37.381518,37.587101,34.675529
2007-01-09,37.698446,37.938293,37.372945,37.775539,34.688855
2007-01-10,37.655645,38.255257,37.535723,38.220993,34.70351
2007-01-11,38.298054,38.752048,38.246661,38.614994,34.720092
2007-01-12,38.563589,38.846261,38.52076,38.812,34.738386
2007-01-16,38.846277,38.889109,38.65783,38.786316,34.753219
2007-01-17,38.623566,38.794884,38.400854,38.469379,34.765911
2007-01-18,38.366596,38.409425,37.647062,37.758419,34.775562
2007-01-19,37.664191,37.929732,37.612795,37.835506,34.785385
2007-01-22,37.86975,37.886882,37.270138,37.424324,34.792169
2007-01-23,37.398642,37.67275,37.261588,37.330116,34.796772
2007-01-24,37.569971,37.964001,37.492878,37.946869,34.803947
2007-01-25,37.998247,38.092472,37.330109,37.458595,34.810433
2007-01-26,37.52715,37.544282,37.081724,37.321568,34.816489
2007-01-29,37.227315,37.61278,37.175922,37.355804,34.82417
2007-01-30,37.415784,37.510009,37.27873,37.372955,34.831893
2007-01-31,37.330121,37.852637,37.115974,37.749847,34.840774
2007-02-01,37.921156,38.032513,37.561387,37.689877,34.851236
2007-02-02,37.792667,37.904024,37.638481,37.826931,34.858965
2007-02-05,37.809803,37.998254,37.655617,37.792671,34.865711
2007-02-06,37.861205,37.886902,37.381515,37.741283,34.87284
2007-02-07,37.929741,38.246681,37.792687,38.083927,34.88382
2007-02-08,38.032515,38.20383,37.886894,38.075344,34.894927
2007-02-09,38.178146,38.306635,37.458611,37.587101,34.903977
2007-02-12,37.57854,37.595673,37.338697,37.441486,34.912342
2007-02-13,37.501425,37.689876,37.4329,37.569954,34.919641
2007-02-14,37.724147,38.29806,37.724147,38.203835,34.93186
2007-02-15,38.229533,38.426548,38.161004,38.426548,34.946945
2007-02-16,38.25521,38.400831,38.178117,38.298038,34.960917
2007-02-20,38.23809,38.649252,38.058207,38.589291,34.976602
2007-02-21,38.477934,38.726345,38.400844,38.709213,34.991434
2007-02-22,38.854849,39.0176,38.606438,38.906242,35.005841
2007-02-23,38.906227,38.940491,38.597858,38.769173,35.019392
2007-02-26,38.957643,38.974776,38.340899,38.580746,35.032684
2007-02-27,38.006822,38.101048,36.884694,36.996048,35.039634
2007-02-28,36.961784,37.484301,36.773334,37.115971,35.051157
2007-03-01,36.447807,37.295831,36.182267,36.94463,35.064172
2007-03-02,36.644831,36.953203,36.379291,36.387856,35.074532
2007-03-05,36.105202,36.661982,36.028109,36.105202,35.084761
2007-03-06,36.430692,36.824725,36.404995,36.7048,35.100294
2007-03-07,36.713386,36.816176,36.533504,36.5592,35.116253
2007-03-08,36.94466,37.038885,36.696248,36.807606,35.132173
2007-03-09,37.115983,37.124547,36.533502,36.773346,35.149544
2007-03-12,36.721951,37.073152,36.68769,37.013191,35.169739
2007-03-13,36.833299,37.038882,36.285083,36.293648,35.185225
2007-03-14,36.345047,36.833302,36.062371,36.824738,35.201187
2007-03-15,36.747665,36.884719,36.593479,36.739098,35.216165
2007-03-16,36.805089,36.890804,36.522239,36.710808,35.234634
2007-03-19,36.907929,37.190779,36.813644,37.087925,35.25422
2007-03-20,37.07935,37.362204,37.036494,37.353634,35.271203
2007-03-21,37.405069,38.09077,37.156501,38.073627,35.292213
2007-03-22,38.090761,38.099334,37.790767,37.936478,35.316212
2007-03-23,37.936472,38.030757,37.773619,37.816475,35.33974
2007-03-26,37.833635,37.987919,37.396501,37.970776,35.365277
2007-03-27,37.910764,37.919337,37.670769,37.705055,35.389743
2007-03-28,37.542199,37.739338,37.293631,37.302204,35.413262
2007-03-29,37.559363,37.585076,36.94223,37.345081,35.4402
2007-03-30,37.336488,37.602196,37.045064,37.310772,35.467607
2007-04-02,37.430759,37.5079,37.113622,37.36219,35.493648
2007-04-03,37.559338,37.979332,37.533625,37.850761,35.517773
2007-04-04,37.87648,38.039337,37.825055,38.005051,35.543885
2007-04-05,37.962198,38.210766,37.910769,38.193623,35.572264
2007-04-09,38.322183,38.356469,38.039332,38.099331,35.599959
2007-04-10,38.09077,38.296482,38.065057,38.296482,35.626074
2007-04-11,38.262185,38.279328,37.773622,37.89362,35.652269
2007-04-12,37.833627,38.245048,37.670774,38.193623,35.680136
2007-04-13,38.202184,38.330754,37.962189,38.270756,35.707961
2007-04-16,38.425046,38.699326,38.425046,38.622185,35.740621
2007-04-17,38.699316,38.742172,38.53646,38.707886,35.772512
2007-04-18,38.510754,38.767892,38.425043,38.579323,35.798844
2007-04-19,38.407913,38.785049,38.330772,38.699337,35.826589
2007-04-20,39.016463,39.14503,38.742182,38.913609,35.854422
2007-04-23,38.965029,39.085027,38.862175,38.973602,35.886188
2007-04-24,39.110747,39.282173,38.853609,39.170746,35.919111
2007-04-25,39.299318,39.70217,39.170751,39.6936,35.956444
2007-04-26,39.78788,39.985022,39.710741,39.899307,35.996217
2007-04-27,39.745013,40.027867,39.676444,39.916439,36.034878
2007-04-30,39.847881,39.882163,39.359315,39.3936,36.07396
2007-05-01,39.402169,39.547879,39.136458,39.35931,36.115522
2007-05-02,39.505041,39.925035,39.470755,39.787891,36.160808
2007-05-03,39.865022,40.045021,39.796453,39.933594,36.206438
2007-05-04,40.087862,40.190717,39.787866,39.967865,36.251726
2007-05-07,39.993578,40.096432,39.916436,39.967865,36.295006
2007-05-08,39.830737,40.087875,39.685024,40.053589,36.341022
2007-05-09,39.847881,40.259303,39.822165,40.139305,36.389091
2007-05-10,40.002146,40.09643,39.487871,39.590725,36.431382
2007-05-11,39.633589,40.096436,39.58216,40.096436,36.475304
2007-05-14,40.08787,40.182154,39.590734,39.822159,36.517983
2007-05-15,39.787865,40.027863,39.419303,39.513584,36.560145
2007-05-16,39.599314,39.90788,39.350746,39.899307,36.600986
2007-05-17,39.847891,39.91646,39.676465,39.710751,36.640927
2007-05-18,39.839299,40.036438,39.753588,40.036438,36.685148
2007-05-21,40.06218,40.490744,40.002178,40.293602,36.728901
2007-05-22,40.319296,40.525005,40.173582,40.327866,36.771842
2007-05-23,40.447868,40.602152,40.113589,40.139305,36.814568
2007-05-24,40.165004,40.319287,39.402161,39.565014,36.855448
2007-05-25,39.650723,39.907864,39.582155,39.81358,36.898554
2007-05-29,39.856455,40.165021,39.779313,40.122166,36.942989
2007-05-30,39.839316,40.456449,39.727888,40.447876,36.987941
2007-05-31,40.559295,40.730721,40.46501,40.636436,37.034948
2007-06-01,40.782152,40.945005,40.602153,40.662151,37.081057
2007-06-04,40.516432,40.833568,40.490719,40.782143,37.12379
2007-06-05,40.670715,40.782143,40.285007,40.782143,37.162718
2007-06-06,40.602158,40.610731,40.250736,40.34502,37.198862
2007-06-07,40.20787,40.465007,39.702164,39.719307,37.231621
2007-06-08,39.702169,40.225017,39.565028,40.207874,37.268405
2007-06-11,40.182155,40.447862,40.079297,40.130726,37.30476
2007-06-12,39.916437,40.319288,39.813583,39.890724,37.341155
2007-06-13,40.062158,40.362152,39.890732,40.327866,37.379265
2007-06-14,40.370719,40.705002,40.36215,40.593575,37.418404
2007-06-15,40.968426,41.062784,40.874071,40.968426,37.458178
2007-06-18,41.045635,41.062791,40.891231,40.977013,37.497482
2007-06-19,40.856914,41.054208,40.753976,40.968426,37.535974
2007-06-20,41.028495,41.105694,40.522394,40.582439,37.572706
2007-06-21,40.565276,40.994176,40.38514,40.951286,37.610385
2007-06-22,40.865505,40.925551,40.436606,40.565277,37.64451
2007-06-25,40.573844,40.81403,40.162101,40.393707,37.681153
2007-06-26,40.582432,40.591008,40.093487,40.162109,37.717409
2007-06-27,40.119219,40.79688,40.059174,40.779724,37.755769
2007-06-28,40.762562,41.045633,40.719673,40.762562,37.793017
2007-06-29,40.9856,41.071382,40.496655,40.831196,37.827531
2007-07-02,40.925551,41.217203,40.899818,41.200047,37.862734
2007-07-03,41.251507,41.4488,41.208618,41.440224,37.898967
2007-07-05,41.46596,41.834814,41.423071,41.740456,37.93609
2007-07-06,41.783328,41.954888,41.603191,41.911999,37.974027
2007-07-09,41.946324,42.014946,41.79192,41.937744,38.013248
2007-07-10,41.706143,41.946329,41.543163,41.586052,38.04823
2007-07-11,41.491711,41.869144,41.448822,41.869144,38.085697
2007-07-12,42.006362,42.606818,41.963469,42.512463,38.127706
2007-07-13,42.572506,42.864157,42.521037,42.804111,38.168179
2007-07-16,42.795539,42.958523,42.684025,42.761227,38.207582
2007-07-17,42.855583,43.147234,42.82127,43.087189,38.248829
2007-07-18,42.847011,43.035725,42.581093,43.035725,38.289348
2007-07-19,43.241596,43.456046,43.155818,43.164394,38.33128
2007-07-20,43.138662,43.198707,42.666874,42.932789,38.374236
2007-07-23,43.07863,43.155832,42.821288,42.949959,38.416551
2007-07-24,42.632566,42.975683,42.074996,42.315182,38.451456
2007-07-25,42.529621,42.60682,42.083566,42.375217,38.485807
2007-07-26,42.083587,42.435284,41.217209,42.014961,38.518741
2007-07-27,41.937734,42.135027,41.165718,41.165718,38.54683
2007-07-30,41.363043,41.800518,41.131437,41.646114,38.577021
2007-07-31,42.006384,42.023541,40.685374,40.771152,38.60318
2007-08-01,40.651053,41.114264,40.299356,41.088531,38.628102
2007-08-02,41.114268,41.543167,40.994177,41.465965,38.653928
2007-08-03,41.388751,41.44022,40.445174,40.676777,38.675637
2007-08-06,40.719653,41.191441,40.34222,41.148552,38.701715
2007-08-07,41.07137,41.706139,40.72825,41.440224,38.730107
2007-08-08,41.611788,42.08358,41.517433,41.894863,38.760344
2007-08-09,41.337272,42.006356,40.908373,40.925529,38.785308
2007-08-10,40.488083,41.028497,39.999139,40.556705,38.806587
2007-08-13,40.899821,41.071382,40.728261,40.831196,38.83048
2007-08-14,40.916968,40.95128,40.084903,40.136372,38.849657
2007-08-15,40.041994,40.393691,39.295711,39.372913,38.86335
2007-08-16,39.055553,39.381517,38.077664,38.986931,38.877721
2007-08-17,39.724628,39.964811,39.107013,39.724628,38.894627
2007-08-20,39.87904,40.076333,39.527343,39.913349,38.912048
2007-08-21,39.870452,40.428022,39.79325,40.333664,38.934051
2007-08-22,40.642466,40.916961,40.548108,40.882648,38.958629
