Date,Open,High,Low,Close,Volume,ma_200,change_pct
2022-12-21,91.660914,91.757594,90.49197,91.142357,15894100,97.998474,0.25
2022-12-22,91.115988,91.511499,90.861105,91.124779,11322500,97.930079,-0.02
2022-12-23,90.157964,90.360108,89.665773,89.788826,15408900,97.849072,-1.47
2022-12-27,88.321081,88.830847,87.899211,88.013466,26475700,97.751205,-1.98
2022-12-28,88.46172,88.575975,87.319142,87.494926,17302900,97.649153,-0.59
2022-12-29,87.767336,88.760495,87.705813,88.488037,16593000,97.557997,1.14
2022-12-30,87.776157,88.373813,87.336705,87.503693,20810200,97.457954,-1.11
2023-01-03,89.823994,89.94704,88.628684,89.173607,25313200,97.375523,1.91
2023-01-04,90.720483,90.949,89.832788,90.395287,21678200,97.306068,1.37
2023-01-05,89.533972,90.782015,89.454868,90.773224,14771100,97.241065,0.42
2023-01-06,90.263445,92.548601,90.210713,92.44313,27473700,97.193324,1.84
2023-01-09,91.766358,93.102289,91.643305,92.935295,21472200,97.150956,0.53
2023-01-10,91.871826,92.126709,90.966556,91.397217,20545200,97.093704,-1.65
2023-01-11,92.25857,92.917748,92.021262,92.882591,18794000,97.051803,1.63
2023-01-12,93.005655,94.754673,91.898234,94.710732,32029600,97.028509,1.97
2023-01-13,94.130644,94.745881,93.497832,93.823029,17750800,96.996613,-0.94
2023-01-17,92.873804,93.743923,92.856228,93.216576,13911700,96.959001,-0.65
2023-01-18,95.325945,95.598403,94.148217,95.475357,35497200,96.944238,2.42
2023-01-19,95.00953,95.246838,94.429457,94.877693,17194700,96.923676,-0.63
2023-01-20,94.007584,94.253676,93.260517,93.339615,22754100,96.888013,-1.62
2023-01-23,92.785914,93.339621,92.7156,92.900169,12961500,96.848333,-0.47
2023-01-24,93.269321,94.438259,92.627718,94.236115,16417200,96.822341,1.44
2023-01-25,94.367927,94.842536,93.726324,94.464607,11906500,96.798881,0.24
2023-01-26,94.165791,94.614034,93.594502,94.025169,15549400,96.771282,-0.47
2023-01-27,93.330837,94.007591,93.260524,93.787865,11845500,96.741596,-0.25
2023-01-30,93.568168,94.183405,93.330867,93.445122,11459700,96.708795,-0.37
2023-01-31,94.025174,94.288842,93.04959,94.192162,13705300,96.683754,0.8
2023-02-01,94.769308,95.685714,93.773588,95.32444,25305800,96.670229,1.2
2023-02-02,95.976505,96.355406,95.245136,95.447807,19548400,96.658065,0.13
2023-02-03,94.082014,94.381613,93.474014,94.020332,20619500,96.631819,-1.5
2023-02-06,93.183221,93.676672,93.12154,93.324211,15182400,96.598908,-0.74
2023-02-07,92.813129,93.606179,92.522343,92.575211,18290300,96.558871,-0.8
2023-02-08,92.55762,93.03345,91.984861,93.015823,13530700,96.523617,0.48
2023-02-09,93.817657,93.949833,91.984832,92.134628,20469900,96.479945,-0.95
2023-02-10,91.993662,92.02891,90.865772,91.103683,16598300,96.42645,-1.12
2023-02-13,91.385626,92.011253,91.271077,91.87027,13134300,96.381115,0.84
2023-02-14,91.817424,92.372562,90.88339,91.658813,15440300,96.334127,-0.23
2023-02-15,91.244644,91.597105,90.319418,90.804062,15246900,96.279101,-0.93
2023-02-16,89.940548,90.072724,89.288488,89.517586,19267300,96.211823,-1.42
2023-02-17,89.085824,90.213715,88.971275,90.213715,19560900,96.15214,0.78
2023-02-21,89.006492,89.173909,88.363238,88.460167,22728000,96.075603,-1.94
2023-02-22,88.988879,89.605698,88.953631,89.270851,15165400,96.007894,0.92
2023-02-23,89.473524,90.398743,89.411843,90.143211,15829100,95.949539,0.98
