Date,equity,cash,rebalanced,rebalance_reason,qqq_value,qqq_weight,qqq_signal,qqq_shares,qqq_avg_price,qqq_realized_pnl,qqq_unrealized_pnl,tqqq_value,tqqq_weight,tqqq_signal,tqqq_shares,tqqq_avg_price,tqqq_realized_pnl,tqqq_unrealized_pnl,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,drawdown_pct
2005-10-03,10303108,29,False,,1559006,0.1513,buy,46213,32.45501,159,59163,1588660,0.1542,buy,3098016,0.475039,1691,116982,3068643,0.2978,buy,36550,80.033316,2780,143426,4086770,0.3967,buy,88039,46.65956,0,-21091,-1.74
2005-10-04,10228989,29,False,,1548759,0.1514,buy,46213,32.45501,159,48916,1556688,0.1522,buy,3098016,0.475039,1691,85010,3034101,0.2966,buy,36550,80.033316,2780,108883,4089412,0.3998,buy,88039,46.65956,0,-18449,-2.44
2005-10-05,10095182,29,False,,1527479,0.1513,buy,46213,32.45501,159,27636,1491881,0.1478,buy,3098016,0.475039,1691,20203,2994305,0.2966,buy,36550,80.033316,2780,69088,4081488,0.4043,buy,88039,46.65956,0,-26373,-3.72
2005-10-06,10079656,29,False,,1507381,0.1495,buy,46213,32.45501,159,7537,1432383,0.1421,buy,3098016,0.475039,1691,-39295,2983542,0.296,buy,36550,80.033316,2780,58324,4156321,0.4123,buy,88039,46.65956,0,48460,-3.87
2005-10-07,10116195,29,False,,1510927,0.1494,buy,46213,32.45501,159,11084,1441906,0.1425,buy,3098016,0.475039,1691,-29771,2993805,0.2959,buy,36550,80.033316,2780,68587,4169527,0.4122,buy,88039,46.65956,0,61666,-3.52
2005-10-10,10059233,29,False,,1502651,0.1494,buy,46213,32.45501,159,2808,1417621,0.1409,buy,3098016,0.475039,1691,-54057,2968524,0.2951,buy,36550,80.033316,2780,43307,4170407,0.4146,buy,88039,46.65956,0,62546,-4.06
2005-10-11,10027482,29,False,,1495163,0.1491,buy,46213,32.45501,159,-4680,1395851,0.1392,buy,3098016,0.475039,1691,-75827,2964270,0.2956,buy,36550,80.033316,2780,39052,4172168,0.4161,buy,88039,46.65956,0,64307,-4.37
2005-10-12,9888689,29,False,,1477430,0.1494,buy,46213,32.45501,159,-22414,1345611,0.1361,buy,3098016,0.475039,1691,-126067,2940993,0.2974,buy,36550,80.033316,2780,15775,4124627,0.4171,buy,88039,46.65956,0,16766,-5.69
2005-10-13,9944008,29,False,,1488859,0.1497,buy,46213,32.45501,159,-10985,1376287,0.1384,buy,3098016,0.475039,1691,-95391,2939240,0.2956,buy,36550,80.033316,2780,14022,4139594,0.4163,buy,88039,46.65956,0,31733,-5.16
2005-10-14,9996746,29,False,,1499893,0.15,buy,46213,32.45501,159,50,1406323,0.1407,buy,3098016,0.475039,1691,-65355,2970276,0.2971,buy,36550,80.033316,2780,45058,4120225,0.4122,buy,88039,46.65956,0,12364,-4.66
2005-10-17,10065711,29,False,,1504621,0.1495,buy,46213,32.45501,159,4778,1419049,0.141,buy,3098016,0.475039,1691,-52629,2981289,0.2962,buy,36550,80.033316,2780,56071,4160723,0.4134,buy,88039,46.65956,0,52862,-4.0
2005-10-18,9969209,29,False,,1493982,0.1499,buy,46213,32.45501,159,-5861,1388363,0.1393,buy,3098016,0.475039,1691,-83314,2949002,0.2958,buy,36550,80.033316,2780,23784,4137833,0.4151,buy,88039,46.65956,0,29972,-4.92
2005-10-19,10073042,29,False,,1523932,0.1513,buy,46213,32.45501,159,24088,1471294,0.1461,buy,3098016,0.475039,1691,-384,2998059,0.2976,buy,36550,80.033316,2780,72842,4079727,0.405,buy,88039,46.65956,0,-28134,-3.93
2005-10-20,9932652,29,False,,1509745,0.152,buy,46213,32.45501,159,9902,1429598,0.1439,buy,3098016,0.475039,1691,-42080,2945246,0.2965,buy,36550,80.033316,2780,20029,4048033,0.4075,buy,88039,46.65956,0,-59828,-5.27
2005-10-21,10027451,29,False,,1519203,0.1515,buy,46213,32.45501,159,19359,1455885,0.1452,buy,3098016,0.475039,1691,-15793,2956760,0.2949,buy,36550,80.033316,2780,31543,4095574,0.4084,buy,88039,46.65956,0,-12287,-4.37
2005-10-24,10154361,29,False,,1543242,0.152,buy,46213,32.45501,159,43399,1524397,0.1501,buy,3098016,0.475039,1691,52719,3002564,0.2957,buy,36550,80.033316,2780,77346,4084129,0.4022,buy,88039,46.65956,0,-23732,-3.16
2005-10-25,10183292,29,False,,1537330,0.151,buy,46213,32.45501,159,37487,1506258,0.1479,buy,3098016,0.475039,1691,34581,2996558,0.2943,buy,36550,80.033316,2780,71341,4143115,0.4069,buy,88039,46.65956,0,35254,-2.88
2005-10-26,10131419,29,False,,1529450,0.151,buy,46213,32.45501,159,29606,1482475,0.1463,buy,3098016,0.475039,1691,10797,2987795,0.2949,buy,36550,80.033316,2780,62578,4131670,0.4078,buy,88039,46.65956,0,23809,-3.38
2005-10-27,10000910,29,False,,1498711,0.1499,buy,46213,32.45501,159,-1133,1392481,0.1392,buy,3098016,0.475039,1691,-79197,2956010,0.2956,buy,36550,80.033316,2780,30792,4153680,0.4153,buy,88039,46.65956,0,45819,-4.62
2005-10-28,10089696,29,False,,1510139,0.1497,buy,46213,32.45501,159,10296,1423768,0.1411,buy,3098016,0.475039,1691,-47910,2998559,0.2972,buy,36550,80.033316,2780,73342,4157202,0.412,buy,88039,46.65956,0,49341,-3.77
2005-10-31,10108160,29,False,,1531813,0.1515,buy,46213,32.45501,159,31970,1484489,0.1469,buy,3098016,0.475039,1691,12811,3006819,0.2975,buy,36550,80.033316,2780,81602,4085010,0.4041,buy,88039,46.65956,0,-22851,-3.6
2005-11-01,10052925,29,False,,1530631,0.1523,buy,46213,32.45501,159,30788,1480409,0.1473,buy,3098016,0.475039,1691,8731,3015832,0.3,buy,36550,80.033316,2780,90614,4026023,0.4005,buy,88039,46.65956,0,-81838,-4.12
2005-11-02,10197450,29,False,,1550730,0.1521,buy,46213,32.45501,159,50887,1538084,0.1508,buy,3098016,0.475039,1691,66406,3047367,0.2988,buy,36550,80.033316,2780,122149,4061239,0.3983,buy,88039,46.65956,0,-46622,-2.75
2005-11-03,10287272,29,False,,1573981,0.153,buy,46213,32.45501,159,74138,1606606,0.1562,buy,3098016,0.475039,1691,134928,3060383,0.2975,buy,36550,80.033316,2780,135166,4046272,0.3933,buy,88039,46.65956,0,-61589,-1.89
2005-11-04,10265367,29,False,,1579499,0.1539,buy,46213,32.45501,159,79655,1622806,0.1581,buy,3098016,0.475039,1691,151128,3056379,0.2977,buy,36550,80.033316,2780,131161,4006655,0.3903,buy,88039,46.65956,0,-101206,-2.1
2005-11-07,10298599,29,False,,1581468,0.1536,buy,46213,32.45501,159,81625,1628175,0.1581,buy,3098016,0.475039,1691,156497,3059382,0.2971,buy,36550,80.033316,2780,134165,4029545,0.3913,buy,88039,46.65956,0,-78316,-1.78
2005-11-08,10311830,29,False,,1581862,0.1534,buy,46213,32.45501,159,82019,1628686,0.1579,buy,3098016,0.475039,1691,157008,3059382,0.2967,buy,36550,80.033316,2780,134165,4041870,0.392,buy,88039,46.65956,0,-65991,-1.65
