date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2012-02-28,tqqq,8807894,7323571,18.04,15.28,4463250,3822113,-1484323,-641137,daily
2012-02-28,spy,65886,69473,28.45,29.76,7039033,7443904,3587,404871,daily
2012-02-28,gld,55871,57630,38.77,39.97,9593050,9998228,1759,405178,daily
2012-02-28,cash,0,0,0.0,0.0,107,266,0,159,daily
2012-04-03,qqq,65535,63392,15.51,15.13,3961655,3830986,-2143,-130669,monthly
2012-04-03,tqqq,7323571,6255332,17.57,15.14,4487891,3833586,-1068239,-654305,monthly
2012-04-03,spy,69473,69072,30.17,30.14,7709144,7633307,-401,-75837,monthly
2012-04-03,gld,57630,62695,36.75,39.59,9390232,10024303,5065,634071,monthly
2012-04-03,cash,0,0,0.0,0.0,266,111,0,-155,monthly
2012-05-15,qqq,63392,63392,15.28,15.3,3569897,3558106,0,-11791,
2012-05-15,tqqq,6255332,6255332,13.11,13.06,3063755,3037019,0,-26736,
2012-05-15,spy,69072,69072,31.01,30.99,7246940,7205333,0,-41607,
2012-05-15,gld,62695,0,40.6,0.0,9487634,0,-62695,-9487634,
2012-05-15,cash,0,0,0.0,40.64,111,9448657,0,9448546,
2012-05-21,qqq,63392,62801,15.14,15.09,3414367,3477097,-591,62730,daily
2012-05-21,tqqq,6255332,7891391,11.87,15.89,2676356,3660327,1636059,983971,daily
2012-05-21,spy,69072,66652,31.09,29.87,7010797,6881448,-2420,-129349,daily
2012-05-21,gld,0,0,0.0,0.0,0,0,0,0,daily
2012-05-21,cash,0,0,41.9,39.15,9448657,9019971,0,-428686,daily
2012-07-03,qqq,62801,62271,15.13,15.02,3587674,3587248,-530,-426,monthly
2012-07-03,tqqq,7891391,7099523,16.67,15.25,3953721,3641671,-791868,-312050,monthly
2012-07-03,spy,66652,66277,30.17,29.99,7155066,7161717,-375,6651,monthly
2012-07-03,gld,0,0,0.0,0.0,0,0,0,0,monthly
2012-07-03,cash,0,0,38.03,39.73,9019971,9486559,0,466588,monthly
2012-09-05,qqq,62271,61473,15.19,15.0,3764149,3712093,-798,-52056,monthly
2012-09-05,tqqq,7099523,6318940,16.84,14.94,4172389,3696687,-780583,-475702,monthly
2012-09-05,spy,66277,67010,29.67,30.01,7350386,7425357,733,74971,monthly
2012-09-05,gld,0,0,0.0,0.0,0,0,0,0,monthly
2012-09-05,cash,0,0,38.29,40.05,9486559,9909426,0,422867,monthly
2012-09-07,qqq,61473,61289,15.04,14.97,3794498,3777702,-184,-16796,daily
2012-09-07,tqqq,6318940,6063729,15.63,14.92,3941040,3765587,-255211,-175453,daily
2012-09-07,spy,67010,66924,30.04,30.1,7576070,7595818,-86,19748,daily
2012-09-07,gld,0,59951,0.0,40.01,0,10098146,59951,10098146,daily
2012-09-07,cash,0,0,39.29,0.0,9909426,165,0,-9909261,daily
2012-11-02,qqq,61289,62203,14.78,15.12,3594221,3609056,914,14835,monthly
2012-11-02,tqqq,6063729,6868231,13.22,14.69,3214643,3508003,804502,293360,monthly
2012-11-02,spy,66924,64625,31.07,30.3,7557001,7232514,-2299,-324487,monthly
2012-11-02,gld,59951,58566,40.93,39.89,9956062,9522831,-1385,-433231,monthly
2012-11-02,cash,0,0,0.0,0.0,165,45,0,-120,monthly
2013-02-21,qqq,62203,62203,15.44,15.4,3741645,3701551,0,-40094,
2013-02-21,tqqq,6868231,6868231,15.85,15.47,3842562,3717615,0,-124947,
2013-02-21,spy,64625,64625,32.12,32.2,7787027,7739689,0,-47338,
2013-02-21,gld,58566,0,36.59,0.0,8869235,0,-58566,-8869235,
2013-02-21,cash,0,0,0.0,36.93,45,8875371,0,8875326,
