entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2009-06-04,2010-09-27,0.159878,0.280556,3693713,445748,0.7548,0.0,3,tqqq,rebalance,480
2009-06-04,2010-12-02,0.159878,0.340937,2011148,364136,1.1325,0.0,3,tqqq,rebalance,546
2010-05-20,2010-12-16,62.968499,58.858826,59102,-242890,-0.0653,0.0,3,tlt,signal,210
2010-08-06,2011-02-02,84.951432,99.185482,471,6704,0.1676,0.0,3,spy,rebalance,180
2009-06-04,2011-02-02,0.159878,0.415519,2036574,520631,1.599,0.0,3,tqqq,rebalance,608
2009-01-02,2011-06-02,100.139841,149.699544,3143,155766,0.4949,0.0,3,gld,rebalance,881
2010-08-06,2011-08-05,85.181108,93.477122,60427,501303,0.0974,0.0,3,spy,signal,364
2009-01-02,2011-08-09,100.139841,169.420203,4612,319521,0.6918,0.0,3,gld,rebalance,949
2011-06-02,2011-08-09,64.177955,69.895997,10210,58381,0.0891,0.0,3,tlt,rebalance,68
2009-06-04,2011-08-09,0.171326,0.288113,14835352,1732572,0.6817,0.0,3,tqqq,signal,796
2011-06-02,2011-10-04,64.177955,83.242841,6361,121272,0.2971,0.0,3,tlt,rebalance,124
2009-01-02,2011-10-17,104.316261,163.508,663,39244,0.5674,0.0,3,gld,rebalance,1018
2009-01-02,2011-11-28,104.316261,166.429203,1510,93791,0.5954,0.0,3,gld,rebalance,1060
2011-06-02,2011-11-28,65.034841,79.606366,6170,89906,0.2241,0.0,3,tlt,rebalance,179
2011-10-17,2011-12-02,0.375159,0.364625,2148939,-22636,-0.0281,0.0,3,tqqq,rebalance,46
2011-10-17,2012-01-09,0.375159,0.376122,777547,749,0.0026,0.0,3,tqqq,rebalance,84
2011-06-02,2012-01-09,66.292345,79.951975,576,7868,0.2061,0.0,3,tlt,rebalance,221
