Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct
2011-12-09,17182454,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3564953,0.2075,buy,21424,93.72494,2028386,1556990,3268879,0.1902,buy,41511,64.177955,181995,604788,-1.09
2011-12-12,17124388,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3470474,0.2027,buy,21424,93.72494,2028386,1462511,3305293,0.193,buy,41511,64.177955,181995,641202,-1.43
2011-12-13,17079357,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3394633,0.1988,buy,21424,93.72494,2028386,1386670,3336103,0.1953,buy,41511,64.177955,181995,672012,-1.69
2011-12-14,17023257,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3275515,0.1924,buy,21424,93.72494,2028386,1267552,3399121,0.1997,buy,41511,64.177955,181995,735030,-2.01
2011-12-15,16998658,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3263518,0.192,buy,21424,93.72494,2028386,1255555,3386519,0.1992,buy,41511,64.177955,181995,722428,-2.15
2011-12-16,17100277,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3325647,0.1945,buy,21424,93.72494,2028386,1317684,3426009,0.2003,buy,41511,64.177955,181995,761917,-1.57
2011-12-19,17135977,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3317935,0.1936,buy,21424,93.72494,2028386,1309972,3469422,0.2025,buy,41511,64.177955,181995,805331,-1.36
2011-12-20,17094637,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3363139,0.1967,buy,21424,93.72494,2028386,1355176,3382877,0.1979,buy,41511,64.177955,181995,718786,-1.6
2011-12-21,17051437,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3366996,0.1975,buy,21424,93.72494,2028386,1359033,3335821,0.1956,buy,41511,64.177955,181995,671729,-1.85
2011-12-22,17041448,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3343001,0.1962,buy,21424,93.72494,2028386,1335038,3349826,0.1966,buy,41511,64.177955,181995,685735,-1.91
2011-12-23,17009981,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3348785,0.1969,buy,21424,93.72494,2028386,1340822,3312574,0.1947,buy,41511,64.177955,181995,648483,-2.09
2011-12-27,16995723,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3318792,0.1953,buy,21424,93.72494,2028386,1310829,3328311,0.1958,buy,41511,64.177955,181995,664219,-2.17
2011-12-28,16974136,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3235667,0.1906,buy,21424,93.72494,2028386,1227704,3389849,0.1997,buy,41511,64.177955,181995,725757,-2.29
2011-12-29,16965535,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3220884,0.1898,buy,21424,93.72494,2028386,1212921,3396030,0.2002,buy,41511,64.177955,181995,731939,-2.34
2011-12-30,17011843,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3256234,0.1914,buy,21424,93.72494,2028386,1248271,3406988,0.2003,buy,41511,64.177955,181995,742897,-2.08
2012-01-03,17044900,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3340430,0.196,buy,21424,93.72494,2028386,1332467,3355849,0.1969,buy,41511,64.177955,181995,691758,-1.89
2012-01-04,17021924,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3357355,0.1972,buy,21424,93.72494,2028386,1349392,3315948,0.1948,buy,41511,64.177955,181995,651857,-2.02
2012-01-05,17038947,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3380279,0.1984,buy,21424,93.72494,2028386,1372316,3310048,0.1943,buy,41511,64.177955,181995,645957,-1.92
2012-01-06,17052651,10348621,False,,0,0.0,buy,0,0.0,2810294,0,3367853,0.1975,buy,21424,93.72494,2028386,1359890,3336177,0.1956,buy,41511,64.177955,181995,672086,-1.84
2012-01-09,17002196,109,True,daily,10202569,0.6001,buy,102315,100.000755,2810294,-29009,3395111,0.1997,buy,21694,94.522807,2028386,1344533,3404407,0.2002,buy,42435,64.531903,181995,665996,-2.13
2012-01-10,17131337,109,False,,10291029,0.6007,buy,102315,100.000755,2810294,59451,3441536,0.2009,buy,21694,94.522807,2028386,1390958,3398663,0.1984,buy,42435,64.531903,181995,660252,-1.39
