date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2012-09-07,cash,0,0,18.72,0.0,3482097,203,0,-3481894,daily
2013-02-21,spy,98702,98702,63.48,63.26,11893155,11820856,0,-72299,
2013-02-21,gld,22106,0,17.87,0.0,3347732,0,-22106,-3347732,
2013-02-21,tlt,43243,43243,18.65,18.81,3495131,3515570,0,20439,
2013-02-21,cash,0,0,0.0,17.93,203,3350235,0,3350032,
2013-06-04,spy,98702,90385,65.51,59.98,12973008,11822743,-8317,-1150265,monthly
2013-06-04,gld,0,0,0.0,0.0,0,0,0,0,monthly
2013-06-04,tlt,43243,49229,17.58,19.92,3480984,3926253,5986,445269,monthly
2013-06-04,cash,0,0,16.92,20.1,3350235,3960850,0,610615,monthly
2013-06-21,spy,90385,90385,59.73,59.86,11522039,11559033,0,36994,
2013-06-21,gld,0,0,0.0,0.0,0,0,0,0,
2013-06-21,tlt,49229,0,19.74,0.0,3807138,0,-49229,-3807138,
2013-06-21,cash,0,0,20.53,40.14,3960850,7752439,0,3791589,
2014-04-16,spy,90385,85203,63.66,60.2,13583087,12938493,-5182,-644594,daily
2014-04-16,gld,0,0,0.0,0.0,0,0,0,0,daily
2014-04-16,tlt,0,53494,0.0,19.94,0,4286627,53494,4286627,daily
2014-04-16,cash,0,0,36.34,19.85,7752439,4267178,0,-3485261,daily
2015-01-26,spy,85203,84961,60.17,60.16,14462704,14455392,-242,-7312,daily
2015-01-26,gld,0,38861,0.0,19.89,0,4779514,38861,4779514,daily
2015-01-26,tlt,53494,48450,22.08,19.94,5306368,4791401,-5044,-514967,daily
2015-01-26,cash,0,0,17.75,0.0,4267178,76,0,-4267102,daily
2015-03-09,spy,84961,84961,62.48,62.44,14599635,14660143,0,60508,
2015-03-09,gld,38861,0,18.6,0.0,4346991,0,-38861,-4346991,
2015-03-09,tlt,48450,48450,18.92,19.01,4421632,4462446,0,40814,
2015-03-09,cash,0,0,0.0,18.55,76,4355723,0,4355647,
2015-06-11,spy,84961,84961,63.64,63.65,14908627,14956689,0,48062,
2015-06-11,gld,0,0,0.0,0.0,0,0,0,0,
2015-06-11,tlt,48450,0,17.77,0.0,4162046,0,-48450,-4162046,
2015-06-11,cash,0,0,18.59,36.35,4355723,8542641,0,4186918,
2015-08-25,spy,84961,0,61.17,0.0,13457819,0,-84961,-13457819,
2015-08-25,gld,0,0,0.0,0.0,0,0,0,0,
2015-08-25,tlt,0,47158,0.0,19.59,0,4379148,47158,4379148,
2015-08-25,cash,0,0,38.83,80.41,8542641,17979904,0,9437263,
2016-01-11,spy,75623,0,57.7,0.0,12267303,0,-75623,-12267303,
2016-01-11,gld,0,0,0.0,0.0,0,0,0,0,
2016-01-11,tlt,48658,48658,21.31,21.1,4531109,4481523,0,-49586,
2016-01-11,cash,0,0,20.98,78.9,4460667,16760629,0,12299962,
2016-02-11,spy,0,0,0.0,0.0,0,0,0,0,daily
2016-02-11,gld,0,36398,0.0,19.98,0,4333545,36398,4333545,daily
2016-02-11,tlt,48658,43161,22.57,20.13,4886731,4365025,-5497,-521706,daily
2016-02-11,cash,0,0,77.43,59.89,16760629,12988489,0,-3772140,daily
2016-11-10,spy,73285,73285,61.18,61.52,13610756,13644724,0,33968,
2016-11-10,gld,36820,36820,20.12,19.88,4475839,4409195,0,-66644,
2016-11-10,tlt,43389,0,18.7,0.0,4158795,0,-43389,-4158795,
2016-11-10,cash,0,0,0.0,18.6,78,4126427,0,4126349,
2016-11-25,spy,73285,73285,62.59,62.7,13882491,13934072,0,51581,
2016-11-25,gld,36820,0,18.8,0.0,4169865,0,-36820,-4169865,
2016-11-25,tlt,0,0,0.0,0.0,0,0,0,0,
2016-11-25,cash,0,0,18.61,37.3,4126427,8290023,0,4163596,
2017-04-19,spy,73285,68497,64.19,60.04,14861996,13865465,-4788,-996531,daily
2017-04-19,gld,0,37763,0.0,19.91,0,4596890,37763,4596890,daily
2017-04-19,tlt,0,0,0.0,0.0,0,0,0,0,daily
2017-04-19,cash,0,0,35.81,20.05,8290023,4630418,0,-3659605,daily
2017-06-26,spy,68497,66986,61.35,60.16,14511436,14200664,-1511,-310772,daily
2017-06-26,gld,37763,39619,19.07,19.87,4510035,4689304,1856,179269,daily
2017-06-26,tlt,0,47071,0.0,19.98,0,4715742,47071,4715742,daily
2017-06-26,cash,0,0,19.58,0.0,4630418,118,0,-4630300,daily
2018-02-02,spy,66986,63370,63.39,59.73,16601613,15363529,-3616,-1238084,monthly
2018-02-02,gld,39619,40905,19.38,20.1,5074005,5169982,1286,95977,monthly
2018-02-02,tlt,47071,54648,17.23,20.18,4512347,5190087,7577,677740,monthly
2018-02-02,cash,0,0,0.0,0.0,118,72,0,-46,monthly
2018-02-22,spy,63370,63370,59.61,59.56,15062340,15081859,0,19519,
2018-02-22,gld,40905,40905,20.34,20.4,5140122,5166301,0,26179,
2018-02-22,tlt,54648,0,20.05,0.0,5066824,0,-54648,-5066824,
2018-02-22,cash,0,0,0.0,20.04,72,5073330,0,5073258,
2018-07-18,spy,63370,63370,61.61,61.72,15776709,15809900,0,33191,
2018-07-18,gld,40905,0,18.58,0.0,4756433,0,-40905,-4756433,
2018-07-18,tlt,0,0,0.0,0.0,0,0,0,0,
2018-07-18,cash,0,0,19.81,38.28,5073330,9805299,0,4731969,
2018-12-18,spy,63370,0,59.54,0.0,14429268,0,-63370,-14429268,
2018-12-18,gld,0,0,0.0,0.0,0,0,0,0,
2018-12-18,tlt,0,0,0.0,0.0,0,0,0,0,
2018-12-18,cash,0,0,40.46,100.0,9805299,24294936,0,14489637,
2019-02-22,spy,0,58495,0.0,59.9,0,14644592,58495,14644592,daily
2019-02-22,gld,39620,39011,20.31,20.03,4954481,4895880,-609,-58601,daily
2019-02-22,tlt,49570,49470,20.04,20.07,4888095,4907299,-100,19204,daily
2019-02-22,cash,0,0,59.65,0.0,14548474,249,0,-14548225,daily
2019-09-04,spy,58495,61763,56.79,60.18,15394865,16439445,3268,1044580,monthly
