entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2012-01-09,2012-04-03,100.000755,110.47719,4226,44273,0.1048,0.0,3,spy,rebalance,102315,98089,466876.605544318,85
2009-01-02,2012-05-15,96.306488,150.706524,22268,1211380,0.5649,0.0,3,gld,signal,22268,0,3355932.8761647837,1229
2011-06-02,2012-06-04,65.833938,88.297863,8351,187596,0.3412,0.0,3,tlt,rebalance,47260,38909,737375.456735638,368
2012-01-09,2012-09-07,100.044116,112.907784,5455,70171,0.1286,0.0,3,spy,rebalance,104157,98702,615911.964005645,242
2012-09-07,2013-02-21,168.273314,151.544,22106,-369818,-0.0994,0.0,3,gld,signal,22106,0,3350031.6640000003,167
2012-01-09,2013-06-04,100.044116,131.113505,8317,258404,0.3106,0.0,3,spy,rebalance,98702,90385,1090471.020361421,512
2011-06-02,2013-06-21,69.457915,77.019403,49229,372244,0.1089,0.0,3,tlt,signal,49229,0,3791588.167247828,750
2012-01-09,2014-04-16,100.044116,150.862489,5182,263341,0.508,0.0,3,spy,rebalance,90385,85203,781769.416370852,828
2014-04-16,2015-01-26,79.766513,98.949298,5044,96758,0.2405,0.0,3,tlt,rebalance,53494,48450,499100.258521852,285
2012-01-09,2015-01-26,100.044116,169.020108,242,16692,0.6895,0.0,3,spy,rebalance,85203,84961,40902.866116156,1113
2015-01-26,2015-03-09,123.699992,112.082738,38861,-451458,-0.0939,0.0,3,gld,signal,38861,0,4355647.281651166,42
2014-04-16,2015-06-11,79.766513,86.417285,48450,322230,0.0834,0.0,3,tlt,signal,48450,0,4186917.46062405,421
2012-01-09,2015-08-25,100.044116,162.866745,84961,5337473,0.6279,0.0,3,spy,signal,84961,0,13837321.484137356,1324
2015-11-03,2016-01-11,176.952225,162.648424,75623,-1081696,-0.0808,0.0,3,spy,signal,75623,0,12299961.804904778,69
2015-08-25,2016-02-11,93.255714,101.373061,5497,44621,0.087,0.0,3,tlt,rebalance,48658,43161,557247.714750355,170
2015-08-25,2016-11-10,93.289096,95.101276,43389,78629,0.0194,0.0,3,tlt,signal,43389,0,4126349.2507398543,443
2016-02-11,2016-11-25,118.923695,113.079738,36820,-215174,-0.0491,0.0,3,gld,signal,36820,0,4163595.95338092,288
2016-04-04,2017-04-19,176.24777,202.75085,4788,126897,0.1504,0.0,3,spy,rebalance,73285,68497,970771.070762388,380
2016-04-04,2017-06-26,176.24777,211.888462,1511,53853,0.2022,0.0,3,spy,rebalance,68497,66986,320163.46590068,448
2016-04-04,2018-02-02,176.24777,245.777276,3616,251419,0.3945,0.0,3,spy,rebalance,66986,63370,888730.628287552,669
2017-06-26,2018-02-22,99.829248,92.835213,54648,-382210,-0.0701,0.0,3,tlt,signal,54648,0,5073258.738003192,241
2017-04-19,2018-07-18,122.580323,115.681909,40905,-282180,-0.0563,0.0,3,gld,signal,40905,0,4731968.487767715,455
2016-04-04,2018-12-18,176.24777,228.651367,63370,3320816,0.2973,0.0,3,spy,signal,63370,0,14489637.116967648,988
2019-01-17,2019-02-22,122.396089,125.153409,609,1679,0.0225,0.0,3,gld,rebalance,39620,39011,76218.426082827,36
2018-12-26,2019-02-22,98.792185,98.818535,100,3,0.0003,0.0,3,tlt,rebalance,49570,49470,9881.8535351,58
2019-01-17,2019-09-04,122.396089,145.103373,1821,41350,0.1855,0.0,3,gld,rebalance,39011,37190,264233.24227124103,230
2018-12-26,2019-09-04,98.792185,120.906978,5007,110729,0.2239,0.0,3,tlt,rebalance,49470,44463,605381.23699341,252
2019-02-22,2020-01-03,251.025813,292.617248,3679,153015,0.1657,0.0,3,spy,rebalance,61763,58084,1076538.8545715832,315
2019-01-17,2020-03-03,124.024755,150.387476,1255,33085,0.2126,0.0,3,gld,rebalance,39923,38668,188736.28239506,411
2018-12-26,2020-03-03,100.744418,128.182307,5518,151402,0.2724,0.0,3,tlt,rebalance,50321,44803,707309.9698439061,433
2019-02-22,2020-03-10,252.7102,259.34294,61242,406202,0.0262,0.0,3,spy,signal,61242,0,15882680.33576694,382
2019-01-17,2020-04-02,124.024755,150.746397,1284,34311,0.2155,0.0,3,gld,rebalance,38668,37384,193558.37375955598,441
2018-12-26,2020-04-02,100.744418,140.902962,4821,193604,0.3986,0.0,3,tlt,rebalance,44803,39982,679293.1806263911,463
2019-01-17,2020-06-02,124.024755,163.398329,2780,109459,0.3175,0.0,3,gld,rebalance,37384,34604,454247.35462833993,502
2020-06-02,2020-12-02,282.638832,337.167202,3872,211134,0.1929,0.0,3,spy,rebalance,60117,56245,1305511.405210848,183
2018-12-26,2021-02-08,106.134151,125.178227,47836,910992,0.1794,0.0,3,tlt,signal,47836,0,5988025.682270864,775
2019-01-17,2021-03-01,127.519408,162.540909,37380,1309104,0.2746,0.0,3,gld,signal,37380,0,6075779.178532139,774
2020-06-02,2021-05-21,282.638832,388.181407,3832,404439,0.3734,0.0,3,spy,rebalance,56245,52413,1487511.15022532,353
2020-06-02,2021-08-06,282.638832,413.021994,1784,232604,0.4613,0.0,3,spy,rebalance,52413,50629,736831.2366466239,430
2021-08-06,2022-02-11,126.959445,117.339638,55028,-529359,-0.0758,0.0,3,tlt,signal,55028,0,6456965.5917198565,189
2020-06-02,2022-05-02,282.638832,388.761201,50629,5372869,0.3755,0.0,3,spy,signal,50629,0,19682590.84634032,699
2021-05-21,2022-07-07,176.287151,161.942703,41421,-594161,-0.0814,0.0,3,gld,signal,41421,0,6707828.701832841,412
2023-01-06,2023-02-07,172.275275,173.198841,271,250,0.0054,0.0,3,gld,rebalance,38133,37862,46936.885910187,32
2023-02-07,2023-12-20,393.13798,459.882335,2256,150575,0.1698,0.0,3,spy,rebalance,50220,47964,1037494.5468598561,316
2023-02-07,2024-04-02,393.13798,504.409469,1466,163124,0.283,0.0,3,spy,rebalance,47964,46498,739464.281916102,420
2023-01-06,2024-04-02,172.801144,208.442797,1039,37032,0.2063,0.0,3,gld,rebalance,39072,38033,216572.06606118102,452
2023-12-20,2024-04-16,89.666231,80.610593,93079,-842890,-0.101,0.0,3,tlt,signal,93079,0,7503153.343402976,118
2023-01-06,2024-08-07,172.801144,221.274182,2073,100485,0.2805,0.0,3,gld,rebalance,38033,35960,458701.379273562,579
2023-02-07,2024-11-04,393.276021,559.440763,821,136421,0.4225,0.0,3,spy,rebalance,46549,45728,459300.866090495,636
2023-01-06,2024-11-04,172.801144,252.560047,2088,166537,0.4616,0.0,3,gld,rebalance,35960,33872,527345.378092152,668
2024-08-07,2024-12-30,89.272845,82.907883,99941,-636121,-0.0713,0.0,3,tlt,signal,99941,0,8285896.7284068335,145
2023-01-06,2025-04-02,172.801144,287.415159,3698,423843,0.6633,0.0,3,gld,rebalance,33872,30174,1062861.257993094,817
2023-02-07,2025-04-07,397.355961,482.194762,46947,3982927,0.2135,0.0,3,spy,signal,46947,0,22637597.48706014,790
2023-01-06,2025-05-02,172.801144,299.269503,3065,387626,0.7319,0.0,3,gld,rebalance,30174,27109,917261.026575465,847
2023-01-06,2025-05-16,172.801144,291.742135,43,5114,0.6883,0.0,3,gld,rebalance,27109,27066,12544.911805645,861
2025-05-16,2025-09-16,586.302585,653.938741,721,48766,0.1154,0.0,3,spy,rebalance,41248,40527,471489.83198702004,123
2023-01-06,2025-09-16,172.801144,339.069726,942,156625,0.9622,0.0,3,gld,rebalance,27066,26124,319403.681903304,984
2023-01-06,2026-01-05,172.801144,405.170845,2643,614153,1.3447,0.0,3,gld,rebalance,26124,23481,1070866.543216065,1095
2023-01-06,2026-03-03,172.801144,471.411497,3486,1040956,1.7281,0.0,3,gld,rebalance,23481,19995,1643340.478677954,1152
