이평기간,매수버퍼존,매도버퍼존,유지일,조정기간(월),수익률,CAGR,MDD,Calmar,거래수,승률,최종자본
200,0.05,0.03,3,0,801.66,8.5,-44.55,0.1909,19,57.89,90166308
100,0.01,0.05,2,12,1294.8,10.28,-53.87,0.1907,22,54.55,139480179
200,0.03,0.03,5,12,852.72,8.73,-45.81,0.1905,19,57.89,95272399
200,0.03,0.03,5,4,851.78,8.72,-45.81,0.1904,20,55.0,95178251
100,0.01,0.03,5,4,738.89,8.21,-43.27,0.1898,33,51.52,83888692
200,0.03,0.03,5,0,809.2,8.54,-45.13,0.1892,21,57.14,90919668
200,0.01,0.03,2,4,830.92,8.63,-45.66,0.1891,24,50.0,93092150
150,0.05,0.01,2,0,586.81,7.41,-39.23,0.189,28,46.43,68680525
100,0.01,0.05,2,4,1186.33,9.94,-52.65,0.1889,23,52.17,128632658
100,0.03,0.05,0,4,1269.61,10.2,-54.11,0.1885,22,54.55,136961193
100,0.01,0.03,0,8,701.56,8.03,-42.65,0.1883,41,41.46,80156044
100,0.01,0.05,2,8,1283.35,10.24,-54.4,0.1883,22,54.55,138335470
200,0.05,0.03,2,0,755.14,8.29,-44.15,0.1878,20,55.0,85514223
100,0.01,0.05,5,4,1127.8,9.75,-51.99,0.1876,22,54.55,122780136
150,0.03,0.01,5,4,645.62,7.74,-41.31,0.1874,28,46.43,74561947
200,0.01,0.03,2,0,994.31,9.29,-49.7,0.1869,26,50.0,109431020
200,0.05,0.01,3,4,761.52,8.32,-44.63,0.1864,20,55.0,86151990
100,0.01,0.05,3,0,1090.52,9.63,-51.73,0.1861,25,48.0,119051748
150,0.05,0.03,2,0,843.77,8.69,-46.81,0.1856,20,55.0,94377437
100,0.01,0.01,0,12,471.39,6.68,-36.07,0.1853,58,50.0,57139382
150,0.03,0.05,0,8,1428.8,10.65,-57.57,0.185,18,61.11,152879518
100,0.01,0.05,3,4,1198.57,9.98,-54.14,0.1844,23,52.17,129856994
200,0.03,0.03,0,0,943.97,9.1,-49.45,0.1839,25,48.0,104396599
150,0.03,0.03,3,0,918.78,9.0,-48.96,0.1838,23,52.17,101877669
100,0.01,0.05,3,12,1187.45,9.95,-54.27,0.1833,22,54.55,128744636
100,0.03,0.05,2,0,1128.34,9.76,-53.3,0.183,22,54.55,122834192
150,0.03,0.03,3,4,1029.98,9.42,-51.57,0.1826,20,55.0,112997592
200,0.01,0.01,5,0,760.0,8.31,-45.54,0.1826,33,42.42,85999635
200,0.01,0.01,3,0,742.72,8.23,-45.21,0.1821,35,37.14,84271652
150,0.03,0.05,0,4,1360.77,10.46,-57.57,0.1818,19,57.89,146076511
200,0.05,0.03,0,0,893.56,8.9,-48.96,0.1817,21,57.14,99355613
150,0.03,0.05,0,12,1343.96,10.42,-57.57,0.181,18,55.56,144395766
100,0.01,0.05,3,8,1197.02,9.98,-55.15,0.1809,22,54.55,129701665
100,0.01,0.05,2,0,1018.15,9.37,-51.97,0.1804,27,44.44,111814967
100,0.01,0.01,0,0,576.27,7.35,-40.79,0.1803,86,41.86,67627022
100,0.01,0.03,0,0,802.9,8.51,-47.3,0.1799,48,39.58,90289756
200,0.01,0.01,2,12,778.6,8.4,-46.86,0.1793,28,39.29,87860052
150,0.01,0.01,5,4,563.23,7.27,-40.63,0.179,35,40.0,66323456
150,0.01,0.03,5,12,903.83,8.94,-50.01,0.1787,23,52.17,100383277
200,0.05,0.01,5,4,720.71,8.13,-45.57,0.1783,19,57.89,82071027
150,0.05,0.01,2,8,620.6,7.61,-42.69,0.1782,23,56.52,72059829
200,0.01,0.01,3,4,731.39,8.18,-45.92,0.1781,30,40.0,83138996
150,0.01,0.05,3,0,1220.16,10.05,-56.54,0.1778,21,52.38,132016471
200,0.01,0.01,3,8,727.91,8.16,-45.92,0.1777,29,41.38,82790956
100,0.03,0.05,0,8,1107.86,9.69,-54.6,0.1774,22,54.55,120786247
150,0.05,0.01,3,4,508.27,6.93,-39.11,0.1772,25,52.0,60826724
100,0.05,0.05,3,8,745.67,8.25,-46.53,0.1772,17,64.71,84566656
150,0.01,0.01,5,8,591.33,7.44,-42.02,0.1771,33,42.42,69132983
150,0.03,0.01,3,4,700.21,8.02,-45.33,0.177,30,46.67,80020678
100,0.03,0.03,0,0,698.6,8.02,-45.31,0.1769,38,44.74,79860465
150,0.03,0.03,5,8,877.1,8.83,-50.0,0.1766,19,57.89,97710236
150,0.05,0.01,2,4,590.15,7.43,-42.11,0.1765,25,52.0,69014843
200,0.03,0.03,2,0,847.29,8.7,-49.36,0.1763,23,52.17,94729015
150,0.05,0.05,0,4,1093.3,9.64,-54.75,0.176,17,58.82,119329525
200,0.05,0.03,2,4,714.56,8.1,-46.03,0.1759,19,57.89,81455562
100,0.01,0.05,5,8,1030.19,9.42,-53.59,0.1757,22,54.55,113019002
100,0.03,0.05,0,12,1072.28,9.57,-54.6,0.1752,22,54.55,117228304
200,0.01,0.01,5,12,762.57,8.33,-47.52,0.1752,26,42.31,86256982
150,0.01,0.03,5,0,958.92,9.15,-52.27,0.1751,26,46.15,105892086
200,0.05,0.03,2,8,706.77,8.06,-46.03,0.1751,18,61.11,80677253
150,0.01,0.03,5,4,889.67,8.88,-50.79,0.1748,24,50.0,98966627
200,0.01,0.01,5,4,777.26,8.39,-48.03,0.1747,27,40.74,87725858
150,0.03,0.03,3,8,965.65,9.18,-52.63,0.1744,19,57.89,106564625
150,0.01,0.03,5,8,851.46,8.72,-50.01,0.1744,24,50.0,95146195
150,0.03,0.03,5,12,844.57,8.69,-50.0,0.1738,19,57.89,94457140
150,0.05,0.03,3,4,704.31,8.05,-46.35,0.1736,19,57.89,80430525
200,0.01,0.01,5,8,763.85,8.33,-48.03,0.1735,27,40.74,86384583
100,0.05,0.05,3,12,691.44,7.98,-46.05,0.1733,17,64.71,79143578
150,0.05,0.01,3,0,515.3,6.98,-40.44,0.1725,28,46.43,61529609
100,0.03,0.01,0,0,478.15,6.73,-39.08,0.1722,60,46.67,57814991
200,0.05,0.01,5,12,667.93,7.86,-45.65,0.1722,19,57.89,76792892
200,0.05,0.01,5,8,667.86,7.86,-45.65,0.1722,19,57.89,76785732
150,0.01,0.05,2,0,1212.37,10.03,-58.27,0.1721,23,47.83,131237119
100,0.01,0.03,5,8,650.29,7.77,-45.15,0.172,32,50.0,75028853
100,0.05,0.05,5,12,740.82,8.22,-47.82,0.172,15,73.33,84081993
200,0.05,0.03,0,4,781.47,8.41,-48.96,0.1718,21,57.14,88147276
150,0.05,0.03,3,0,728.35,8.16,-47.52,0.1718,20,55.0,82834962
150,0.01,0.03,3,4,887.44,8.87,-51.68,0.1717,26,46.15,98743523
150,0.01,0.01,5,12,558.87,7.25,-42.28,0.1714,32,43.75,65886998
150,0.05,0.03,2,4,790.71,8.45,-49.33,0.1714,19,57.89,89070684
150,0.05,0.05,0,8,1018.03,9.37,-54.75,0.1712,17,58.82,111803427
150,0.03,0.03,2,4,862.69,8.77,-51.3,0.1709,23,52.17,96269122
100,0.03,0.05,3,0,1013.17,9.36,-54.94,0.1703,22,54.55,111316898
200,0.05,0.01,3,8,685.52,7.95,-46.76,0.17,19,57.89,78552036
150,0.03,0.03,2,0,827.48,8.62,-50.81,0.1696,25,48.0,92748427
150,0.03,0.01,3,0,544.02,7.16,-42.47,0.1685,35,40.0,64402136
150,0.05,0.05,0,12,976.89,9.22,-54.75,0.1684,17,58.82,107688661
150,0.01,0.03,3,8,902.81,8.93,-53.04,0.1684,25,48.0,100280756
