Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band
2023-09-20,65551089.0,182263,0.03,0.05,345.399715,318.572553
2023-09-21,64349899.0,182263,0.03,0.05,345.581323,318.740056
2023-09-22,64358898.0,182263,0.03,0.05,345.76163,318.906358
2023-09-25,64664582.0,182263,0.03,0.05,345.957332,319.08686
2023-09-26,63693567.0,182263,0.03,0.05,346.096486,319.215205
2023-09-27,63842818.0,182263,0.03,0.05,346.242647,319.350015
2023-09-28,64376875.0,182263,0.03,0.05,346.417385,319.51118
2023-09-29,64423626.0,182263,0.03,0.05,346.593013,319.673167
2023-10-02,64961282.0,182263,0.03,0.05,346.797126,319.861427
2023-10-03,63821237.0,182263,0.03,0.05,346.935102,319.988687
2023-10-04,64689756.0,182263,0.03,0.05,347.120543,320.159724
2023-10-05,64499144.0,182263,0.03,0.05,347.293421,320.319174
2023-10-06,65579862.0,182263,0.03,0.05,347.525348,320.533088
2023-10-09,65914313.0,182263,0.03,0.05,347.773773,320.762218
2023-10-10,66279346.0,182263,0.03,0.05,348.040253,321.008
2023-10-11,66752268.0,182263,0.03,0.05,348.330673,321.275864
2023-10-12,66520307.0,182263,0.03,0.05,348.605161,321.529032
2023-10-13,65684149.0,182263,0.03,0.05,348.8299,321.736315
2023-10-16,66426800.0,182263,0.03,0.05,349.094162,321.980052
2023-10-17,66209223.0,182263,0.03,0.05,349.34356,322.21008
2023-10-18,65340692.0,182263,0.03,0.05,349.541639,322.392774
2023-10-19,64729326.0,182263,0.03,0.05,349.703369,322.541943
2023-10-20,63763696.0,182263,0.03,0.05,349.809192,322.639546
2023-10-23,63956104.0,182263,0.03,0.05,349.924782,322.746158
2023-10-24,64578278.0,182263,0.03,0.05,350.074206,322.883977
2023-10-25,62997672.0,182263,0.03,0.05,350.133265,322.938449
2023-10-26,61796492.0,182263,0.03,0.05,350.124194,322.930082
2023-10-27,62093187.0,182263,0.03,0.05,350.131896,322.937186
2023-10-30,62792676.0,182263,0.03,0.05,350.178854,322.980497
2023-10-31,63092975.0,182263,0.03,0.05,350.242231,323.038951
2023-11-01,64188071.0,182263,0.03,0.05,350.366555,323.153619
2023-11-02,65353285.0,182263,0.03,0.05,350.555163,323.327578
2023-11-03,66121100.0,182263,0.03,0.05,350.785069,323.539627
2023-11-06,66390829.0,182263,0.03,0.05,351.027854,323.763555
2023-11-07,67018404.0,182263,0.03,0.05,351.303512,324.017803
2023-11-08,67061556.0,182263,0.03,0.05,351.578854,324.271759
2023-11-09,66545481.0,182263,0.03,0.05,351.822437,324.496423
2023-11-10,68041570.0,182263,0.03,0.05,352.147722,324.796443
2023-11-13,67829382.0,182263,0.03,0.05,352.45784,325.082473
2023-11-14,69289505.0,182263,0.03,0.05,352.846975,325.441384
2023-11-15,69341646.0,182263,0.03,0.05,353.235169,325.799428
2023-11-16,69400994.0,182263,0.03,0.05,353.622839,326.156987
2023-11-17,69417175.0,182263,0.03,0.05,354.007561,326.511828
2023-11-20,70262322.0,182263,0.03,0.05,354.435978,326.90697
2023-11-21,69854132.0,182263,0.03,0.05,354.837179,327.27701
2023-11-22,70140036.0,182263,0.03,0.05,355.250465,327.658196
2023-11-24,70041145.0,182263,0.03,0.05,355.654078,328.03046
2023-11-27,69980011.0,182263,0.03,0.05,356.050237,328.395849
2023-11-28,70163420.0,182263,0.03,0.05,356.452767,328.767115
2023-11-29,70095099.0,182263,0.03,0.05,356.847451,329.131144
2023-11-30,69918860.0,182263,0.03,0.05,357.228297,329.48241
2023-12-01,70118460.0,182263,0.03,0.05,357.616577,329.840532
2023-12-04,69467530.0,182263,0.03,0.05,357.964392,330.161332
2023-12-05,69641961.0,182263,0.03,0.05,358.318554,330.487987
2023-12-06,69239150.0,182263,0.03,0.05,358.646542,330.7905
2023-12-07,70206577.0,182263,0.03,0.05,359.025665,331.140177
2023-12-08,70519463.0,182263,0.03,0.05,359.41861,331.502602
2023-12-11,71121852.0,182263,0.03,0.05,359.841518,331.892662
2023-12-12,71688282.0,182263,0.03,0.05,360.292068,332.308218
2023-12-13,72599958.0,182263,0.03,0.05,360.789399,332.766921
2023-12-14,72537022.0,182263,0.03,0.05,361.278243,333.217797
2023-12-15,72887664.0,182263,0.03,0.05,361.781939,333.682371
2023-12-18,73346748.0,182263,0.03,0.05,362.306438,334.166132
2023-12-19,73721531.0,182263,0.03,0.05,362.846792,334.664517
2023-12-20,72626050.0,182263,0.03,0.05,363.320171,335.101128
2023-12-21,73471080.0,182263,0.03,0.05,363.836355,335.577221
2023-12-22,73580990.0,182263,0.03,0.05,364.353584,336.054276
2023-12-26,74031425.0,182263,0.03,0.05,364.890994,336.549946
2023-12-27,74182144.0,182263,0.03,0.05,365.431532,337.048501
2023-12-28,74146084.0,182263,0.03,0.05,365.964664,337.540224
2023-12-29,73825194.0,182263,0.03,0.05,366.474447,338.010412
2024-01-02,72575907.0,182263,0.03,0.05,366.90891,338.41113
2024-01-03,71807947.0,182263,0.03,0.05,367.295866,338.768032
2024-01-04,71438393.0,182263,0.03,0.05,367.658193,339.102216
2024-01-05,71523122.0,182263,0.03,0.05,368.021678,339.43747
2024-01-08,73001356.0,182263,0.03,0.05,368.464668,339.846053
2024-01-09,73145568.0,182263,0.03,0.05,368.91136,340.258051
2024-01-10,73641318.0,182263,0.03,0.05,369.381483,340.691659
2024-01-11,73794557.0,182263,0.03,0.05,369.855546,341.128901
2024-01-12,73832403.0,182263,0.03,0.05,370.327019,341.563755
2024-01-16,73825194.0,182263,0.03,0.05,370.793396,341.993909
2024-01-17,73408772.0,182263,0.03,0.05,371.231716,342.398185
2024-01-18,74450744.0,182263,0.03,0.05,371.724266,342.852478
2024-01-19,75927170.0,182263,0.03,0.05,372.294935,343.378823
2024-01-22,76026328.0,182263,0.03,0.05,372.865501,343.905074
2024-01-23,76341800.0,182263,0.03,0.05,373.44813,344.44245
2024-01-24,76765425.0,182263,0.03,0.05,374.048781,344.996449
2024-01-25,76859176.0,182263,0.03,0.05,374.648728,345.549798
2024-01-26,76401289.0,182263,0.03,0.05,375.216958,346.073893
2024-01-29,77183666.0,182263,0.03,0.05,375.823528,346.633351
2024-01-30,76669888.0,182263,0.03,0.05,376.395171,347.160595
2024-01-31,75168232.0,182263,0.03,0.05,376.876688,347.604712
2024-02-01,76053360.0,182263,0.03,0.05,377.403185,348.090316
2024-02-02,77338696.0,182263,0.03,0.05,377.996719,348.63775
2024-02-05,77237747.0,182263,0.03,0.05,378.57867,349.174501
2024-02-06,77082717.0,182263,0.03,0.05,379.146113,349.697871
2024-02-07,77875912.0,182263,0.03,0.05,379.752512,350.257171
2024-02-08,78020124.0,182263,0.03,0.05,380.360986,350.818385
2024-02-09,78788089.0,182263,0.03,0.05,381.006588,351.413844
2024-02-12,78479820.0,182263,0.03,0.05,381.628433,351.98739
