Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
2013-12-11,38047811,3,0.38885905035242235,6608163,5932099,15410281,13833696,16029367,14389445,-31.82
2013-12-12,37738843,3,0.38885905035242235,6554501,5932099,15285141,13833696,15899200,14389445,-32.37
2013-12-13,37558879,3,0.38885905035242235,6523245,5932099,15212252,13833696,15823382,14389445,-32.7
2013-12-16,38204003,3,0.38885905035242235,6635290,5932099,15473543,13833696,16095170,14389445,-31.54
2013-12-17,37962935,3,0.38885905035242235,6593422,5932099,15375904,13833696,15993609,14389445,-31.97
2013-12-18,39273506,3,0.38885905035242235,6821042,5932099,15906717,13833696,16545747,14389445,-29.62
2013-12-19,38920409,3,0.38885905035242235,6759716,5932099,15763704,13833696,16396989,14389445,-30.26
2013-12-20,40091763,3,0.38885905035242235,6963157,5932099,16238131,13833696,16890475,14389445,-28.16
2013-12-23,41388808,3,0.38885905035242235,7188429,5932099,16763466,13833696,17436914,14389445,-25.83
2013-12-24,41446531,3,0.38885905035242235,7198454,5932099,16786845,13833696,17461232,14389445,-25.73
2013-12-26,41850553,3,0.38885905035242235,7268625,5932099,16950483,13833696,17631445,14389445,-25.0
2013-12-27,41544966,3,0.38885905035242235,7215550,5932099,16826713,13833696,17502702,14389445,-25.55
2013-12-30,41327670,3,0.38885905035242235,7177810,5932099,16738703,13833696,17411157,14389445,-25.94
2013-12-31,42139165,3,0.38885905035242235,7318751,5932099,17067378,13833696,17753035,14389445,-24.49
2014-01-02,41154503,3,0.38885905035242235,7147735,5932099,16668566,13833696,17338202,14389445,-26.25
2014-01-03,40258133,3,0.38885905035242235,6992053,5932099,16305515,13833696,16960566,14389445,-27.86
2014-01-06,39830339,3,0.38885905035242235,6917753,5932099,16132248,13833696,16780338,14389445,-28.63
2014-01-07,40862510,3,0.38885905035242235,7097021,5932099,16550302,13833696,17215187,14389445,-26.78
2014-01-08,41168097,3,0.38885905035242235,7150096,5932099,16674072,13833696,17343929,14389445,-26.23
2014-01-09,40743684,3,0.38885905035242235,7076383,5932099,16502175,13833696,17165126,14389445,-26.99
2014-01-10,41151122,3,0.38885905035242235,7147147,5932099,16667197,13833696,17336778,14389445,-26.26
2014-01-13,39321050,3,0.38885905035242235,6829300,5932099,15925974,13833696,16565777,14389445,-29.54
2014-01-14,41572154,3,0.38885905035242235,7220272,5932099,16837725,13833696,17514156,14389445,-25.5
2014-01-15,42543187,3,0.38885905035242235,7388922,5932099,17231017,13833696,17923248,14389445,-23.76
2014-01-16,42631478,3,0.38885905035242235,7404256,5932099,17266777,13833696,17960445,14389445,-23.61
2014-01-17,41874325,3,0.38885905035242235,7272754,5932099,16960112,13833696,17641460,14389445,-24.96
2014-01-21,42811442,3,0.38885905035242235,7435513,5932099,17339667,13833696,18036263,14389445,-23.28
2014-01-22,43208668,3,0.38885905035242235,7504503,5932099,17500553,13833696,18203612,14389445,-22.57
2014-01-23,42689201,3,0.38885905035242235,7414282,5932099,17290156,13833696,17984763,14389445,-23.5
2014-01-24,40159664,3,0.38885905035242235,6974950,5932099,16265632,13833696,16919081,14389445,-28.03
2014-01-27,38991691,3,0.38885905035242235,6772096,5932099,15792575,13833696,16427019,14389445,-30.13
2014-01-28,38978097,3,0.38885905035242235,6769735,5932099,15787069,13833696,16421292,14389445,-30.15
2014-01-29,37749021,3,0.38885905035242235,6556269,5932099,15289264,13833696,15903488,14389445,-32.35
2014-01-30,39738666,3,0.38885905035242235,6901831,5932099,16095118,13833696,16741716,14389445,-28.79
2014-01-31,39460267,3,0.38885905035242235,6853479,5932099,15982360,13833696,16624428,14389445,-29.29
2014-02-03,36845888,3,0.38885905035242235,6399412,5932099,14923473,13833696,15523002,14389445,-33.97
2014-02-04,37565676,3,0.38885905035242235,6524425,5932099,15215005,13833696,15826246,14389445,-32.68
2014-02-05,37219341,3,0.38885905035242235,6464274,5932099,15074731,13833696,15680337,14389445,-33.3
2014-02-06,38645391,3,0.38885905035242235,6711951,5932099,15652315,13833696,16281125,14389445,-30.75
2014-02-07,40696140,3,0.38885905035242235,7068126,5932099,16482918,13833696,17145096,14389445,-27.07
2014-02-10,41443115,3,0.38885905035242235,7197861,5932099,16785461,13833696,17459793,14389445,-25.73
2014-02-11,42862334,3,0.38885905035242235,7444352,5932099,17360279,13833696,18057703,14389445,-23.19
2014-02-12,43066070,3,0.38885905035242235,7479736,5932099,17442797,13833696,18143536,14389445,-22.83
2014-02-13,44172938,3,0.38885905035242235,7671978,5932099,17891105,13833696,18609855,14389445,-20.84
2014-02-14,44301977,3,0.38885905035242235,7694390,5932099,17943369,13833696,18664218,14389445,-20.61
