Date,Open,High,Low,Close,Volume,ma_200,open_pct,high_pct,low_pct,close_pct
2008-09-23,87.4402,88.2867,85.5807,85.776,327470400,95.9674,-0.38,0.59,-2.5,-2.28
2008-09-24,86.3549,86.8252,85.2262,86.051,311818400,95.863,0.67,1.22,-0.64,0.32
2008-09-25,86.391,88.2071,85.6964,87.3968,328253000,95.7613,0.4,2.51,-0.41,1.56
2008-09-26,85.9787,87.9105,85.7471,87.4402,285917400,95.6745,-1.62,0.59,-1.89,0.05
2008-09-29,86.2029,86.3476,80.2916,80.5882,459562300,95.5483,-1.41,-1.25,-8.18,-7.84
2008-09-30,82.1294,84.5098,79.9732,83.9238,328154400,95.4398,1.91,4.87,-0.76,4.14
2008-10-01,83.4028,84.4303,82.4477,83.9744,332783000,95.3384,-0.62,0.6,-1.76,0.06
2008-10-02,83.1713,83.2871,80.3567,80.9283,365337800,95.2291,-0.96,-0.82,-4.31,-3.63
2008-10-03,81.6591,83.533,79.3582,79.8357,461798000,95.1115,0.9,3.22,-1.94,-1.35
2008-10-06,77.5276,77.8677,72.8174,75.7694,610637500,94.9735,-2.89,-2.47,-8.79,-5.09
2008-10-07,77.3033,77.6579,72.1011,72.376,540012100,94.8154,2.02,2.49,-4.84,-4.48
2008-10-08,70.5599,73.9316,70.0462,70.5527,725414800,94.6406,-2.51,2.15,-3.22,-2.52
2008-10-09,72.1083,72.8029,65.2998,65.6254,534485200,94.4372,2.2,3.19,-7.45,-6.98
2008-10-10,62.7746,67.9697,60.4737,64.0336,871026300,94.2248,-4.34,3.57,-7.85,-2.43
2008-10-13,67.919,73.3311,65.0827,73.3311,455584000,94.0656,6.07,14.52,1.64,14.52
2008-10-14,75.755,76.3555,70.2633,72.2458,546268300,93.9022,3.31,4.12,-4.18,-1.48
2008-10-15,70.5165,70.7625,64.9091,65.1334,484627500,93.7072,-2.39,-2.05,-10.16,-9.84
2008-10-16,66.0523,68.5702,62.6154,67.8466,708811200,93.5302,1.41,5.28,-3.87,4.17
2008-10-17,66.5588,71.3341,66.3127,67.4415,476649000,93.3515,-1.9,5.14,-2.26,-0.6
2008-10-20,68.9898,71.7031,68.0782,71.4933,321294200,93.2058,2.3,6.32,0.94,6.01
2008-10-21,70.1619,71.3703,68.8957,69.3588,356502000,93.0497,-1.86,-0.17,-3.63,-2.99
2008-10-22,67.4342,69.3588,63.3317,65.5819,516168000,92.8829,-2.77,0.0,-8.69,-5.45
2008-10-23,65.3287,66.8916,62.0872,66.3417,634666400,92.7147,-0.39,2.0,-5.33,1.16
2008-10-24,60.821,65.061,60.7776,62.9772,545812600,92.5264,-8.32,-1.93,-8.39,-5.07
2008-10-27,62.203,64.7643,60.5606,60.7414,397288600,92.331,-1.23,2.84,-3.84,-3.55
2008-10-28,63.1943,68.1867,61.1611,67.8394,639939500,92.1671,4.04,12.26,0.69,11.69
2008-10-29,67.8467,70.3067,66.6383,67.3474,531270100,92.0117,0.01,3.64,-1.77,-0.73
2008-10-30,69.301,69.8508,67.2172,69.6772,414582100,91.8723,2.9,3.72,-0.19,3.46
2008-10-31,68.7945,71.3197,68.3604,70.0607,411394000,91.7474,-1.27,2.36,-1.89,0.55
2008-11-03,70.0245,70.6829,69.424,70.2633,205419400,91.6284,-0.05,0.89,-0.91,0.29
2008-11-04,71.6742,72.9765,69.9738,72.6509,346793400,91.5261,2.01,3.86,-0.41,3.4
2008-11-05,71.7755,72.868,68.7366,69.5976,387844100,91.3974,-1.21,0.3,-5.39,-4.2
2008-11-06,68.3459,69.0549,65.1623,65.7411,477721900,91.2453,-1.8,-0.78,-6.37,-5.54
2008-11-07,66.3127,68.0131,65.4807,67.9118,380391000,91.1111,0.87,3.46,-0.4,3.3
2008-11-10,68.8886,69.1201,65.7846,67.0218,301773000,90.9645,1.44,1.78,-3.13,-1.31
2008-11-11,65.6688,66.6673,64.1421,64.9525,418498200,90.8053,-2.02,-0.53,-4.3,-3.09
2008-11-12,63.8382,64.3592,61.588,62.0945,454330600,90.6353,-1.72,-0.91,-5.18,-4.4
2008-11-13,62.3188,66.3706,59.3957,65.9654,753141900,90.4759,0.36,6.89,-4.35,6.23
2008-11-14,64.692,66.6094,62.601,62.6733,540352300,90.2922,-1.93,0.98,-5.1,-4.99
2008-11-17,62.4997,64.077,61.6169,61.8412,415254900,90.1105,-0.28,2.24,-1.69,-1.33
2008-11-18,61.6097,63.1074,59.989,63.0061,523811800,89.9479,-0.37,2.05,-3.0,1.88
2008-11-19,62.1596,62.8542,58.5491,58.9688,558327600,89.7689,-1.34,-0.24,-7.07,-6.41
2008-11-20,57.9775,59.6995,54.3019,54.5913,814180400,89.5649,-1.68,1.24,-7.91,-7.42
2008-11-21,56.0456,58.5346,53.7882,57.5361,718536500,89.3786,2.66,7.22,-1.47,5.39
2008-11-24,59.2727,62.941,58.1439,61.5229,523305300,89.2099,3.02,9.39,1.06,6.93
2008-11-25,63.1653,63.3172,60.6474,61.9787,454112400,89.0391,2.67,2.92,-1.42,0.74
2008-11-26,60.9947,64.5328,60.9513,64.3736,370134200,88.8753,-1.59,4.12,-1.66,3.86
2008-11-28,64.1276,65.2129,64.0191,65.184,118308100,88.7198,-0.38,1.3,-0.55,1.26
2008-12-01,63.3173,63.3462,59.2292,59.4101,369927100,88.5356,-2.86,-2.82,-9.14,-8.86
2008-12-02,60.3942,61.8557,59.3595,61.6966,469508400,88.3614,1.66,4.12,-0.09,3.85
