Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,tqqq_value,tqqq_weight,tqqq_signal,tqqq_shares,tqqq_avg_price,tqqq_realized_pnl,tqqq_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,spy_current_price,spy_return_pct,spy_contribution,tqqq_current_price,tqqq_return_pct,tqqq_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2024-03-07,97785881,202,False,,28903458,0.2956,buy,57689,398.813767,9809544,5896291,31692078,0.3241,buy,1031808,12.870174,48299983,18412529,19246824,0.1968,buy,96263,161.292484,2010673,3720326,17943319,0.1835,buy,204433,103.271603,2805340,-3168804,0.0,501.022003,25.628061079916264,15705835,30.715092,138.6532746176421,66712512,199.940002,23.961139995803116,5730999,87.771149,-15.009405788946173,-363465,87785881.21438871,877.858812143887
2024-03-08,96355709,202,False,,28729978,0.2982,buy,57689,398.813767,9809544,5722810,30304508,0.3145,buy,1031808,12.870174,48299983,17024960,19409509,0.2014,buy,96263,161.292484,2010673,3883011,17911512,0.1859,buy,204433,103.271603,2805340,-3200611,-1.46,498.014832,24.87403219534898,15532354,29.370298,128.20435615807315,65324942,201.63000499999998,25.00892781405235,5893684,87.615562,-15.160063855203399,-395272,86355708.96063572,863.5570896063572
2024-03-11,96004063,202,False,,28705272,0.299,buy,57689,398.813767,9809544,5698105,29951309,0.312,buy,1031808,12.870174,48299983,16671761,19445126,0.2025,buy,96263,161.292484,2010673,3918628,17902154,0.1865,buy,204433,103.271603,2805340,-3209970,-1.82,497.586578,24.7666502453596,15507649,29.027987,125.54463301325436,64971743,202.0,25.2383216398699,5929301,87.569786,-15.204389689887476,-404630,86004062.89101872,860.0406289101873
2024-03-12,97221951,202,False,,29014065,0.2984,buy,57689,398.813767,9809544,6006898,31222829,0.3211,buy,1031808,12.870174,48299983,17943280,19232384,0.1978,buy,96263,161.292484,2010673,3705886,17752471,0.1826,buy,204433,103.271603,2805340,-3359652,-0.58,502.939301,26.10881128411917,15816442,30.260309,135.1196549823685,66243263,199.789993,23.86813566218493,5716559,86.837601,-15.913379362819969,-554313,87221951.14639571,872.2195114639571
2024-03-13,96498589,202,False,,28968586,0.3002,buy,57689,398.813767,9809544,5961418,30496245,0.316,buy,1031808,12.870174,48299983,17216697,19367153,0.2007,buy,96263,161.292484,2010673,3840655,17666404,0.1831,buy,204433,103.271603,2805340,-3445720,-1.32,502.15094,25.911134808299764,15770962,29.556124,129.6482060872578,65516679,201.190002,24.736129609911227,5851328,86.41659499999999,-16.321048061636034,-640380,86498589.21895571,864.9858921895571
2024-03-14,95841924,202,False,,28911321,0.3017,buy,57689,398.813767,9809544,5904153,30249009,0.3156,buy,1031808,12.870174,48299983,16969460,19286293,0.2012,buy,96263,161.292484,2010673,3759794,17395100,0.1815,buy,204433,103.271603,2805340,-3717023,-1.99,501.15829499999995,25.66223542674768,15713698,29.316509,127.78642086462173,65269442,200.350006,24.21533906919735,5770467,85.089493,-17.606108002672883,-911684,85841923.86951672,858.4192386951672
2024-03-15,94471169,202,False,,28712800,0.3039,buy,57689,398.813767,9809544,5705633,29143993,0.3085,buy,1031808,12.870174,48299983,15864444,19224684,0.2035,buy,96263,161.292484,2010673,3698186,17389490,0.1841,buy,204433,103.271603,2805340,-3722634,-3.39,497.717072,24.79937078079397,15515177,28.245558,119.46523585547251,64164427,199.710007,23.818545006765678,5708859,85.06205000000001,-17.63268161944225,-917294,84471168.86790572,844.7116886790573
2024-03-18,95442681,202,False,,28883443,0.3026,buy,57689,398.813767,9809544,5876275,29966449,0.314,buy,1031808,12.870174,48299983,16686900,19255488,0.2017,buy,96263,161.292484,2010673,3728989,17337100,0.1816,buy,204433,103.271603,2805340,-3775024,-2.4,500.675049,25.541064584666696,15685820,29.04266,125.65864079478617,64986883,200.029999,24.016937388043846,5739663,84.805779,-17.88083405697115,-969684,85442680.96402772,854.4268096402773
2024-03-19,95836567,202,False,,29043954,0.3031,buy,57689,398.813767,9809544,6036786,30173317,0.3148,buy,1031808,12.870174,48299983,16893769,19233348,0.2007,buy,96263,161.292484,2010673,3706849,17385747,0.1814,buy,204433,103.271603,2805340,-3726377,-1.99,503.457397,26.23872054068581,15846331,29.243151,127.21643634628133,65193751,199.80000299999998,23.874341779014685,5717523,85.043739,-17.650412534308135,-921037,85836566.82725972,858.3656682725971
2024-03-20,97399716,202,False,,29312588,0.301,buy,57689,398.813767,9809544,6305420,31244338,0.3208,buy,1031808,12.870174,48299983,17964789,19462453,0.1998,buy,96263,161.292484,2010673,3935954,17380136,0.1784,buy,204433,103.271603,2805340,-3731987,-0.39,508.113983,27.40632968146017,16114964,30.281155,135.28162637293696,66264772,202.179993,25.349915804359636,5946628,85.016296,-17.67698615107751,-926648,87399716.17079672,873.9971617079672
2024-03-21,97918904,202,False,,29409462,0.3003,buy,57689,398.813767,9809544,6402295,31649446,0.3232,buy,1031808,12.870174,48299983,18369898,19442238,0.1986,buy,96263,161.292484,2010673,3915740,17417555,0.1779,buy,204433,103.271603,2805340,-3694568,0.0,509.793243,27.827393380431232,16211839,30.673775,138.33224554999754,66669880,201.970001,25.219722509122988,5926413,85.199333,-17.4997476898081,-889229,87918903.80102171,879.189038010217
2024-03-22,97939555,202,False,,29353705,0.2997,buy,57689,398.813767,9809544,6346537,31715280,0.3238,buy,1031808,12.870174,48299983,18435731,19286293,0.1969,buy,96263,161.292484,2010673,3759794,17584077,0.1795,buy,204433,103.271603,2805340,-3528047,0.0,508.826721,27.585044173961172,16156081,30.737579,138.82799641845347,66735714,200.350006,24.21533906919735,5770467,86.013885,-16.711000370392203,-722707,87939555.32132672,879.3955532132672
2024-03-25,97508040,202,False,,29272601,0.3002,buy,57689,398.813767,9809544,6265433,31391193,0.3219,buy,1031808,12.870174,48299983,18111645,19347901,0.1984,buy,96263,161.292484,2010673,3821402,17496144,0.1794,buy,204433,103.271603,2805340,-3615980,-0.44,507.420837,27.2325277575848,16074977,30.423483,136.38750107680505,66411627,200.990005,24.612133131629,5832076,85.583755,-17.127504024548557,-810640,87508039.97112972,875.0803997112971
2024-03-26,97271483,202,False,,29218544,0.3004,buy,57689,398.813767,9809544,6211376,31097482,0.3197,buy,1031808,12.870174,48299983,17817933,19410471,0.1995,buy,96263,161.292484,2010673,3883973,17544785,0.1804,buy,204433,103.271603,2805340,-3567339,-0.68,506.48379500000004,26.99757047246445,16020920,30.138826,134.17574389916632,66117916,201.639999,25.015124011015068,5894646,85.821686,-16.897110583177167,-761999,87271482.90588072,872.7148290588073
2024-03-27,98105033,202,False,,29464088,0.3003,buy,57689,398.813767,9809544,6456921,31370937,0.3198,buy,1031808,12.870174,48299983,18091388,19551016,0.1993,buy,96263,161.292484,2010673,4024517,17718791,0.1806,buy,204433,103.271603,2805340,-3393332,0.0,510.740143,28.064822495967622,16266465,30.403851,136.23496234804935,66391371,203.100006,25.920316220235186,6035191,86.67285200000002,-16.07290918059273,-587993,88105033.35357171,881.0503335357172
2024-03-28,98139146,202,False,,29458453,0.3002,buy,57689,398.813767,9809544,6451285,31173443,0.3176,buy,1031808,12.870174,48299983,17893895,19803224,0.2018,buy,96263,161.292484,2010673,4276726,17703824,0.1804,buy,204433,103.271603,2805340,-3408299,0.0,510.64245600000004,28.040328105842605,16260829,30.212446,134.74776413200007,66193877,205.720001,27.544691351447305,6287399,86.59964,-16.143801853803396,-602960,88139146.30787772,881.3914630787773
2024-04-01,98152462,202,False,,29407204,0.2996,buy,57689,398.813767,9809544,6400036,31365871,0.3196,buy,1031808,12.870174,48299983,18086322,20005377,0.2038,buy,96263,161.292484,2010673,4478879,17373809,0.177,buy,204433,103.271603,2805340,-3738315,0.0,509.754089,27.817575765488023,16209580,30.398941,136.19681212605514,66386304,207.820007,28.846677623099094,6489552,84.98534399999998,-17.706957604134622,-932975,88152461.84038472,881.5246184038472
2024-04-02,97306026,403,True,monthly,29258215,0.3007,buy,57764,398.954812,9809544,6212989,28586192,0.2938,buy,966264,12.870174,49376523,16150206,19921724,0.2047,buy,94465,161.292484,2095450,4685229,19539492,0.2008,buy,231190,101.080269,2805340,-3829256,-0.86,506.51297000000005,26.959984988778317,16022534,29.584246,129.86671128948205,65526729,210.889999,30.75004715541505,6780679,84.517029,-16.386224923045624,-1023916,87306025.62830445,873.0602562830445
2024-04-03,97698373,403,False,,29290358,0.2998,buy,57764,398.954812,9809544,6245133,28775881,0.2945,buy,966264,12.870174,49376523,16339895,20096485,0.2057,buy,94465,161.292484,2095450,4859990,19535246,0.2,buy,231190,101.080269,2805340,-3833501,-0.46,507.069427,27.099463692288907,16054677,29.780558,131.3920364178176,65716418,212.740005,31.89703550424521,6955440,84.498665,-16.40439266253765,-1028162,87698373.27245045,876.9837327245044
2024-04-04,96009440,403,False,,28932838,0.3014,buy,57764,398.954812,9809544,5887612,27419604,0.2856,buy,966264,12.870174,49376523,14983618,19981237,0.2081,buy,94465,161.292484,2095450,4744743,19675359,0.2049,buy,231190,101.080269,2805340,-3693389,-2.18,500.880096,25.54807721772223,15697156,28.376928,120.48596796614044,64360141,211.520004,31.140645020884005,6840192,85.104713,-15.804821644041034,-888049,86009440.46090145,860.0944046090145
