date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2013-07-02,gld,23433,26599,17.61,19.86,2838439,3193210,3166,354771,monthly
2013-07-02,tlt,38153,41526,18.37,20.03,2961078,3220811,3373,259733,monthly
2013-07-02,cash,0,0,0.0,0.0,114,102,0,-12,monthly
2013-08-02,spy,37268,38097,29.35,29.84,5113338,5235962,829,122624,monthly
2013-08-02,tqqq,7172810,6396796,33.63,30.28,5859726,5312890,-776014,-546836,monthly
2013-08-02,gld,26599,27520,19.33,19.82,3367699,3477427,921,109728,monthly
2013-08-02,tlt,41526,46886,17.69,20.06,3083178,3519466,5360,436288,monthly
2013-08-02,cash,0,0,0.0,0.0,102,88,0,-14,monthly
2013-11-04,spy,38097,40073,28.51,30.02,5423376,5724746,1976,301370,monthly
2013-11-04,tqqq,6396796,5564521,34.53,30.1,6567500,5740677,-832275,-826823,monthly
2013-11-04,gld,27520,29954,18.37,19.92,3493663,3798466,2434,304803,monthly
2013-11-04,tlt,46886,50415,18.59,19.96,3536502,3806266,3529,269764,monthly
2013-11-04,cash,0,0,0.0,0.0,88,166,0,78,monthly
2014-01-03,spy,40073,40130,29.96,30.14,5954056,5961546,57,7490,monthly
2014-01-03,tqqq,5564521,4946546,33.73,29.47,6704830,5830399,-617975,-874431,monthly
2014-01-03,gld,29954,33655,17.78,20.29,3534572,4014704,3701,480132,monthly
2014-01-03,tlt,50415,54435,18.52,20.1,3681615,3975180,4020,293565,monthly
2014-01-03,cash,0,0,0.0,0.0,166,102,0,-64,monthly
2014-02-04,spy,40130,41048,29.32,30.07,5677308,5847857,918,170549,monthly
2014-02-04,tqqq,4946546,5377493,27.56,30.41,5336220,5914441,430947,578221,monthly
2014-02-04,gld,33655,31899,21.09,19.84,4083024,3859459,-1756,-223565,monthly
2014-02-04,tlt,54435,49379,22.03,19.68,4264237,3827122,-5056,-437115,monthly
2014-02-04,cash,0,0,0.0,0.0,102,5,0,-97,monthly
2014-03-04,spy,41048,42319,29.09,30.06,6167606,6447955,1271,280349,monthly
2014-03-04,tqqq,5377493,4892863,33.07,30.94,7012439,6637276,-484630,-375163,monthly
2014-03-04,gld,31899,32554,19.6,19.53,4156120,4189048,655,32928,monthly
2014-03-04,tlt,49379,54162,18.24,19.48,3867274,4178065,4783,310791,monthly
2014-03-04,cash,0,0,0.0,0.0,5,168,0,163,monthly
2014-08-04,spy,42319,43060,29.48,30.0,6678129,6844128,741,165999,monthly
2014-08-04,tqqq,4892863,4488238,32.72,30.41,7410901,6937271,-404625,-473630,monthly
2014-08-04,gld,32554,36413,17.87,19.79,4049066,4514847,3859,465781,monthly
2014-08-04,tlt,54162,54355,19.93,19.81,4514367,4518590,193,4223,monthly
2014-08-04,cash,0,0,0.0,0.0,168,294,0,126,monthly
2014-09-03,spy,43060,44040,29.33,30.08,7081334,7238526,980,157192,monthly
2014-09-03,tqqq,4488238,4061958,33.16,29.6,8007357,7122452,-426280,-884905,monthly
2014-09-03,gld,36413,39685,18.35,20.14,4429641,4847522,3272,417881,monthly
2014-09-03,tlt,54355,56730,19.16,20.18,4626804,4855857,2375,229053,monthly
2014-09-03,cash,0,0,0.0,0.0,294,160,0,-134,monthly
2015-02-03,spy,44040,45721,28.89,30.26,7364290,7755945,1681,391655,monthly
2015-02-03,tqqq,4061958,4131363,29.49,30.64,7517888,7855047,69405,337159,monthly
2015-02-03,gld,39685,41652,19.06,19.67,4858237,5041974,1967,183737,monthly
2015-02-03,tlt,56730,50178,22.56,19.43,5752123,4980097,-6552,-772026,monthly
2015-02-03,cash,0,0,0.0,0.0,160,142,0,-18,monthly
2015-03-03,spy,45721,46037,29.79,30.1,8026671,8048976,316,22305,monthly
2015-03-03,tqqq,4131363,3548585,34.86,29.73,9391546,7951012,-582778,-1440534,monthly
2015-03-03,gld,41652,46548,17.88,20.1,4818303,5374897,4896,556594,monthly
2015-03-03,tlt,50178,57449,17.46,20.07,4704288,5366431,7271,662143,monthly
2015-03-03,cash,0,0,0.0,0.0,142,236,0,94,monthly
2015-08-25,spy,46037,0,30.93,0.0,7292259,0,-46037,-7292259,
2015-08-25,tqqq,3548585,0,24.26,0.0,5719286,0,-3548585,-5719286,
2015-08-25,gld,46548,46548,21.82,20.99,5144950,5081179,0,-63771,
2015-08-25,tlt,57449,57449,22.99,22.03,5421883,5334780,0,-87103,
2015-08-25,cash,0,0,0.0,56.98,236,13796301,0,13796065,
2015-10-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2015-10-02,tqqq,0,0,0.0,0.0,0,0,0,0,monthly
2015-10-02,gld,46548,45179,20.61,20.31,4968068,4924059,-1369,-44009,monthly
2015-10-02,tlt,57449,51964,22.14,20.03,5335056,4854919,-5485,-480137,monthly
2015-10-02,cash,0,0,57.25,59.66,13796301,14459589,0,663288,monthly
2015-10-28,spy,0,0,0.0,0.0,0,0,0,0,daily
2015-10-28,tqqq,0,3063271,0.0,30.4,0,7418755,3063271,7418755,daily
2015-10-28,gld,45179,43619,20.72,19.8,5045590,4832112,-1560,-213478,daily
2015-10-28,tlt,51964,52223,19.9,19.87,4845955,4850523,259,4568,daily
2015-10-28,cash,0,0,59.38,29.93,14459589,7305288,0,-7154301,daily
2015-11-03,spy,0,41312,0.0,30.09,0,7324138,41312,7324138,monthly
2015-11-03,tqqq,3063271,2969611,30.94,30.31,7538783,7377983,-93660,-160800,monthly
2015-11-03,gld,43619,44886,19.44,19.73,4736587,4801904,1267,65317,monthly
2015-11-03,tlt,52223,53163,19.65,19.86,4787290,4833499,940,46209,monthly
2015-11-03,cash,0,0,29.98,0.0,7305288,238,0,-7305050,monthly
2016-01-11,spy,41312,0,30.75,0.0,6701491,0,-41312,-6701491,
2016-01-11,tqqq,2969611,2969611,24.77,25.02,5398075,5445331,0,47256,
2016-01-11,gld,44886,44886,21.77,21.6,4743552,4701359,0,-42193,
2016-01-11,tlt,53163,53163,22.72,22.5,4950622,4896444,0,-54178,
2016-01-11,cash,0,0,0.0,30.88,238,6719570,0,6719332,
2016-01-14,spy,0,0,0.0,0.0,0,0,0,0,
2016-01-14,tqqq,2969611,0,23.47,0.0,5040133,0,-2969611,-5040133,
2016-01-14,gld,44886,44886,21.89,21.61,4700461,4624155,0,-76306,
2016-01-14,tlt,53163,53163,23.36,23.22,5016037,4969083,0,-46954,
2016-01-14,cash,0,0,31.29,55.17,6719570,11808185,0,5088615,
2016-02-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2016-02-02,tqqq,0,0,0.0,0.0,0,0,0,0,monthly
2016-02-02,gld,44886,40242,22.3,19.92,4849932,4349757,-4644,-500175,monthly
2016-02-02,tlt,53163,45473,23.42,20.32,5093099,4437205,-7690,-655894,monthly
2016-02-02,cash,0,0,54.29,59.76,11808185,13050658,0,1242473,monthly
2016-04-04,spy,0,37903,0.0,29.92,0,6641659,37903,6641659,monthly
2016-04-04,tqqq,0,0,0.0,0.0,0,0,0,0,monthly
2016-04-04,gld,40242,38077,21.13,19.92,4705497,4422643,-2165,-282854,monthly
2016-04-04,tlt,45473,44883,20.26,20.07,4512148,4456330,-590,-55818,monthly
2016-04-04,cash,0,0,58.61,30.09,13050658,6680591,0,-6370067,monthly
2016-04-05,spy,37903,38009,29.92,29.71,6641659,6593713,106,-47946,daily
2016-04-05,tqqq,0,3269528,0.0,29.8,0,6613087,3269528,6613087,daily
2016-04-05,gld,38077,38225,19.92,20.27,4422643,4497553,148,74910,daily
2016-04-05,tlt,44883,44723,20.07,20.23,4456330,4489005,-160,32675,daily
2016-04-05,cash,0,0,30.09,0.0,6680591,293,0,-6680298,daily
2016-10-04,spy,38009,40280,28.3,30.21,7039594,7422173,2271,382579,monthly
2016-10-04,tqqq,3269528,2925399,33.55,30.22,8343583,7422913,-344129,-920670,monthly
2016-10-04,gld,38225,39716,19.26,19.56,4790357,4804444,1491,14087,monthly
2016-10-04,tlt,44723,47342,18.89,20.01,4698888,4915886,2619,216998,monthly
2016-10-04,cash,0,0,0.0,0.0,293,141,0,-152,monthly
2017-02-02,spy,40280,39064,30.93,30.03,7915933,7682021,-1216,-233912,monthly
2017-02-02,tqqq,2925399,2569087,34.12,29.9,8732705,7649649,-356312,-1083056,monthly
2017-02-02,gld,39716,44373,17.88,20.09,4575283,5140168,4657,564885,monthly
2017-02-02,tlt,47342,55394,17.07,19.97,4368020,5108797,8052,740777,monthly
2017-02-02,cash,0,0,0.0,0.0,141,84,0,-57,monthly
2017-05-02,spy,39064,41462,28.26,29.92,8085006,8584550,2398,499544,monthly
2017-05-02,tqqq,2569087,2208465,34.91,30.1,9987975,8636922,-360622,-1351053,monthly
2017-05-02,gld,44373,47816,18.56,19.94,5310116,5721184,3443,411068,monthly
2017-05-02,tlt,55394,60621,18.27,20.04,5227831,5750428,5227,522597,monthly
2017-05-02,cash,0,0,0.0,0.0,84,308,0,224,monthly
2017-11-02,spy,41462,43250,28.76,30.04,9348907,9755857,1788,406950,monthly
2017-11-02,tqqq,2208465,1887245,35.07,29.84,11401684,9693767,-321220,-1707917,monthly
2017-11-02,gld,47816,53661,17.81,20.02,5790995,6503176,5845,712181,monthly
2017-11-02,tlt,60621,66009,18.36,20.1,5968958,6528136,5388,559178,monthly
2017-11-02,cash,0,0,0.0,0.0,308,242,0,-66,monthly
2018-01-29,spy,43250,45087,28.78,30.07,10909289,11297253,1837,387964,daily
2018-01-29,tqqq,1887245,1568116,36.04,29.82,13663019,11202294,-319129,-2460725,daily
2018-01-29,gld,53661,59207,18.13,20.07,6872364,7540011,5546,667647,daily
2018-01-29,tlt,66009,77428,17.06,20.05,6465842,7531603,11419,1065761,daily
2018-01-29,cash,0,0,0.0,0.0,242,385,0,143,daily
2018-04-03,spy,45087,44174,30.62,30.12,10258370,10179460,-913,-78910,monthly
2018-04-03,tqqq,1568116,1915791,24.42,30.57,8180583,10329669,347675,2149086,monthly
