Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct
2010-07-06,9391196,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3289840,0.3503,buy,4283568,0.950632,0,-782255,1401628,0.1492,buy,109545,11.078135,55979,188074,1407150,0.1498,buy,77176,14.521906,91164,286407,-14.11
2010-07-07,9596170,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3498604,0.3646,buy,4283568,0.950632,0,-573491,1429288,0.1489,buy,109545,11.078135,55979,215734,1375699,0.1434,buy,77176,14.521906,91164,254957,-12.24
2010-07-08,9602352,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3535250,0.3682,buy,4283568,0.950632,0,-536845,1416417,0.1475,buy,109545,11.078135,55979,202863,1358107,0.1414,buy,77176,14.521906,91164,237364,-12.18
2010-07-09,9685126,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3605933,0.3723,buy,4283568,0.950632,0,-466162,1444077,0.1491,buy,109545,11.078135,55979,230523,1342537,0.1386,buy,77176,14.521906,91164,221795,-11.43
2010-07-12,9679333,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3625561,0.3746,buy,4283568,0.950632,0,-446534,1420525,0.1468,buy,109545,11.078135,55979,206970,1340669,0.1385,buy,77176,14.521906,91164,219926,-11.48
2010-07-13,9769624,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3714565,0.3802,buy,4283568,0.950632,0,-357531,1444077,0.1478,buy,109545,11.078135,55979,230523,1318405,0.1349,buy,77176,14.521906,91164,197662,-10.65
2010-07-14,9837403,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3757760,0.382,buy,4283568,0.950632,0,-314335,1440791,0.1465,buy,109545,11.078135,55979,227236,1346274,0.1369,buy,77176,14.521906,91164,225531,-10.03
2010-07-15,9870258,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3766918,0.3816,buy,4283568,0.950632,0,-305177,1439421,0.1458,buy,109545,11.078135,55979,225867,1371340,0.1389,buy,77176,14.521906,91164,250597,-9.73
2010-07-16,9638825,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3559465,0.3693,buy,4283568,0.950632,0,-512630,1400807,0.1453,buy,109545,11.078135,55979,187252,1385975,0.1438,buy,77176,14.521906,91164,265233,-11.85
2010-07-19,9659408,3292578,False,,0,0.0,sell,0,0.0,-448174,0,3617053,0.3745,buy,4283568,0.950632,0,-455042,1379993,0.1429,buy,109545,11.078135,55979,166439,1369783,0.1418,buy,77176,14.521906,91164,249041,-11.66
