Date,Open,High,Low,Close,change_pct
2015-05-22,108.347189,108.764039,107.687169,108.0606,-0.43
2015-05-26,107.635045,107.721889,106.401849,107.02713,-0.96
2015-05-27,107.131348,108.442701,106.636335,108.338486,1.23
2015-05-28,108.077982,108.303779,107.487439,108.242989,-0.09
2015-05-29,108.216918,108.321134,107.096623,107.591637,-0.6
2015-06-01,108.286386,108.468759,106.844765,107.930321,0.31
2015-06-02,107.513496,108.824843,107.235594,108.138771,0.19
2015-06-03,108.347177,109.363256,108.051902,109.215622,1.0
2015-06-04,108.625099,109.09406,107.756654,108.121399,-1.0
2015-06-05,107.886921,109.007209,107.096633,108.903,0.72
2015-06-08,108.798776,109.094051,108.182181,108.399292,-0.46
2015-06-09,108.303752,108.43402,107.252935,108.069275,-0.3
2015-06-10,108.494795,109.840887,108.425318,109.415344,1.25
2015-06-11,109.571701,109.893028,109.34591,109.693283,0.25
2015-06-12,109.35458,109.554325,108.929044,109.363266,-0.3
2015-06-15,108.651139,109.250368,107.63506,109.015884,-0.32
2015-06-16,108.885604,109.988533,108.8335,109.788788,0.71
2015-06-17,110.066689,110.257748,109.397989,109.623787,-0.15
2015-06-18,110.136158,111.369355,110.066681,111.091446,1.34
2015-06-19,111.004614,111.299889,110.813555,111.039352,-0.05
2015-06-22,111.525703,111.890448,111.291219,111.803612,0.69
2015-06-23,111.751497,112.107563,111.508334,112.038086,0.21
2015-06-24,111.820936,112.116218,110.926446,111.091446,-0.84
2015-06-25,111.464899,111.525683,110.509605,111.03067,-0.05
2015-06-26,111.24781,111.456229,110.136195,110.726738,-0.27
2015-06-29,109.971165,110.353283,107.782687,107.930321,-2.53
2015-06-30,108.711938,108.83352,107.939023,108.434036,0.47
2015-07-01,109.224303,109.563002,107.739263,108.755348,0.3
2015-07-02,108.850417,108.981238,107.594556,107.952126,-0.74
2015-07-06,107.219537,108.588779,107.114879,107.917236,-0.03
2015-07-07,108.03933,108.135264,105.989828,108.03933,0.11
2015-07-08,107.09742,107.577087,105.771781,106.390991,-1.53
2015-07-09,107.577114,107.734098,106.635214,106.774757,0.36
2015-07-10,108.004444,108.440509,107.585826,108.257362,1.39
2015-07-13,108.815535,109.57429,108.798096,109.478355,1.13
2015-07-14,109.417301,110.324316,109.364976,110.088844,0.56
