이평기간,버퍼존,유지일,조정기간,수익률,CAGR,MDD,거래수,승률,최종자본
150,0.03,4,10,1201.03,10.06,-48.67,20,60.0,130102821.3
200,0.04,3,10,1200.17,10.05,-48.32,17,64.71,130017267.44
150,0.05,4,8,1199.23,10.05,-46.3,15,80.0,129923164.44
150,0.05,4,6,1199.23,10.05,-46.3,15,80.0,129923164.44
150,0.05,3,0,1198.67,10.05,-41.03,16,68.75,129867006.94
250,0.04,5,10,1196.88,10.04,-46.47,14,78.57,129688016.67
250,0.04,5,12,1196.88,10.04,-46.47,14,78.57,129688016.67
150,0.05,5,10,1194.55,10.04,-44.03,15,80.0,129454937.42
150,0.05,5,12,1194.55,10.04,-44.03,15,80.0,129454937.42
250,0.03,5,2,1193.23,10.03,-46.15,16,68.75,129323006.8
150,0.05,4,10,1193.03,10.03,-46.3,15,80.0,129303150.77
250,0.02,3,4,1189.97,10.02,-43.36,21,61.9,128997472.87
250,0.04,4,0,1189.64,10.02,-45.11,15,73.33,128964344.2
250,0.02,5,4,1188.49,10.02,-44.28,21,61.9,128848685.53
250,0.02,2,10,1187.04,10.01,-44.7,22,59.09,128703609.85
200,0.05,0,4,1183.97,10.0,-48.69,16,62.5,128396713.74
250,0.02,4,6,1183.15,10.0,-45.65,21,61.9,128315430.09
250,0.02,4,4,1181.98,10.0,-45.65,21,61.9,128197954.98
250,0.02,2,12,1179.54,9.99,-44.7,22,59.09,127953945.89
250,0.02,3,8,1177.92,9.98,-43.36,21,61.9,127792066.28
250,0.03,3,4,1177.89,9.98,-44.72,16,68.75,127789346.54
250,0.02,5,6,1176.31,9.98,-44.28,21,61.9,127630940.06
250,0.03,3,6,1175.7,9.98,-44.72,16,68.75,127569681.66
150,0.03,2,8,1175.04,9.97,-49.75,22,59.09,127503853.47
150,0.05,0,4,1172.66,9.97,-55.54,18,61.11,127265607.32
250,0.05,0,0,1171.96,9.96,-38.61,15,73.33,127196199.12
200,0.03,3,2,1171.02,9.96,-40.6,21,61.9,127102438.69
250,0.03,3,12,1169.91,9.96,-44.72,16,68.75,126990939.49
150,0.04,0,6,1169.76,9.96,-59.19,20,65.0,126976009.85
150,0.03,5,6,1168.6,9.95,-46.27,20,65.0,126860027.81
200,0.04,3,2,1167.97,9.95,-48.32,18,66.67,126796621.72
200,0.05,3,0,1164.24,9.94,-39.83,15,66.67,126423967.63
250,0.03,3,10,1164.01,9.94,-44.72,16,68.75,126400527.44
250,0.03,3,8,1164.01,9.94,-44.72,16,68.75,126400527.44
200,0.04,4,10,1162.96,9.93,-46.74,17,64.71,126296297.71
250,0.04,4,2,1161.83,9.93,-45.14,15,73.33,126183374.42
150,0.05,4,12,1160.16,9.93,-46.3,15,80.0,126016163.46
150,0.04,0,2,1159.22,9.92,-57.78,21,61.9,125921670.07
150,0.03,2,10,1156.87,9.91,-49.75,22,59.09,125686862.05
150,0.05,5,0,1156.02,9.91,-40.97,16,68.75,125601794.87
150,0.05,1,4,1154.45,9.91,-51.78,17,64.71,125444922.4
150,0.04,1,4,1154.07,9.91,-55.72,20,65.0,125407075.91
250,0.02,4,8,1153.92,9.9,-45.65,21,61.9,125391637.42
200,0.05,3,2,1153.84,9.9,-40.33,15,66.67,125384139.32
150,0.04,0,8,1153.65,9.9,-59.19,20,65.0,125365220.15
250,0.04,5,0,1153.37,9.9,-45.88,15,73.33,125337438.19
250,0.02,5,8,1150.2,9.89,-44.28,21,61.9,125020270.22
150,0.05,3,2,1149.59,9.89,-41.78,16,68.75,124958906.83
250,0.04,1,8,1148.51,9.89,-43.92,16,68.75,124850507.39
250,0.04,4,4,1146.57,9.88,-45.76,15,73.33,124656644.89
150,0.05,4,0,1146.19,9.88,-43.36,16,68.75,124619003.89
200,0.03,1,12,1145.14,9.88,-48.21,20,65.0,124513613.35
250,0.04,1,10,1144.05,9.87,-43.92,16,68.75,124405092.96
250,0.04,1,12,1144.05,9.87,-43.92,16,68.75,124405092.96
200,0.02,2,10,1143.45,9.87,-41.94,24,54.17,124344632.15
150,0.04,4,2,1143.44,9.87,-42.68,17,70.59,124343659.6
200,0.03,4,12,1139.81,9.86,-45.37,19,57.89,123981069.68
150,0.03,5,8,1138.76,9.85,-46.27,20,65.0,123876441.33
250,0.02,2,4,1134.19,9.84,-44.7,23,56.52,123419156.52
150,0.04,0,10,1134.1,9.84,-59.19,20,65.0,123410436.78
250,0.05,0,2,1131.71,9.83,-38.61,15,73.33,123170864.75
200,0.03,3,12,1130.56,9.83,-46.74,19,57.89,123056066.89
250,0.01,4,12,1130.38,9.83,-44.68,23,60.87,123038442.69
200,0.03,3,8,1130.1,9.83,-43.46,20,65.0,123010092.4
250,0.04,4,6,1128.59,9.82,-45.76,15,73.33,122858678.76
250,0.01,0,10,1127.93,9.82,-41.41,32,43.75,122792757.82
250,0.04,5,2,1126.35,9.81,-47.05,15,73.33,122634539.87
200,0.02,2,4,1126.02,9.81,-43.47,24,54.17,122602369.18
250,0.04,1,0,1124.64,9.81,-43.29,17,64.71,122463935.75
200,0.02,3,4,1124.19,9.81,-40.52,23,56.52,122418650.03
150,0.03,2,6,1123.06,9.8,-49.75,23,56.52,122306258.78
250,0.03,2,4,1123.06,9.8,-45.91,17,64.71,122305723.05
150,0.03,3,12,1122.33,9.8,-51.33,20,60.0,122233197.76
150,0.03,2,4,1120.96,9.8,-49.75,23,56.52,122095510.43
150,0.04,4,6,1120.42,9.79,-42.4,17,70.59,122041889.81
150,0.04,4,8,1120.42,9.79,-42.4,17,70.59,122041889.81
150,0.04,4,4,1120.42,9.79,-42.4,17,70.59,122041889.81
