Date,equity,position,buffer_zone_pct,upper_band,lower_band,drawdown_pct
2021-09-22,552934659,16804696,0.04,351.205909,324.19007,-9.54
2021-09-23,568288522,16804696,0.04,351.55761,324.514717,-7.02
2021-09-24,569896143,16804696,0.04,351.909346,324.839397,-6.76
2021-09-27,556150221,16804696,0.04,352.216449,325.122876,-9.01
2021-09-28,509767529,16804696,0.04,352.378897,325.272828,-16.6
2021-09-29,506391348,16804696,0.04,352.531278,325.413487,-17.15
2021-09-30,500683868,16804696,0.04,352.663934,325.535939,-18.08
2021-10-01,509807676,16804696,0.04,352.824614,325.684259,-16.59
2021-10-04,478457188,16804696,0.04,352.88175,325.737,-21.72
2021-10-05,496865589,16804696,0.04,353.001985,325.847986,-18.71
2021-10-06,506672676,16804696,0.04,353.151346,325.985858,-17.1
2021-10-07,520378468,16804696,0.04,353.342998,326.162767,-14.86
2021-10-08,512380122,16804696,0.04,353.50783,326.31492,-16.17
2021-10-11,501005443,16804696,0.04,353.633321,326.430757,-18.03
2021-10-12,495900916,16804696,0.04,353.74038,326.529581,-18.87
2021-10-13,507516675,16804696,0.04,353.884388,326.662512,-16.97
2021-10-14,535531162,16804696,0.04,354.115427,326.875779,-12.38
2021-10-15,545458939,16804696,0.04,354.374395,327.114826,-10.76
2021-10-18,561817403,16804696,0.04,354.679702,327.396648,-8.08
2021-10-19,574156621,16804696,0.04,355.018795,327.709657,-6.06
2021-10-20,572347898,16804696,0.04,355.346822,328.012451,-6.36
2021-10-21,582597115,16804696,0.04,355.701225,328.339592,-4.68
2021-10-22,567846457,16804696,0.04,356.008409,328.623146,-7.1
2021-10-25,584888285,16804696,0.04,356.362902,328.950371,-4.31
2021-10-26,590354314,16804696,0.04,356.728665,329.287998,-3.41
2021-10-27,595016710,16804696,0.04,357.101387,329.63205,-2.65
2021-10-28,614550489,16804696,0.04,357.525783,330.023799,0.0
2021-10-29,623634200,16804696,0.04,357.969911,330.433764,0.0
2021-11-01,629783778,16804696,0.04,358.425865,330.854645,0.0
2021-11-02,638184143,16804696,0.04,358.897513,331.290012,0.0
2021-11-03,658441263,16804696,0.04,359.418315,331.770753,0.0
2021-11-04,682999124,16804696,0.04,359.99983,332.307535,0.0
2021-11-05,685531458,16804696,0.04,360.578741,332.841914,0.0
2021-11-08,682717898,16804696,0.04,361.14274,333.362529,-0.41
2021-11-09,668650283,16804696,0.04,361.662512,333.842318,-2.46
2021-11-10,639349632,16804696,0.04,362.09746,334.243809,-6.74
2021-11-11,644534486,16804696,0.04,362.541136,334.653357,-5.98
2021-11-12,664992909,16804696,0.04,363.03407,335.108372,-3.0
2021-11-15,664791808,16804696,0.04,363.519267,335.556247,-3.03
2021-11-16,678537679,16804696,0.04,364.035733,336.032984,-1.02
2021-11-17,679341750,16804696,0.04,364.548175,336.506008,-0.9
2021-11-18,700121463,16804696,0.04,365.109099,337.023784,0.0
2021-11-19,711978285,16804696,0.04,365.692642,337.562438,0.0
2021-11-22,687299984,16804696,0.04,366.20554,338.035883,-3.47
2021-11-23,677934844,16804696,0.04,366.687231,338.480521,-4.78
2021-11-24,684205063,16804696,0.04,367.179713,338.93512,-3.9
2021-11-26,646463783,16804696,0.04,367.564258,339.290084,-9.2
2021-11-29,686616688,16804696,0.04,368.0576,339.745477,-3.56
2021-11-30,657114935,16804696,0.04,368.465662,340.122149,-7.71
2021-12-01,623392969,16804696,0.04,368.778441,340.410868,-12.44
2021-12-02,635129419,16804696,0.04,369.124504,340.730311,-10.79
2021-12-03,603216309,16804696,0.04,369.375031,340.961567,-15.28
2021-12-06,617323919,16804696,0.04,369.663424,341.227776,-13.29
2021-12-07,672991205,16804696,0.04,370.104011,341.634472,-5.48
2021-12-08,682356278,16804696,0.04,370.56264,342.057822,-4.16
2021-12-09,652894721,16804696,0.04,370.936316,342.402753,-8.3
2021-12-10,673111661,16804696,0.04,371.362457,342.796114,-5.46
2021-12-13,644172748,16804696,0.04,371.705821,343.113065,-9.52
2021-12-14,625000657,16804696,0.04,371.990172,343.375543,-12.22
2021-12-15,666359434,16804696,0.04,372.389477,343.744133,-6.41
2021-12-16,615515196,16804696,0.04,372.646529,343.981411,-13.55
2021-12-17,606110179,16804696,0.04,372.874285,344.191648,-14.87
2021-12-20,587982886,16804696,0.04,373.048938,344.352866,-17.42
2021-12-21,627291776,16804696,0.04,373.335717,344.617585,-11.89
2021-12-22,649679294,16804696,0.04,373.682364,344.937567,-8.75
2021-12-23,665113416,16804696,0.04,374.064313,345.290135,-6.58
2021-12-27,696905951,16804696,0.04,374.529316,345.719369,-2.12
2021-12-28,688706571,16804696,0.04,374.963041,346.119731,-3.27
2021-12-29,687621458,16804696,0.04,375.390216,346.514046,-3.42
2021-12-30,681190586,16804696,0.04,375.795616,346.888261,-4.32
2021-12-31,668529827,16804696,0.04,376.162067,347.226523,-6.1
2022-01-03,687822425,16804696,0.04,376.575108,347.607792,-3.39
2022-01-04,661093985,16804696,0.04,376.912697,347.919413,-7.15
2022-01-05,600282159,16804696,0.04,377.082215,348.075891,-15.69
2022-01-06,598634223,16804696,0.04,377.245862,348.22695,-15.92
2022-01-07,579060198,16804696,0.04,377.351464,348.324428,-18.67
2022-01-10,581190462,16804696,0.04,377.459025,348.423716,-18.37
2022-01-11,606753160,16804696,0.04,377.641859,348.592485,-14.78
2022-01-12,613666293,16804696,0.04,377.842821,348.777989,-13.81
2022-01-13,569132605,16804696,0.04,377.910966,348.840892,-20.06
2022-01-14,577733870,16804696,0.04,378.009775,348.9321,-18.86
2022-01-18,536093900,16804696,0.04,377.980207,348.904807,-24.7
2022-01-19,517444334,16804696,0.04,377.896364,348.827413,-27.32
2022-01-20,497428278,16804696,0.04,377.749695,348.692027,-30.13
2022-01-21,455547245,16804696,0.04,377.470248,348.434075,-36.02
2022-01-24,431579730,0,0.04,377.216127,348.199502,-39.38
2022-01-25,431579730,0,0.04,376.855365,347.866491,-39.38
2022-01-26,431579730,0,0.04,376.492128,347.531195,-39.38
2022-01-27,431579730,0,0.04,376.087093,347.157317,-39.38
2022-01-28,431579730,0,0.04,375.831144,346.921056,-39.38
2022-01-31,431579730,0,0.04,375.729694,346.82741,-39.38
2022-02-01,431579730,0,0.04,375.662765,346.765629,-39.38
2022-02-02,431579730,0,0.04,375.636615,346.741491,-39.38
2022-02-03,431579730,0,0.04,375.410138,346.532436,-39.38
2022-02-04,431579730,0,0.04,375.246569,346.381448,-39.38
2022-02-07,431579730,0,0.04,375.046481,346.196752,-39.38
2022-02-08,431579730,0,0.04,374.902638,346.063974,-39.38
2022-02-09,431579730,0,0.04,374.862916,346.027307,-39.38
2022-02-10,431579730,0,0.04,374.712234,345.888216,-39.38
2022-02-11,431579730,0,0.04,374.410827,345.609995,-39.38
2022-02-14,431579730,0,0.04,374.119189,345.34079,-39.38
2022-02-15,431579730,0,0.04,373.947465,345.182276,-39.38
2022-02-16,431579730,0,0.04,373.776808,345.024745,-39.38
2022-02-17,431579730,0,0.04,373.466166,344.738,-39.38
2022-02-18,431579730,0,0.04,373.106718,344.406201,-39.38
2022-02-22,431579730,0,0.04,372.705959,344.036269,-39.38
2022-02-23,431579730,0,0.04,372.194188,343.563865,-39.38
2022-02-24,431579730,0,0.04,371.837886,343.234972,-39.38
2022-02-25,431579730,0,0.04,371.557224,342.975899,-39.38
2022-02-28,431579730,0,0.04,371.294114,342.733028,-39.38
2022-03-01,431579730,0,0.04,370.963166,342.427537,-39.38
2022-03-02,431579730,0,0.04,370.713565,342.197137,-39.38
2022-03-03,431579730,0,0.04,370.40065,341.908292,-39.38
2022-03-04,431579730,0,0.04,370.025256,341.561775,-39.38
2022-03-07,431579730,0,0.04,369.487741,341.065607,-39.38
2022-03-08,431579730,0,0.04,368.937063,340.557289,-39.38
2022-03-09,431579730,0,0.04,368.550027,340.200025,-39.38
2022-03-10,431579730,0,0.04,368.118151,339.80137,-39.38
2022-03-11,431579730,0,0.04,367.599718,339.322817,-39.38
2022-03-14,431579730,0,0.04,367.004471,338.773358,-39.38
2022-03-15,431579730,0,0.04,366.551158,338.354915,-39.38
2022-03-16,431579730,0,0.04,366.267315,338.092906,-39.38
2022-03-17,431579730,0,0.04,366.04257,337.885449,-39.38
2022-03-18,431579730,0,0.04,365.915498,337.768152,-39.38
2022-03-21,431579730,0,0.04,365.776982,337.640291,-39.38
2022-03-22,431579730,0,0.04,365.732827,337.599533,-39.38
2022-03-23,431579730,0,0.04,365.620266,337.49563,-39.38
2022-03-24,431579730,0,0.04,365.614363,337.490181,-39.38
2022-03-25,431579730,0,0.04,365.604505,337.481081,-39.38
2022-03-28,431579730,0,0.04,365.66955,337.541123,-39.38
2022-03-29,431579730,0,0.04,365.818189,337.678329,-39.38
2022-03-30,431579730,0,0.04,365.909722,337.76282,-39.38
2022-03-31,431579730,0,0.04,365.938851,337.789709,-39.38
2022-04-01,431579730,0,0.04,365.958316,337.807676,-39.38
2022-04-04,431579730,0,0.04,366.077713,337.917889,-39.38
2022-04-05,431579730,0,0.04,366.085252,337.924848,-39.38
2022-04-06,431579730,0,0.04,365.987255,337.834389,-39.38
2022-04-07,431579730,0,0.04,365.901852,337.755556,-39.38
2022-04-08,431579730,0,0.04,365.751011,337.616317,-39.38
2022-04-11,431579730,0,0.04,365.491083,337.376384,-39.38
2022-04-12,431579730,0,0.04,365.215232,337.121753,-39.38
2022-04-13,431579730,0,0.04,365.035829,336.95615,-39.38
2022-04-14,431579730,0,0.04,364.75229,336.694421,-39.38
2022-04-18,431579730,0,0.04,364.476003,336.439387,-39.38
2022-04-19,431579730,0,0.04,364.305182,336.281706,-39.38
2022-04-20,431579730,0,0.04,364.068707,336.063422,-39.38
2022-04-21,431579730,0,0.04,363.740418,335.760385,-39.38
2022-04-22,431579730,0,0.04,363.298803,335.352741,-39.38
2022-04-25,431579730,0,0.04,362.919251,335.002386,-39.38
2022-04-26,431579730,0,0.04,362.377428,334.502241,-39.38
2022-04-27,431579730,0,0.04,361.837671,334.004004,-39.38
2022-04-28,431579730,0,0.04,361.45636,333.652024,-39.38
2022-04-29,431579730,0,0.04,360.881599,333.121476,-39.38
2022-05-02,431579730,0,0.04,360.384785,332.662879,-39.38
2022-05-03,431579730,0,0.04,359.899125,332.214577,-39.38
2022-05-04,431579730,0,0.04,359.564872,331.906036,-39.38
2022-05-05,431579730,0,0.04,359.011801,331.395509,-39.38
2022-05-06,431579730,0,0.04,358.415624,330.845192,-39.38
2022-05-09,431579730,0,0.04,357.664617,330.151954,-39.38
2022-05-10,431579730,0,0.04,356.972105,329.512713,-39.38
