Date,equity,cash,rebalanced,rebalance_reason,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,drawdown_pct,qld_current_price,qld_return_pct,qld_contribution,total_pnl,total_return_pct
2011-07-05,17378860,0,False,,17378860,1.0,buy,12372686,0.977911,2099385,5279475,-3.64,1.404615,43.634242822340894,7378860,7378860.395976711,73.7886039597671
2011-07-06,17478968,0,False,,17478968,1.0,buy,12372686,0.977911,2099385,5379583,-3.09,1.412706,44.46161876427199,7478968,7478967.798402712,74.78967798402711
2011-07-07,17983340,0,False,,17983340,1.0,buy,12372686,0.977911,2099385,5883955,-0.29,1.4534710000000002,48.63019870158774,7983340,7983340.3431927115,79.83340343192712
2011-07-08,17871887,0,False,,17871887,1.0,buy,12372686,0.977911,2099385,5772502,-0.91,1.444463,47.70905144106179,7871887,7871887.187704712,78.71887187704712
2011-07-11,17244728,0,False,,17244728,1.0,buy,12372686,0.977911,2099385,5145343,-4.39,1.3937740000000003,42.52565518342421,7244728,7244728.107050713,72.44728107050713
2011-07-12,16957608,0,False,,16957608,1.0,buy,12372686,0.977911,2099385,4858222,-5.98,1.3705679999999998,40.15263749606126,6957608,6957607.555734709,69.5760755573471
2011-07-13,17104954,0,False,,17104954,1.0,buy,12372686,0.977911,2099385,5005569,-5.16,1.382477,41.370437532207305,7104954,7104953.873308711,71.0495387330871
2011-07-14,16712047,0,False,,16712047,1.0,buy,12372686,0.977911,2099385,4612662,-7.34,1.350721,38.123107114216445,6712047,6712046.856692711,67.1204685669271
2011-07-15,17152180,0,False,,17152180,1.0,buy,12372686,0.977911,2099385,5052795,-4.9,1.386294,41.760759367623336,7152180,7152180.4157707095,71.5218041577071
2011-07-18,16974620,0,False,,16974620,1.0,buy,12372686,0.977911,2099385,4875235,-5.89,1.371943,40.293243344554064,6974620,6974619.998984709,69.74619998984709
2011-07-19,17750994,0,False,,17750994,1.0,buy,12372686,0.977911,2099385,5651608,-1.58,1.434692,46.709880716972194,7750994,7750993.672798712,77.50993672798711
2011-07-20,17584754,0,False,,17584754,1.0,buy,12372686,0.977911,2099385,5485369,-2.5,1.4212560000000003,45.33593149490001,7584754,7584754.263702713,75.84754263702713
2011-07-21,17841661,0,False,,17841661,1.0,buy,12372686,0.977911,2099385,5742275,-1.08,1.44202,47.459233195339664,7841661,7841660.715806711,78.41660715806712
2011-07-22,18196794,0,False,,18196794,1.0,buy,12372686,0.977911,2099385,6097409,0.0,1.470723,50.394367500277056,8196794,8196793.92206471,81.9679392206471
2011-07-25,18134460,0,False,,18134460,1.0,buy,12372686,0.977911,2099385,6035075,-0.34,1.465685,49.87918767139943,8134460,8134460.329996709,81.34460329996709
2011-07-26,18198687,0,False,,18198687,1.0,buy,12372686,0.977911,2099385,6099302,0.0,1.4708760000000003,50.41001309650939,8198687,8198686.943022713,81.98686943022713
2011-07-27,17278741,0,False,,17278741,1.0,buy,12372686,0.977911,2099385,5179355,-5.06,1.3965230000000002,42.8067646216109,7278741,7278740.620864712,72.78740620864713
2011-07-28,17333527,0,False,,17333527,1.0,buy,12372686,0.977911,2099385,5234142,-4.75,1.400951,43.259566583157174,7333527,7333526.874472711,73.33526874472712
2011-07-29,17210740,0,False,,17210740,1.0,buy,12372686,0.977911,2099385,5111355,-5.43,1.391027,42.244750262835296,7210740,7210740.338608712,72.10740338608713
2011-08-01,17086061,0,False,,17086061,1.0,buy,12372686,0.977911,2099385,4986676,-6.11,1.38095,41.214288346281116,7086061,7086060.78178671,70.8606078178671
2011-08-02,16203901,0,False,,16203901,1.0,buy,12372686,0.977911,2099385,4104515,-10.96,1.309651,33.923338243235015,6203901,6203900.64267271,62.039006426727106
2011-08-03,16491034,0,False,,16491034,1.0,buy,12372686,0.977911,2099385,4391648,-9.38,1.332858,36.296458189396844,6491034,6491033.566674711,64.91033566674712
2011-08-04,14979821,0,False,,14979821,1.0,buy,12372686,0.977911,2099385,2880436,-17.69,1.210717,23.80646623248086,4979821,4979821.3259487115,49.79821325948712
2011-08-05,14777701,0,False,,14777701,1.0,buy,12372686,0.977911,2099385,2678316,-18.8,1.194381,22.135966493587446,4777701,4777701.127452709,47.777011274527084
2011-08-08,13047369,0,False,,13047369,1.0,sell,12372686,0.977911,2099385,947983,-28.31,1.05453,7.834971208084163,3047369,3047368.61766671,30.4736861766671
2011-08-09,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-10,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-11,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-12,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-15,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-16,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-17,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-18,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-19,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-22,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-23,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-24,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-25,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-26,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-08-29,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
