entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2021-05-04,2021-07-02,390.832539,404.379357,43311,586726,0.0347,3,spy,2021-07-01,59
2021-08-03,2021-09-02,413.19305,424.660591,42326,485375,0.0278,3,spy,2021-09-01,30
2021-10-04,2021-11-02,409.373664,432.505569,43041,995620,0.0565,3,spy,2021-11-01,29
2021-12-02,2022-01-04,426.136211,451.943634,43058,1111216,0.0606,3,spy,2022-01-03,33
2022-02-02,2022-05-02,432.158884,389.822975,43756,-1852450,-0.098,3,spy,2022-04-29,89
2023-02-07,2023-06-02,394.211622,408.385621,44227,626873,0.036,3,spy,2023-06-01,115
2023-07-05,2023-08-02,429.281996,437.663966,41603,348715,0.0195,3,spy,2023-08-01,28
2023-09-05,2024-01-03,437.849901,457.703737,41113,816251,0.0453,3,spy,2024-01-02,120
2024-02-02,2024-03-04,479.270867,498.17841,39125,739758,0.0395,3,spy,2024-03-01,31
2024-04-02,2024-07-02,508.830879,532.347145,38198,898274,0.0462,3,spy,2024-07-01,91
2024-08-02,2024-09-04,527.72,538.711424,38586,424115,0.0208,3,spy,2024-09-03,33
2024-10-02,2024-11-04,560.916189,560.968711,37502,1970,0.0001,3,spy,2024-11-01,33
2011-06-03,2025-04-02,150.730839,287.415159,30321,4144405,0.9068,0,gld,2025-04-01,5052
2024-12-03,2025-04-07,596.169213,483.511633,35119,-3956422,-0.189,3,spy,2025-04-04,125
2025-04-03,2025-05-02,283.628339,299.269503,30776,481372,0.0551,0,gld,2025-05-01,29
2025-05-05,2025-06-03,306.837773,308.631318,26590,47690,0.0058,0,gld,2025-06-02,29
2025-05-16,2025-07-02,587.903839,611.878806,33019,791629,0.0408,3,spy,2025-07-01,47
2025-06-04,2025-09-03,310.338234,326.77673,26359,433302,0.053,0,gld,2025-09-02,91
2025-09-04,2025-10-02,328.011089,357.18523,26242,765588,0.0889,0,gld,2025-10-01,28
2025-10-03,2025-11-04,358.191355,362.389571,25237,105950,0.0117,0,gld,2025-11-03,32
2025-11-05,2025-12-02,367.489185,387.703385,24814,501595,0.055,0,gld,2025-12-01,27
2025-12-03,2026-01-05,389.625371,405.170845,23842,370635,0.0399,0,gld,2026-01-02,33
2026-01-06,2026-02-03,411.902023,451.272115,22921,902402,0.0956,0,gld,2026-02-02,28
2026-02-04,2026-03-03,463.857411,471.411497,20866,157624,0.0163,0,gld,2026-03-02,27
