entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2015-01-26,2015-02-03,123.699992,121.374778,78535,-182611,-0.0188,3,gld,2015-02-02,8
2014-12-02,2015-03-03,2.034149,2.246584,7610051,1616639,0.1044,3,tqqq,2015-03-02,91
2015-03-03,2015-03-09,116.388121,112.082738,87617,-377225,-0.037,3,gld,2015-03-06,6
2015-04-02,2015-05-04,2.023923,2.252955,7960758,1823270,0.1132,3,tqqq,2015-05-01,32
2014-04-16,2015-06-11,80.085247,86.762543,54031,360781,0.0834,3,tlt,2015-06-10,421
2015-06-02,2015-08-04,2.293645,2.362222,7298270,500491,0.0299,3,tqqq,2015-08-03,63
2012-01-09,2015-08-25,100.273861,163.311507,34172,2154122,0.6287,3,spy,2015-08-24,1324
2015-09-02,2015-09-30,1.809062,1.68917,9191561,-1101992,-0.0663,3,tqqq,2015-09-29,28
2015-10-28,2015-11-03,2.384817,2.438569,6809103,366004,0.0225,3,tqqq,2015-11-02,6
2015-11-03,2015-12-02,177.435468,176.920074,46224,-23824,-0.0029,3,spy,2015-12-01,29
2015-08-25,2015-12-02,93.677343,92.490315,66528,-78971,-0.0127,3,tlt,2015-12-01,99
2016-01-05,2016-01-11,171.206318,163.092662,44963,-364814,-0.0474,3,spy,2016-01-08,6
2015-12-02,2016-01-14,2.49494,1.713563,6559937,-5125788,-0.3132,3,tqqq,2016-01-13,43
2016-01-05,2016-04-04,91.888922,99.408173,62831,472442,0.0818,3,tlt,2016-04-01,90
2016-04-04,2016-05-03,176.729085,175.408563,40407,-53358,-0.0075,3,spy,2016-05-02,29
2016-02-11,2016-05-03,118.945766,123.358813,75525,333295,0.0371,3,gld,2016-05-02,82
2016-05-03,2016-11-10,99.257781,95.481248,53140,-200685,-0.038,3,tlt,2016-11-09,191
2016-06-02,2016-11-25,116.127339,113.079738,78401,-238935,-0.0262,3,gld,2016-11-23,176
2016-04-05,2017-02-02,2.037089,2.961106,6988793,6457763,0.4536,3,tqqq,2017-02-01,303
2017-03-02,2017-11-02,3.437774,5.131764,5033471,8526649,0.4928,3,tqqq,2017-11-01,245
2017-12-04,2018-02-02,5.502995,6.773738,3827924,4864308,0.2309,3,tqqq,2018-02-01,60
2017-06-26,2018-02-22,100.893533,93.206163,70103,-538908,-0.0762,3,tlt,2018-02-21,241
2018-03-02,2018-06-04,6.091916,7.008136,3772490,3456432,0.1504,3,tqqq,2018-06-01,94
2017-04-19,2018-07-18,122.61675,115.681909,87673,-607998,-0.0566,3,gld,2018-07-17,455
2018-07-03,2018-09-05,7.064675,8.447838,3425771,4738402,0.1958,3,tqqq,2018-09-04,64
2018-10-02,2018-11-21,8.541768,5.23885,3083624,-10184956,-0.3867,3,tqqq,2018-11-20,50
2016-05-31,2018-12-18,179.916296,229.275836,40379,1993089,0.2743,3,spy,2018-12-17,931
2019-02-28,2020-01-03,6.102145,10.407566,3579744,15412307,0.7056,3,tqqq,2020-01-02,309
2019-02-22,2020-03-10,250.864025,260.051163,43584,400412,0.0366,3,spy,2020-03-09,382
2020-02-04,2020-03-13,12.234623,6.228562,2503258,-15034720,-0.4909,3,tqqq,2020-03-12,38
2019-01-17,2020-04-02,122.396089,150.746397,110929,3144871,0.2316,3,gld,2020-04-01,441
2018-12-26,2020-04-02,99.191819,141.465904,82249,3477001,0.4262,3,tlt,2020-04-01,463
2020-04-20,2020-06-02,7.819365,10.043914,3160841,7031445,0.2845,3,tqqq,2020-06-01,43
2020-06-02,2020-07-02,283.410646,290.053171,48490,322096,0.0234,3,spy,2020-07-01,30
2020-07-02,2020-08-04,12.509303,14.703414,2217188,4864757,0.1754,3,tqqq,2020-08-03,33
2020-08-04,2020-09-02,304.446022,327.371233,50409,1155637,0.0753,3,spy,2020-09-01,29
2020-10-02,2020-11-03,309.244835,309.239036,45152,-262,-0.0,3,spy,2020-11-02,32
2020-05-04,2020-11-03,160.810992,178.413147,94956,1671430,0.1095,3,gld,2020-11-02,183
2020-12-02,2021-01-05,171.081717,182.321385,108514,1219661,0.0657,3,gld,2021-01-04,34
2020-09-02,2021-02-02,21.048349,23.819722,1467687,4067508,0.1317,3,tqqq,2021-02-01,153
2020-05-04,2021-02-08,141.429962,125.678359,64781,-1020405,-0.1114,3,tlt,2021-02-05,280
2021-02-02,2021-03-01,173.007475,162.540909,116969,-1224264,-0.0605,3,gld,2021-02-26,27
2021-03-02,2021-09-02,23.399321,36.233917,1383031,17750644,0.5485,3,tqqq,2021-09-01,184
2021-10-04,2021-11-02,30.010811,37.206835,1318259,9486223,0.2398,3,tqqq,2021-11-01,29
2021-12-02,2022-01-04,36.804633,40.9745,1195005,4983012,0.1133,3,tqqq,2022-01-03,33
2021-08-06,2022-02-11,127.466748,117.808454,112449,-1086066,-0.0758,3,tlt,2022-02-10,189
2022-02-02,2022-02-22,31.29185,23.388108,1461719,-11553050,-0.2526,3,tqqq,2022-02-18,20
2020-12-02,2022-05-02,340.122695,389.822975,43666,2170212,0.1461,3,spy,2022-04-29,516
